anonymous_review_id,anonymous_pair_id,pair_label,spot_centers_correct,same_physical_row,true_adjacent_neighbors,corridor_correct,background_regions_clean,label_confidence,unusable_reason,reviewer_notes
RPSA_AE_ggajacin,RPSA_AE_ggajacin_lp000,,,,,,,,,
RPSA_AG_baoiigch,RPSA_AG_baoiigch_lp002,,,,,,,,,
RPSA_AG_baoiigch,RPSA_AG_baoiigch_lp001,,,,,,,,,
RPSA_AG_baoiigch,RPSA_AG_baoiigch_lp000,,,,,,,,,
RPSA_AH_nkdpolif,RPSA_AH_nkdpolif_lp000,,,,,,,,,
RPSA_AH_nkdpolif,RPSA_AH_nkdpolif_lp003,,,,,,,,,
RPSA_AH_nkdpolif,RPSA_AH_nkdpolif_lp004,,,,,,,,,
RPSA_AH_nkdpolif,RPSA_AH_nkdpolif_lp001,,,,,,,,,
RPSA_AH_nkdpolif,RPSA_AH_nkdpolif_lp002,,,,,,,,,
RPSA_AJ_kkcocpbj,RPSA_AJ_kkcocpbj_lp003,,,,,,,,,
RPSA_AJ_kkcocpbj,RPSA_AJ_kkcocpbj_lp001,,,,,,,,,
RPSA_AJ_kkcocpbj,RPSA_AJ_kkcocpbj_lp000,,,,,,,,,
RPSA_AM_ignmbald,RPSA_AM_ignmbald_lp002,,,,,,,,,
RPSA_AM_ignmbald,RPSA_AM_ignmbald_lp005,,,,,,,,,
RPSA_AM_ignmbald,RPSA_AM_ignmbald_lp004,,,,,,,,,
RPSA_AM_ignmbald,RPSA_AM_ignmbald_lp001,,,,,,,,,
RPSA_AR_jajjnhge,RPSA_AR_jajjnhge_lp004,,,,,,,,,
RPSA_AR_jajjnhge,RPSA_AR_jajjnhge_lp000,,,,,,,,,
RPSA_AU_ghfpcpef,RPSA_AU_ghfpcpef_lp004,,,,,,,,,
RPSA_AU_ghfpcpef,RPSA_AU_ghfpcpef_lp005,,,,,,,,,
RPSA_AY_kfiiknbk,RPSA_AY_kfiiknbk_lp000,,,,,,,,,
RPSA_AY_kfiiknbk,RPSA_AY_kfiiknbk_lp002,,,,,,,,,
RPSA_AY_kfiiknbk,RPSA_AY_kfiiknbk_lp004,,,,,,,,,
