sample_id,manual_rheed_filename,inferred_stage,approved_stage,comparable_stage_group,stage_confidence,user_approved,user_notes
6022,select_After_GaSb.jpg,after_growth,,,provisional_filename_rule,,
6028,select_GaSb.jpg,active_growth,,,provisional_filename_rule,,
6029,select_after_ramping_down_GaSb.jpg,rampdown_or_cooldown,,,provisional_filename_rule,,
6033,select_15min_of_GaSb.jpg,active_growth,,,provisional_filename_rule,,
6043,select_after_ramping_to_GaSb.jpg,after_growth,,,provisional_filename_rule,,
6047,select_after_rampdown_to_200C.jpg,rampdown_or_cooldown,,,provisional_filename_rule,,
6048,select_after_rampdown.jpg,rampdown_or_cooldown,,,provisional_filename_rule,,
6056,select_after_rampdown_to_200C.jpg,rampdown_or_cooldown,,,provisional_filename_rule,,
6057,select_GaSb_2min.jpg,active_growth,,,provisional_filename_rule,,
6062,select_after_rampdown_to_300C.jpg,rampdown_or_cooldown,,,provisional_filename_rule,,
6063,select_rampdown_to_300C.jpg,rampdown_or_cooldown,,,provisional_filename_rule,,
6070,select_rampdown_to_300C.jpg,rampdown_or_cooldown,,,provisional_filename_rule,,
6072,select_rampdown_to_250C.jpg,rampdown_or_cooldown,,,provisional_filename_rule,,
6078,select_GaSb_6min.jpg,active_growth,,,provisional_filename_rule,,
6080,select_after_rampdown_to_200C.jpg,rampdown_or_cooldown,,,provisional_filename_rule,,
6081,select_after_rampdown_for_GaSB.jpg,rampdown_or_cooldown,,,provisional_filename_rule,,
6082,select_after_rampdown_to_200C.jpg,rampdown_or_cooldown,,,provisional_filename_rule,,
6084,select_after_ramping_down_to_200C.jpg,rampdown_or_cooldown,,,provisional_filename_rule,,
6085,select_ramping_down_to_300C.jpg,rampdown_or_cooldown,,,provisional_filename_rule,,
6090,select_rampdown_to_200C.jpg,rampdown_or_cooldown,,,provisional_filename_rule,,
6094,select_GaSb_5min.jpg,active_growth,,,provisional_filename_rule,,
6095,select_rampdown_to_250C.jpg,rampdown_or_cooldown,,,provisional_filename_rule,,
6097,select_2min_GaSb.jpg,active_growth,,,provisional_filename_rule,,
6099,select_ramping_to_650C.jpg,unknown,,,provisional_filename_rule,,
6101,select_150_min_GaSb.jpg,active_growth,,,provisional_filename_rule,,
