method,n,median_pattern_ncc,mean_pattern_ncc,median_pattern_ssim,median_gradient_ncc,median_target_similarity,median_absolute_frame_error,front_tracker_rate,leakage_overlap
ridge,27,0.7136344629133436,0.679841732853666,0.513219100087418,0.3728286620612648,0.5926840009361302,74.0,0.4074074074074074,0
random_forest,27,0.5723579847123343,0.6229424604973592,0.4364570853257639,0.3030042762016804,0.5271209716538623,149.0,0.7037037037037037,0
extra_trees,27,0.5824329454757937,0.6619718626028422,0.475622893903118,0.3728286620612648,0.5447885252920441,76.0,0.7777777777777778,0
gradient_boosting,27,0.7145030857189315,0.6868479342273763,0.5160275068445086,0.3728286620612648,0.6509322341294372,24.0,0.7407407407407407,0
ridge_within_video_rank,27,0.5824329454757937,0.6387258537825062,0.4681895579174826,0.3581384186079591,0.5320829260809534,76.0,0.5555555555555556,0
gradient_boosting_within_video_rank,27,0.5824329454757937,0.6184283098724657,0.475622893903118,0.3581384186079591,0.5320829260809534,149.0,0.6296296296296297,0
logistic_top_quintile,27,0.5824329454757937,0.6306283779458588,0.475622893903118,0.3688419267999959,0.5271209716538623,76.0,0.4074074074074074,0
gradient_boosting_top_quintile,27,0.7136344629133436,0.6850509310433219,0.4807290502896532,0.3917032059507103,0.5926840009361302,41.0,0.6296296296296297,0
manual_mean_template,27,0.6150210334088075,0.5421716699189053,0.424529761329848,0.2125408785247848,0.4953733209317102,152.0,0.6296296296296297,0
manual_max_template,27,0.6080367742761,0.5477533528986098,0.4263165527897863,0.2033335355287203,0.4569697176824414,126.0,0.48148148148148145,0
manual_pca_template,27,0.6150210334088075,0.5426144998924025,0.424529761329848,0.2150727098941929,0.4953733209317102,151.0,0.5185185185185185,0
