method,n_videos,median_pattern_ncc,mean_pattern_ncc,median_pattern_ssim,median_gradient_ncc,median_target_similarity,median_absolute_frame_error,median_spot_mass_ratio,diffuse_shadow_proxy_rate,median_visibility_rank,held_video_overlap
v5_dinov2_hybrid_gate40,25,0.7132218286658373,0.6565606201166042,0.4764105697174096,0.4023410069262441,0.5955179473267795,70.0,1.0518188187846138,0.04,0.6452991452991452,0
v5_dinov2_hybrid_gate50,25,0.7132218286658373,0.6547561235194536,0.4817403669060613,0.4941424368067456,0.5955179473267795,41.0,1.1045629641849253,0.04,0.6810035842293907,0
v5_dinov2_tree_hybrid_gate35,25,0.7132218286658373,0.6644437605454812,0.4807290502896532,0.3623770135539104,0.5946933748997453,41.0,1.0161119256864022,0.04,0.6422222222222222,0
v5_dinov2_tree_hybrid_gate40,25,0.7132218286658373,0.6566939893614753,0.4764105697174096,0.3623770135539104,0.5946933748997453,70.0,1.0442612592133997,0.04,0.6422222222222222,0
v5_dinov2_hybrid_gate35,25,0.7009777080842845,0.6390780310105951,0.4492012297491236,0.3952455020520422,0.5946933748997453,77.0,1.0518188187846138,0.04,0.6452991452991452,0
v5_dinov2_tree_hybrid_gatenone,25,0.7009777080842845,0.6704118097242231,0.4764105697174096,0.3623770135539104,0.5926840009361302,148.0,1.012227680674551,0.04,0.6309523809523809,0
v5_dinov2_tree_hybrid_gate25,25,0.7009777080842845,0.6584285741145868,0.4764105697174096,0.3421259478464444,0.5926840009361302,148.0,1.012227680674551,0.04,0.6309523809523809,0
v5_dinov2_tree_hybrid_gate30,25,0.7009777080842845,0.6584285741145868,0.4764105697174096,0.3421259478464444,0.5926840009361302,148.0,1.012227680674551,0.04,0.6309523809523809,0
v5_dinov2_hybrid_gatenone,25,0.6940048946482479,0.6504389265000148,0.4364570853257639,0.3952455020520422,0.5926840009361302,130.0,1.0518188187846138,0.04,0.6422222222222222,0
v5_dinov2_hybrid_gate25,25,0.6881299595738474,0.6299882345627996,0.4364570853257639,0.3623770135539104,0.5926840009361302,130.0,1.0518188187846138,0.04,0.6422222222222222,0
v5_dinov2_hybrid_gate30,25,0.6881299595738474,0.6299882345627996,0.4364570853257639,0.3623770135539104,0.5926840009361302,130.0,1.0518188187846138,0.04,0.6422222222222222,0
v5_visual_ridge,25,0.6940048946482479,0.639155261716797,0.4764293093699741,0.3685857658541873,0.5800398902286262,150.0,1.0047386623848,0.04,0.608974358974359,0
v5_dinov2_top_quintile,25,0.6526863233613209,0.6211522125380866,0.4364570853257639,0.3235318347766498,0.5482856718152567,151.0,1.0478792706533457,0.04,0.6256038647342995,0
v4_ridge_spot_gate40,25,0.6424633056100926,0.640357858342269,0.4817403669060613,0.3581384186079591,0.5763788780939668,46.0,1.0047386623848,0.08,0.608974358974359,0
v5_dinov2_pairwise,25,0.6650482713421191,0.6205396965841098,0.4361472791365756,0.3421259478464444,0.5671492660208213,150.0,1.012227680674551,0.08,0.6185185185185186,0
v5_dinov2_ridge_a1,25,0.7009777080842845,0.640608965987959,0.4364570853257639,0.3421259478464444,0.5946933748997453,151.0,1.0518188187846138,0.12,0.608974358974359,0
v5_dinov2_ridge_a10,25,0.7009777080842845,0.640608965987959,0.4364570853257639,0.3421259478464444,0.5946933748997453,151.0,1.0518188187846138,0.12,0.608974358974359,0
v5_dinov2_ridge_a100,25,0.7009777080842845,0.640608965987959,0.4364570853257639,0.3421259478464444,0.5946933748997453,151.0,1.0518188187846138,0.12,0.608974358974359,0
v5_visual_extra_trees,25,0.6363625704081902,0.6498126903096869,0.4364570853257639,0.3235318347766498,0.5447885252920441,150.0,1.0047386623848,0.12,0.6267361111111112,0
v4_ridge_reproduced,25,0.7136344629133436,0.6704285355778965,0.4817403669060613,0.3623770135539104,0.5926840009361302,46.0,1.0,0.16,0.528888888888889,0
