method,n_videos,median_pattern_ncc,mean_pattern_ncc,median_pattern_ssim,median_gradient_ncc,median_target_similarity,median_absolute_frame_error,median_spot_mass_ratio,diffuse_shadow_proxy_rate,median_visibility_rank,held_video_overlap
v5_dinov2_tree_hybrid_gate25,25,0.8197762089046362,0.7296978946781044,0.5586386624549825,0.5832449062555077,0.6763147241135532,3.0,1.097479653665355,0.04,0.6388888888888888,0
v5_dinov2_tree_hybrid_gate30,25,0.7841520797916026,0.714068952203452,0.5376493465045049,0.5574344160518828,0.6742886728551573,3.0,1.097479653665355,0.04,0.6422222222222222,0
v5_dinov2_tree_hybrid_gate35,25,0.7841520797916026,0.6935373812280681,0.5042787811435026,0.5022315162622032,0.6742886728551573,4.0,1.1045629641849253,0.04,0.6422222222222222,0
v5_dinov2_tree_hybrid_gate40,25,0.7841520797916026,0.6935373812280681,0.5042787811435026,0.5022315162622032,0.6742886728551573,4.0,1.1045629641849253,0.04,0.6422222222222222,0
v5_dinov2_pairwise,25,0.6702642058555764,0.6619990369591635,0.5042787811435026,0.3854317774255863,0.5926840009361302,12.0,0.9932360742938923,0.04,0.6267361111111112,0
v5_visual_ridge,25,0.6940048946482479,0.639155261716797,0.4764293093699741,0.3685857658541873,0.5800398902286262,150.0,1.0047386623848,0.04,0.608974358974359,0
v5_dinov2_hybrid_gate25,25,0.7841520797916026,0.7305773165045001,0.513219100087418,0.5574344160518828,0.6742886728551573,4.0,1.0902692304597366,0.08,0.6422222222222222,0
v5_dinov2_hybrid_gate30,25,0.7841520797916026,0.7305773165045001,0.513219100087418,0.5574344160518828,0.6742886728551573,4.0,1.0902692304597366,0.08,0.6422222222222222,0
v5_dinov2_hybrid_gatenone,25,0.7841520797916026,0.7305773165045001,0.513219100087418,0.5574344160518828,0.6742886728551573,4.0,1.0902692304597366,0.08,0.6422222222222222,0
v5_dinov2_tree_hybrid_gatenone,25,0.7841520797916026,0.7121928234270277,0.5376493465045049,0.5574344160518828,0.6742886728551573,3.0,1.097479653665355,0.08,0.6349206349206349,0
v5_dinov2_hybrid_gate35,25,0.7841520797916026,0.7103597831578072,0.5042787811435026,0.5022315162622032,0.6742886728551573,8.0,1.097479653665355,0.08,0.6422222222222222,0
v5_dinov2_hybrid_gate40,25,0.7841520797916026,0.7103597831578072,0.5042787811435026,0.5022315162622032,0.6742886728551573,8.0,1.097479653665355,0.08,0.6422222222222222,0
v5_dinov2_hybrid_gate50,25,0.7841520797916026,0.701410290906396,0.5042787811435026,0.5022315162622032,0.6742886728551573,18.0,1.1074287668148421,0.08,0.65625,0
v5_dinov2_top_quintile,25,0.7407223238818675,0.671042083387762,0.5202165401054321,0.5022315162622032,0.6618185627472265,70.0,1.0047386623848,0.08,0.6111111111111112,0
v4_ridge_spot_gate40,25,0.6424633056100926,0.640357858342269,0.4817403669060613,0.3581384186079591,0.5763788780939668,46.0,1.0047386623848,0.08,0.608974358974359,0
v5_dinov2_ridge_a1,25,0.7198502190510268,0.6905384024584954,0.5042787811435026,0.4023410069262441,0.6444722588688627,70.0,1.0,0.12,0.6309523809523809,0
v5_dinov2_ridge_a10,25,0.7198502190510268,0.6905384024584954,0.5042787811435026,0.4023410069262441,0.6444722588688627,70.0,1.0,0.12,0.6309523809523809,0
v5_dinov2_ridge_a100,25,0.7198502190510268,0.6905384024584954,0.5042787811435026,0.4023410069262441,0.6444722588688627,70.0,1.0,0.12,0.6309523809523809,0
v5_visual_extra_trees,25,0.6363625704081902,0.6498126903096869,0.4364570853257639,0.3235318347766498,0.5447885252920441,150.0,1.0047386623848,0.12,0.6267361111111112,0
v4_ridge_reproduced,25,0.7136344629133436,0.6704285355778965,0.4817403669060613,0.3623770135539104,0.5926840009361302,46.0,1.0,0.16,0.528888888888889,0
