method,n,median_pattern_ncc,mean_pattern_ncc,median_pattern_ssim,median_gradient_ncc,median_target_similarity,median_absolute_frame_error,front_tracker_rate,leakage_overlap
ridge,25,0.7136344629133436,0.6704285355778965,0.4817403669060613,0.3623770135539104,0.5926840009361302,46.0,0.36,0
random_forest,25,0.5380837955505187,0.6178907627686386,0.4361472791365756,0.2948874238817444,0.4604070147678338,150.0,0.72,0
extra_trees,25,0.6940048946482479,0.680004152959649,0.5042787811435026,0.3728286620612648,0.5800398902286262,149.0,0.68,0
gradient_boosting,25,0.6940048946482479,0.663850443205113,0.4498269401849631,0.3728286620612648,0.5800398902286262,41.0,0.64,0
ridge_within_video_rank,25,0.6708736684188987,0.6611279468406192,0.4652879106224517,0.3605852404215591,0.5447885252920441,25.0,0.6,0
gradient_boosting_within_video_rank,25,0.6881299595738474,0.6680792580396744,0.4817403669060613,0.3854317774255863,0.5926840009361302,46.0,0.64,0
ridge_gradient_rank_ensemble,25,0.6793072771376912,0.648217596010175,0.4817403669060613,0.3581384186079591,0.5800398902286262,150.0,0.44,0
logistic_top_quintile,25,0.6708736684188987,0.6585363248113413,0.4498269401849631,0.3581384186079591,0.5482856718152567,36.0,0.44,0
gradient_boosting_top_quintile,25,0.7136344629133436,0.6680133983943068,0.4764293093699741,0.3623770135539104,0.5926840009361302,149.0,0.64,0
manual_mean_template,25,0.623646690289184,0.5598264356619538,0.424529761329848,0.2150727098941929,0.5115926730284017,154.0,0.56,0
manual_max_template,25,0.6080367742761,0.5567297734542018,0.425072701370041,0.2073879597370986,0.4569697176824414,126.0,0.44,0
manual_pca_template,25,0.623646690289184,0.5488928905985003,0.424529761329848,0.2150727098941929,0.5115926730284017,151.0,0.56,0
