growth_run_id,paper_role,evaluation_protocol,fit_growth_count,included_in_primary_reported_metrics,legacy_source_split_provenance
6022,preexisting_validation,"fit all 15 development growths, predict validation",15,False,val
6028,strict15_outer_loo,"fit 14 growths, predict held growth",14,True,train
6029,strict15_outer_loo,"fit 14 growths, predict held growth",14,True,train
6033,historical_test_closed,not used by M12 development or selection,0,False,test
6047,strict15_outer_loo,"fit 14 growths, predict held growth",14,True,train
6048,strict15_outer_loo,"fit 14 growths, predict held growth",14,True,train
6056,preexisting_validation,"fit all 15 development growths, predict validation",15,False,val
6057,strict15_outer_loo,"fit 14 growths, predict held growth",14,True,train
6062,strict15_outer_loo,"fit 14 growths, predict held growth",14,True,train
6063,strict15_outer_loo,"fit 14 growths, predict held growth",14,True,train
6070,strict15_outer_loo,"fit 14 growths, predict held growth",14,True,train
6072,strict15_outer_loo,"fit 14 growths, predict held growth",14,True,train
6078,strict15_outer_loo,"fit 14 growths, predict held growth",14,True,train
6080,preexisting_validation,"fit all 15 development growths, predict validation",15,False,val
6081,historical_test_closed,not used by M12 development or selection,0,False,test
6082,strict15_outer_loo,"fit 14 growths, predict held growth",14,True,train
6084,strict15_outer_loo,"fit 14 growths, predict held growth",14,True,train
6085,strict15_outer_loo,"fit 14 growths, predict held growth",14,True,train
6090,strict15_outer_loo,"fit 14 growths, predict held growth",14,True,train
6094,historical_test_closed,not used by M12 development or selection,0,False,test
6095,strict15_outer_loo,"fit 14 growths, predict held growth",14,True,train
6099,historical_test_closed,not used by M12 development or selection,0,False,test
6101,historical_test_closed,not used by M12 development or selection,0,False,test
