growth_run_id,paper_role,evaluation_protocol,fit_growth_count,included_in_primary_reported_metrics,legacy_source_split_provenance
6022,full23_retrospective_outer_loo,"fit 22 growths, predict held growth",22,True,val
6028,full23_retrospective_outer_loo,"fit 22 growths, predict held growth",22,True,train
6029,full23_retrospective_outer_loo,"fit 22 growths, predict held growth",22,True,train
6033,full23_retrospective_outer_loo,"fit 22 growths, predict held growth",22,True,test
6047,full23_retrospective_outer_loo,"fit 22 growths, predict held growth",22,True,train
6048,full23_retrospective_outer_loo,"fit 22 growths, predict held growth",22,True,train
6056,full23_retrospective_outer_loo,"fit 22 growths, predict held growth",22,True,val
6057,full23_retrospective_outer_loo,"fit 22 growths, predict held growth",22,True,train
6062,full23_retrospective_outer_loo,"fit 22 growths, predict held growth",22,True,train
6063,full23_retrospective_outer_loo,"fit 22 growths, predict held growth",22,True,train
6070,full23_retrospective_outer_loo,"fit 22 growths, predict held growth",22,True,train
6072,full23_retrospective_outer_loo,"fit 22 growths, predict held growth",22,True,train
6078,full23_retrospective_outer_loo,"fit 22 growths, predict held growth",22,True,train
6080,full23_retrospective_outer_loo,"fit 22 growths, predict held growth",22,True,val
6081,full23_retrospective_outer_loo,"fit 22 growths, predict held growth",22,True,test
6082,full23_retrospective_outer_loo,"fit 22 growths, predict held growth",22,True,train
6084,full23_retrospective_outer_loo,"fit 22 growths, predict held growth",22,True,train
6085,full23_retrospective_outer_loo,"fit 22 growths, predict held growth",22,True,train
6090,full23_retrospective_outer_loo,"fit 22 growths, predict held growth",22,True,train
6094,full23_retrospective_outer_loo,"fit 22 growths, predict held growth",22,True,test
6095,full23_retrospective_outer_loo,"fit 22 growths, predict held growth",22,True,train
6099,full23_retrospective_outer_loo,"fit 22 growths, predict held growth",22,True,test
6101,full23_retrospective_outer_loo,"fit 22 growths, predict held growth",22,True,test
