trial_id,sample_id,track,method,source_sample_ids,source_scan_ids,source_afm_paths,source_contributions,heldout_source_contribution,largest_single_source_contribution,exact_identity,strict_seed_selection
visual_trial_0001_strict_VB0_s0_q50,6022,strict,VB0,"[""6056"", ""6070"", ""6090"", ""6085"", ""6062""]","[""GdSb_N6056_ctr_013"", ""N69_Edg_002"", ""N6090_1um_001"", ""N6085_1um_000"", ""N62_Ctr_001""]","[""data/afm_second_order/6056/GdSb_N6056_ctr_013/GdSb_N6056_ctr_013_height.npy"", ""data/afm_second_order/6070/N69_Edg_002/N69_Edg_002_height.npy"", ""data/afm_second_order/6090/N6090_1um_001/N6090_1um_001_height.npy"", ""data/afm_second_order/6085/N6085_1um_000/N6085_1um_000_height.npy"", ""data/afm_second_order/6062/N62_Ctr_001/N62_Ctr_001_height.npy""]","{""6056"": 1.0}",0.0,1.0,False,fixed_seed_grid_no_outer_afm_selection
visual_trial_0001_strict_VB0_s0_q50,6028,strict,VB0,"[""6070"", ""6085"", ""6056"", ""6090"", ""6029""]","[""N69_Edg_002"", ""N6085_1um_000"", ""GdSb_N6056_ctr_013"", ""N6090_1um_001"", ""N6029_1um_008""]","[""data/afm_second_order/6070/N69_Edg_002/N69_Edg_002_height.npy"", ""data/afm_second_order/6085/N6085_1um_000/N6085_1um_000_height.npy"", ""data/afm_second_order/6056/GdSb_N6056_ctr_013/GdSb_N6056_ctr_013_height.npy"", ""data/afm_second_order/6090/N6090_1um_001/N6090_1um_001_height.npy"", ""data/afm_second_order/6029/N6029_1um_008/N6029_1um_008_height.npy""]","{""6070"": 1.0}",0.0,1.0,False,fixed_seed_grid_no_outer_afm_selection
visual_trial_0001_strict_VB0_s0_q50,6029,strict,VB0,"[""6056"", ""6070"", ""6090"", ""6085"", ""6062""]","[""GdSb_N6056_ctr_013"", ""N69_Edg_002"", ""N6090_1um_001"", ""N6085_1um_000"", ""N62_Ctr_001""]","[""data/afm_second_order/6056/GdSb_N6056_ctr_013/GdSb_N6056_ctr_013_height.npy"", ""data/afm_second_order/6070/N69_Edg_002/N69_Edg_002_height.npy"", ""data/afm_second_order/6090/N6090_1um_001/N6090_1um_001_height.npy"", ""data/afm_second_order/6085/N6085_1um_000/N6085_1um_000_height.npy"", ""data/afm_second_order/6062/N62_Ctr_001/N62_Ctr_001_height.npy""]","{""6056"": 1.0}",0.0,1.0,False,fixed_seed_grid_no_outer_afm_selection
visual_trial_0001_strict_VB0_s0_q50,6033,strict,VB0,"[""6056"", ""6070"", ""6090"", ""6085"", ""6062""]","[""GdSb_N6056_ctr_013"", ""N69_Edg_002"", ""N6090_1um_001"", ""N6085_1um_000"", ""N62_Ctr_001""]","[""data/afm_second_order/6056/GdSb_N6056_ctr_013/GdSb_N6056_ctr_013_height.npy"", ""data/afm_second_order/6070/N69_Edg_002/N69_Edg_002_height.npy"", ""data/afm_second_order/6090/N6090_1um_001/N6090_1um_001_height.npy"", ""data/afm_second_order/6085/N6085_1um_000/N6085_1um_000_height.npy"", ""data/afm_second_order/6062/N62_Ctr_001/N62_Ctr_001_height.npy""]","{""6056"": 1.0}",0.0,1.0,False,fixed_seed_grid_no_outer_afm_selection
visual_trial_0001_strict_VB0_s0_q50,6047,strict,VB0,"[""6070"", ""6085"", ""6056"", ""6090"", ""6029""]","[""N69_Edg_002"", ""N6085_1um_000"", ""GdSb_N6056_ctr_013"", ""N6090_1um_001"", ""N6029_1um_008""]","[""data/afm_second_order/6070/N69_Edg_002/N69_Edg_002_height.npy"", ""data/afm_second_order/6085/N6085_1um_000/N6085_1um_000_height.npy"", ""data/afm_second_order/6056/GdSb_N6056_ctr_013/GdSb_N6056_ctr_013_height.npy"", ""data/afm_second_order/6090/N6090_1um_001/N6090_1um_001_height.npy"", ""data/afm_second_order/6029/N6029_1um_008/N6029_1um_008_height.npy""]","{""6070"": 1.0}",0.0,1.0,False,fixed_seed_grid_no_outer_afm_selection
visual_trial_0001_strict_VB0_s0_q50,6048,strict,VB0,"[""6056"", ""6070"", ""6090"", ""6085"", ""6062""]","[""GdSb_N6056_ctr_013"", ""N69_Edg_002"", ""N6090_1um_001"", ""N6085_1um_000"", ""N62_Ctr_001""]","[""data/afm_second_order/6056/GdSb_N6056_ctr_013/GdSb_N6056_ctr_013_height.npy"", ""data/afm_second_order/6070/N69_Edg_002/N69_Edg_002_height.npy"", ""data/afm_second_order/6090/N6090_1um_001/N6090_1um_001_height.npy"", ""data/afm_second_order/6085/N6085_1um_000/N6085_1um_000_height.npy"", ""data/afm_second_order/6062/N62_Ctr_001/N62_Ctr_001_height.npy""]","{""6056"": 1.0}",0.0,1.0,False,fixed_seed_grid_no_outer_afm_selection
visual_trial_0001_strict_VB0_s0_q50,6056,strict,VB0,"[""6070"", ""6085"", ""6090"", ""6029"", ""6062""]","[""N69_Edg_002"", ""N6085_1um_000"", ""N6090_1um_001"", ""N6029_1um_008"", ""N62_Ctr_001""]","[""data/afm_second_order/6070/N69_Edg_002/N69_Edg_002_height.npy"", ""data/afm_second_order/6085/N6085_1um_000/N6085_1um_000_height.npy"", ""data/afm_second_order/6090/N6090_1um_001/N6090_1um_001_height.npy"", ""data/afm_second_order/6029/N6029_1um_008/N6029_1um_008_height.npy"", ""data/afm_second_order/6062/N62_Ctr_001/N62_Ctr_001_height.npy""]","{""6070"": 1.0}",0.0,1.0,False,fixed_seed_grid_no_outer_afm_selection
visual_trial_0001_strict_VB0_s0_q50,6057,strict,VB0,"[""6070"", ""6085"", ""6056"", ""6090"", ""6029""]","[""N69_Edg_002"", ""N6085_1um_000"", ""GdSb_N6056_ctr_013"", ""N6090_1um_001"", ""N6029_1um_008""]","[""data/afm_second_order/6070/N69_Edg_002/N69_Edg_002_height.npy"", ""data/afm_second_order/6085/N6085_1um_000/N6085_1um_000_height.npy"", ""data/afm_second_order/6056/GdSb_N6056_ctr_013/GdSb_N6056_ctr_013_height.npy"", ""data/afm_second_order/6090/N6090_1um_001/N6090_1um_001_height.npy"", ""data/afm_second_order/6029/N6029_1um_008/N6029_1um_008_height.npy""]","{""6070"": 1.0}",0.0,1.0,False,fixed_seed_grid_no_outer_afm_selection
visual_trial_0001_strict_VB0_s0_q50,6062,strict,VB0,"[""6070"", ""6085"", ""6056"", ""6090"", ""6029""]","[""N69_Edg_002"", ""N6085_1um_000"", ""GdSb_N6056_ctr_013"", ""N6090_1um_001"", ""N6029_1um_008""]","[""data/afm_second_order/6070/N69_Edg_002/N69_Edg_002_height.npy"", ""data/afm_second_order/6085/N6085_1um_000/N6085_1um_000_height.npy"", ""data/afm_second_order/6056/GdSb_N6056_ctr_013/GdSb_N6056_ctr_013_height.npy"", ""data/afm_second_order/6090/N6090_1um_001/N6090_1um_001_height.npy"", ""data/afm_second_order/6029/N6029_1um_008/N6029_1um_008_height.npy""]","{""6070"": 1.0}",0.0,1.0,False,fixed_seed_grid_no_outer_afm_selection
visual_trial_0001_strict_VB0_s0_q50,6063,strict,VB0,"[""6070"", ""6085"", ""6056"", ""6090"", ""6029""]","[""N69_Edg_002"", ""N6085_1um_000"", ""GdSb_N6056_ctr_013"", ""N6090_1um_001"", ""N6029_1um_008""]","[""data/afm_second_order/6070/N69_Edg_002/N69_Edg_002_height.npy"", ""data/afm_second_order/6085/N6085_1um_000/N6085_1um_000_height.npy"", ""data/afm_second_order/6056/GdSb_N6056_ctr_013/GdSb_N6056_ctr_013_height.npy"", ""data/afm_second_order/6090/N6090_1um_001/N6090_1um_001_height.npy"", ""data/afm_second_order/6029/N6029_1um_008/N6029_1um_008_height.npy""]","{""6070"": 1.0}",0.0,1.0,False,fixed_seed_grid_no_outer_afm_selection
visual_trial_0001_strict_VB0_s0_q50,6070,strict,VB0,"[""6056"", ""6085"", ""6090"", ""6029"", ""6062""]","[""GdSb_N6056_ctr_013"", ""N6085_1um_000"", ""N6090_1um_001"", ""N6029_1um_008"", ""N62_Ctr_001""]","[""data/afm_second_order/6056/GdSb_N6056_ctr_013/GdSb_N6056_ctr_013_height.npy"", ""data/afm_second_order/6085/N6085_1um_000/N6085_1um_000_height.npy"", ""data/afm_second_order/6090/N6090_1um_001/N6090_1um_001_height.npy"", ""data/afm_second_order/6029/N6029_1um_008/N6029_1um_008_height.npy"", ""data/afm_second_order/6062/N62_Ctr_001/N62_Ctr_001_height.npy""]","{""6056"": 1.0}",0.0,1.0,False,fixed_seed_grid_no_outer_afm_selection
visual_trial_0001_strict_VB0_s0_q50,6072,strict,VB0,"[""6056"", ""6070"", ""6090"", ""6085"", ""6062""]","[""GdSb_N6056_ctr_013"", ""N69_Edg_002"", ""N6090_1um_001"", ""N6085_1um_000"", ""N62_Ctr_001""]","[""data/afm_second_order/6056/GdSb_N6056_ctr_013/GdSb_N6056_ctr_013_height.npy"", ""data/afm_second_order/6070/N69_Edg_002/N69_Edg_002_height.npy"", ""data/afm_second_order/6090/N6090_1um_001/N6090_1um_001_height.npy"", ""data/afm_second_order/6085/N6085_1um_000/N6085_1um_000_height.npy"", ""data/afm_second_order/6062/N62_Ctr_001/N62_Ctr_001_height.npy""]","{""6056"": 1.0}",0.0,1.0,False,fixed_seed_grid_no_outer_afm_selection
