method,method_family,visual_composite_score,normalized_psd_log_distance,histogram_wasserstein,correlation_length_relative_error,seam_energy,heldout_source_contribution
A3,retrieval,0.2114539805176648,0.3939389836376274,0.0807791181908659,0.2222222222222221,0.3055368065834045,0.0
VB1,retrieval,0.2114539805176648,0.3939389836376274,0.0807791181908659,0.2222222222222221,0.3055368065834045,0.0
A6,retrieval,0.2138748666825186,0.5336290363717964,0.0808307995835204,0.2857142857142856,0.2698533236980438,0.0
A2,retrieval,0.216594947795742,0.5307855266834168,0.0821555665515584,0.2222222222222221,0.2977515459060669,0.0
E2,texture,0.2389930241505078,0.486040562284407,0.0718249648166963,0.2222222222222221,0.3056688904762268,0.0
E1,texture,0.2390054209487996,0.4860406696873527,0.0718227276217685,0.2222222222222221,0.3055814504623413,0.0
A4,retrieval,0.2402774007260578,0.5672836349673368,0.0895803016431681,0.2857142857142856,0.2842438817024231,0.0
A5,retrieval,0.2402774007260578,0.5672836349673368,0.0895803016431681,0.2857142857142856,0.2842438817024231,0.0
A1,retrieval,0.2576187501518651,0.6354718386105812,0.0868342844918948,0.2222222222222221,0.2842438817024231,0.0
VB2,quilting,0.2601731867821132,0.4589891491133079,0.1039070379244522,0.2222222222222221,0.2996498346328735,0.0
B2,quilting,0.2660693498098878,0.4557456813799983,0.0852348477844699,0.1666666666666666,0.2999273538589477,0.0
VB0,baseline,0.2754198061694656,0.9298459930965274,0.0609012164640136,0.111111111111111,0.3082254827022552,0.0
B1,quilting,0.2826120949718085,0.4470949475894101,0.0726571717566979,0.2222222222222221,0.3246537744998932,0.0
D4,iaaft,0.2853891547701939,0.530979030335098,0.0821555664274762,0.2222222222222221,0.3359967172145843,0.0
D1,iaaft,0.2871163084901542,0.3940728223733643,0.0807791182579237,0.2222222222222221,0.3691524267196655,0.0
C1,residual,0.2960113946122025,0.7161159213945325,0.110843912479685,0.2499999999999999,0.2153829485177993,0.0
F1,vq,0.3431883140940885,0.8847647728832282,0.1002641490495234,0.1428571428571428,0.2726093530654907,0.0
F2,vq,0.3431883140940885,0.8847647728832282,0.1002641490495234,0.1428571428571428,0.2726093530654907,0.0
G4,diffusion,0.352997882980451,0.6002835757679789,0.1135755291349384,0.3333333333333334,0.259362518787384,0.0
C2,residual,0.3640527790404207,0.6675795764035509,0.1108382254131722,0.4999999999999999,0.2660769820213318,0.0
