relative_path,bytes,sha256,file_type,width_px,height_px,mode
01_rheed_inputs/model_ready/N6342_keyframe_1_raw_luminance.npz,8353,2a04c7ce37c82821ebb89baea9936e4441f352243a149a67b8a8b712d5ea3b86,npz,,,
01_rheed_inputs/model_ready/N6342_model_ready_224x224_luminance.png,5624,665b353da4300692f585ecf9f20afc7b79d24a2f1a7c49a121142b821a4b441a,png,224,224,L
01_rheed_inputs/model_ready/N6358_keyframe_1_raw_luminance.npz,6539,55c322ae2618d8f0a8e149deb3d33305b766d70fa00ce5d2e3683cce6cbe1523,npz,,,
01_rheed_inputs/model_ready/N6358_model_ready_224x224_luminance.png,4437,85ef865947cbaf417bd679d873fb9d54cdbfa0bb5d80d294e134cdf3470e46a2,png,224,224,L
01_rheed_inputs/model_ready/N6382_keyframe_1_raw_luminance.npz,6296,b538a049d12ae9a9f4b5d624b5f3db8e517af655fd64407f6268195e1efb124a,npz,,,
01_rheed_inputs/model_ready/N6382_model_ready_224x224_luminance.png,4328,0ade782ab6e43dcd20043466b8d039357d608f40926aa54289e30cbfe4930012,png,224,224,L
01_rheed_inputs/model_ready/N6389_keyframe_1_raw_luminance.npz,5530,d2ffa63879d40c7193a101f034c852eb1d8516d214ac0d097d601950557e7115,npz,,,
01_rheed_inputs/model_ready/N6389_model_ready_224x224_luminance.png,3729,a3afc45a078f0a0da9a05ae0cea3d70cec1e4c9419b35b59adbf67ecaeaf313a,png,224,224,L
01_rheed_inputs/model_ready/N6390_keyframe_1_raw_luminance.npz,6933,50bc69e7eb56e5f7c4b0ff9cec4b66c6a4b7980695149bf1e930303fdef56f22,npz,,,
01_rheed_inputs/model_ready/N6390_model_ready_224x224_luminance.png,4780,cea18dc3a410ae7379de3fcd532dc092bba9f6b281c7fb33e728d8fb90668a38,png,224,224,L
01_rheed_inputs/model_ready/N6390_model_ready_patch14_grid.png,91505,bed115d82ae9fb2250673a5529a6b6c163051b444d82165fa25850a6781f5a83,png,1864,1993,RGBA
01_rheed_inputs/raw_keyframes/N6342_frame_001501.png,4555982,fe9692aeaa63b818c3d9c167422f7e42e2f41f972310461994c6759530fbd5fe,png,1376,1100,RGB
01_rheed_inputs/raw_keyframes/N6358_frame_000620.png,4555982,b6a70f6774d2949f08441e4705696b897c2c59d7e0e60b4fb81d8a8451939d72,png,1376,1100,RGB
01_rheed_inputs/raw_keyframes/N6382_frame_000159.png,4555982,b7b4639efa0b5296b9ef302343665c3bfc3f6ed324f2070bed00ecd7a40234c4,png,1376,1100,RGB
01_rheed_inputs/raw_keyframes/N6389_frame_000600.png,4543481,8a9fc53b271026f2efc525508b20cc9aa25b503901111747b24a19449b93662f,png,1376,1100,RGB
01_rheed_inputs/raw_keyframes/N6390_frame_000137.png,4543481,f57ac3618dae174fbc88eee806c9f6ff3315e8f812275880a1c56c1f3b19717d,png,1376,1100,RGB
01_rheed_inputs/roi_keyframes/N6342_frame_001501_roi.png,1656903,e8be8c57a7c92f9c89ec90ec4bf0dd5db3b352fdeb72261063edaaeb1f5afe66,png,620,890,RGB
01_rheed_inputs/roi_keyframes/N6358_frame_000620_roi.png,1510104,bcebc417259441128e09f8d96d6f2d3529b8a9035d7bbacc8a99be1283291434,png,603,834,RGB
01_rheed_inputs/roi_keyframes/N6382_frame_000159_roi.png,1761025,a5c20daaa3e988d7fc33e26ebce38b63e9ca0394c3474974d75c0c178c6795eb,png,668,878,RGB
01_rheed_inputs/roi_keyframes/N6389_frame_000600_roi.png,1562739,b304acf60e00ea060c75855a8fbea017642f9ec6148f2d9f4e93b96c37d2936b,png,613,849,RGB
01_rheed_inputs/roi_keyframes/N6390_frame_000137_roi.png,1719572,031d6c85c30c4abd3a672d5f605f311341542f596ea9df3852d582dc7efc2975,png,656,873,RGB
02_afm_ground_truth_selected/N6342_GT5_top_left_quarter_heightbar_Rq.png,184457,753548da5c80357e4e41115ca19476d3e69e3ef1aebe9b44c8041de3c40b4a3c,png,1070,1104,RGBA
02_afm_ground_truth_selected/N6358_GT4_top_left_quarter_heightbar_Rq.png,166341,c7391a74e30731095da711b9db8bc1f9224041df0df8c260b9c8ee111eeba095,png,1070,1104,RGBA
02_afm_ground_truth_selected/N6382_GT2_top_left_quarter_heightbar_Rq.png,175230,4b0e9a2a09c9807107b235073477670ba5bb6219ac26ad4f5790833501a97080,png,1070,1104,RGBA
02_afm_ground_truth_selected/N6389_GT3_top_left_quarter_heightbar_Rq.png,170976,5990015207fa98447d3597aabce13c3fb741d16c0b1841ad1db8d09ae9f35d97,png,1070,1104,RGBA
02_afm_ground_truth_selected/N6390_GT1_top_left_quarter_heightbar_Rq.png,216661,3cbfd36dac2855a79a864fbcde6db3b8ba8e9bfe2260aca1971b760c75f40835,png,1070,1104,RGBA
03_afm_retrieval_outputs/N6342_retrieved_heightbar_rq.png,194775,c8a1fcec0ebbae16914712ffd0a72f684ea6c505d08106a58f158f4ad64859df,png,1070,1104,RGBA
03_afm_retrieval_outputs/N6389_retrieved_heightbar_rq.png,196411,9b6041cea212fd340864fd93ae401583003f21ee00e6493e40f41ed93f3e5fd4,png,1070,1104,RGBA
03_afm_retrieval_outputs/N6390_retrieved_heightbar_rq.png,195606,a36fe219ebd89dafa3e9ace9a9c0acbad4f9c191e99305d80b9642fdf6796046,png,1070,1104,RGBA
04_afm_candidate_bank/N6390_A3_top5_candidate_bank_montage.png,1082316,9ac8d9022d7f212a523d8ca0534d222728a103c9c010e81cd958317d0ceb47a7,png,7372,1767,RGBA
04_afm_candidate_bank/rank1_6028_N6028_500_nm_006_selected_heightbar_Rq.png,241366,c65d9b05927866f2c3419498509c7107453575cf6e4e8ac5bf02febca992fba2,png,1757,1898,RGBA
04_afm_candidate_bank/rank2_6085_N6085_1um_001_candidate_heightbar_Rq.png,234067,3f14b554cde9bd28d4bdd7366294ac47605fe1f2af91f7d49a4d136a28128d25,png,1757,1898,RGBA
