sample_id,role,AFM_label_used_for_fit
6022,historical_training,True
6028,historical_training,True
6029,historical_training,True
6033,historical_training,True
6047,historical_training,True
6048,historical_training,True
6056,historical_training,True
6057,historical_training,True
6062,historical_training,True
6063,historical_training,True
6070,historical_training,True
6072,historical_training,True
6078,historical_training,True
6080,historical_training,True
6081,historical_training,True
6082,historical_training,True
6084,historical_training,True
6085,historical_training,True
6090,historical_training,True
6094,historical_training,True
6095,historical_training,True
6099,historical_training,True
6101,historical_training,True
N6358,added_training,True
N6382,added_training,True
N6342,prediction,False
N6389,prediction,False
N6390,prediction,False
N6324,ignored,False
