sample_id,source_video_relpath,role,relative_offset,source_frame_index_0based,estimated_timestamp_sec,frame_stride
N6342,data/compressedfile/N6342/Ramp down to 200C.mpg,before,-8,1493,149.3,1
N6342,data/compressedfile/N6342/Ramp down to 200C.mpg,before,-7,1494,149.4,1
N6342,data/compressedfile/N6342/Ramp down to 200C.mpg,before,-6,1495,149.5,1
N6342,data/compressedfile/N6342/Ramp down to 200C.mpg,before,-5,1496,149.6,1
N6342,data/compressedfile/N6342/Ramp down to 200C.mpg,before,-4,1497,149.7,1
N6342,data/compressedfile/N6342/Ramp down to 200C.mpg,before,-3,1498,149.8,1
N6342,data/compressedfile/N6342/Ramp down to 200C.mpg,before,-2,1499,149.9,1
N6342,data/compressedfile/N6342/Ramp down to 200C.mpg,before,-1,1500,150.0,1
N6342,data/compressedfile/N6342/Ramp down to 200C.mpg,keyframe,0,1501,150.1,1
N6342,data/compressedfile/N6342/Ramp down to 200C.mpg,after,+1,1502,150.2,1
N6342,data/compressedfile/N6342/Ramp down to 200C.mpg,after,+2,1503,150.3,1
N6342,data/compressedfile/N6342/Ramp down to 200C.mpg,after,+3,1504,150.4,1
N6342,data/compressedfile/N6342/Ramp down to 200C.mpg,after,+4,1505,150.5,1
N6342,data/compressedfile/N6342/Ramp down to 200C.mpg,after,+5,1506,150.6,1
N6342,data/compressedfile/N6342/Ramp down to 200C.mpg,after,+6,1507,150.7,1
N6342,data/compressedfile/N6342/Ramp down to 200C.mpg,after,+7,1508,150.8,1
N6342,data/compressedfile/N6342/Ramp down to 200C.mpg,after,+8,1509,150.9,1
N6358,data/compressedfile/N6358/After rampdown to 200C.mpg,before,-8,612,61.2,1
N6358,data/compressedfile/N6358/After rampdown to 200C.mpg,before,-7,613,61.3,1
N6358,data/compressedfile/N6358/After rampdown to 200C.mpg,before,-6,614,61.4,1
N6358,data/compressedfile/N6358/After rampdown to 200C.mpg,before,-5,615,61.5,1
N6358,data/compressedfile/N6358/After rampdown to 200C.mpg,before,-4,616,61.6,1
N6358,data/compressedfile/N6358/After rampdown to 200C.mpg,before,-3,617,61.7,1
N6358,data/compressedfile/N6358/After rampdown to 200C.mpg,before,-2,618,61.8,1
N6358,data/compressedfile/N6358/After rampdown to 200C.mpg,before,-1,619,61.9,1
N6358,data/compressedfile/N6358/After rampdown to 200C.mpg,keyframe,0,620,62.0,1
N6358,data/compressedfile/N6358/After rampdown to 200C.mpg,after,+1,621,62.1,1
N6358,data/compressedfile/N6358/After rampdown to 200C.mpg,after,+2,622,62.2,1
N6358,data/compressedfile/N6358/After rampdown to 200C.mpg,after,+3,623,62.3,1
N6358,data/compressedfile/N6358/After rampdown to 200C.mpg,after,+4,624,62.4,1
N6358,data/compressedfile/N6358/After rampdown to 200C.mpg,after,+5,625,62.5,1
