packaged_relative_path,original_source_path,role,copied_or_wrapped,sha256,notes
publication_freeze/prospective_unseen_single_frame_v1/code/discover_unseen_videos.py,,new non-interactive MPG discovery command,new,6a11bdcd756f861bf3b291aede1f408325f61d3a79c9ca303252ea9a2db9c5d4,prospective unseen package file
publication_freeze/prospective_unseen_single_frame_v1/code/launch_keyframe_selector.py,,new GUI launcher and cache clear command,new,7ea607c6ed4311bc7e5f093c3315de21be32c14737c911ee0102f6c2ed5b8f24,prospective unseen package file
publication_freeze/prospective_unseen_single_frame_v1/code/finalize_keyframe_selections.py,,new completion-gated finalizer,new,c1fcd44fea541daaee4fc0c0d086b847b4a97651db3bfde521dfc9e0b3760672,prospective unseen package file
publication_freeze/prospective_unseen_single_frame_v1/code/validate_keyframe_selections.py,,new validation command,new,7b6d22331cfa4b01414940fd0bae2d8a0e85395c736a0678111cb2f2823bf45b,prospective unseen package file
publication_freeze/prospective_unseen_single_frame_v1/code/keyframe_selector/common.py,,"shared config, IO, hashing, CSV helpers",new,f3d8932b5cdef3999c10ae8b58636333462ea3841a39bc089d4a88d8998de032,prospective unseen package file
publication_freeze/prospective_unseen_single_frame_v1/code/keyframe_selector/decoder.py,,ffprobe/ffmpeg decoder abstraction,new,c468215131f01afe97374e7a6759353a359a4360dd1671a591b20c528c55d76a,prospective unseen package file
publication_freeze/prospective_unseen_single_frame_v1/code/keyframe_selector/gui.py,,PySide6 MPG-in-place keyframe and ROI selector,minimal repair/wrapper,c4f5556850e3db6dc17d820761378fbb66e1263f9cef84fb82b1fe502f8d5e53,prospective unseen package file
publication_freeze/prospective_unseen_single_frame_v1/code/keyframe_selector/manifests.py,,"metadata, ROI crop, and manifest writer",new,bfa018f0485b779dc1c411678cfdb2784779db10b9a0aeb611ea8f0f8bd1ff85,prospective unseen package file
publication_freeze/prospective_unseen_single_frame_v1/code/keyframe_selector/provenance.py,,package provenance writer,new,8ca55dc01b5454438bd21de502f81fb53af017eabbc14d9589fdd83f2a001201,prospective unseen package file
not copied byte-for-byte,src/rheed2morph/rheed/manual_roi_qt.py,most recent functional PySide6 reviewer; GUI pattern and resume/save behavior source,wrapped,e16965f32816886b61c8f43c448536ab5bcd15bca130e0b4d69b235399552e01,audited existing repository source
not copied byte-for-byte,src/rheed2morph/rheed/manual_roi.py,"atomic JSON, ROI validation, source-pixel metadata helper source",wrapped,018a3ff29cb0fc12c236e5c769bf9777ac000d60369f5671152a3d36347a6af5,audited existing repository source
not copied byte-for-byte,tools/manual_rheed_roi_reviewer.py,most recent local launcher for PySide6 reviewer,wrapped,9532fb7ce0198b4e1e3b420ef5a75dac518d74a5f3b93f35bf0ad6891b95fd4a,audited existing repository source
