sample_id,track,method,method_family,method_label,seed,amplitude_key,conditioned_rq_nm,source_sample_ids,source_scan_ids,source_afm_paths,source_contributions,heldout_source_contribution,largest_single_source_contribution,source_group_count,uses_predicted_rq_not_true_rq,oracle_uses_true_descriptors,full_cohort_development,strict_seed_selection,measured_rq_nm,conditioned_rq_error_nm,measured_ra_nm,histogram_wasserstein,gradient_distribution_error,seam_energy,patch_boundary_energy,repeated_patch_fraction,source_dominance_penalty,exact_identity,maximum_ssim_to_any_source,normalized_psd_log_distance,psd_low_band_error,psd_mid_band_error,psd_high_band_error,psd_slope_error,correlation_length_abs_error_nm,correlation_length_relative_error,anisotropy_error,skewness_error,kurtosis_error,height_quantile_error,ra_rq_error,visual_composite_score,retrospective_only_uses_true_afm_for_evaluation,trial_id,map_path
6022,strict,A3,retrieval,Retrieved real AFM exemplar,0,q50,3.7091275285056593,"['6085', '6090', '6033', '6029', '6082']","['N6085_1um_000', 'N6090_1um_001', 'N6033_1um_016', 'N6029_1um_008', 'N6082_1um_001']","['data/afm_second_order/6085/N6085_1um_000/N6085_1um_000_height.npy', 'data/afm_second_order/6090/N6090_1um_001/N6090_1um_001_height.npy', 'data/afm_second_order/6033/N6033_1um_016/N6033_1um_016_height.npy', 'data/afm_second_order/6029/N6029_1um_008/N6029_1um_008_height.npy', 'data/afm_second_order/6082/N6082_1um_001/N6082_1um_001_height.npy']",{'6085': 1.0},0.0,1.0,1,True,False,False,fixed_seed_grid_no_outer_afm_selection,3.709123861788565,3.666717094841232e-06,2.9502045013347473,0.1112917497088045,30.442892139987464,0.214042842388153,0.214042842388153,0.1999999999999999,0.3,False,0.9999999999999826,0.6462237627673656,0.0001079398154202,7.646722771751063e-05,3.147258770290893e-05,0.5067267370029551,7.843137254901961,0.1428571428571428,0.7348484848484849,0.545899481693827,0.3021490477750652,0.1980966165927903,0.0056993540665963,0.2263002051456761,True,visual_trial_0022_strict_A3_s0_q50,outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A3/6022__A3__seed0__q50.npy
6028,strict,A3,retrieval,Retrieved real AFM exemplar,0,q50,4.294815483587829,"['6094', '6063', '6057', '6080', '6029']","['N6094_150nm_002', 'N63_Ctr_002', 'GdSb_N6057_edge_014', 'N80_Ctr_000', 'N6029_1um_008']","['data/afm_second_order/6094/N6094_150nm_002/N6094_150nm_002_height.npy', 'data/afm_second_order/6063/N63_Ctr_002/N63_Ctr_002_height.npy', 'data/afm_second_order/6057/GdSb_N6057_edge_014/GdSb_N6057_edge_014_height.npy', 'data/afm_second_order/6080/N80_Ctr_000/N80_Ctr_000_height.npy', 'data/afm_second_order/6029/N6029_1um_008/N6029_1um_008_height.npy']",{'6094': 1.0},0.0,1.0,1,True,False,False,fixed_seed_grid_no_outer_afm_selection,4.2948112293930185,4.254194810648926e-06,3.3334086657762017,0.0297396272830458,13.88881142983402,0.3055368065834045,0.3055368065834045,0.1999999999999999,0.3,False,0.999999999999998,0.184474565463939,0.0001093273187926,0.0001025588980387,6.768420753895345e-06,0.0049760554719533,3.921568627450977,0.111111111111111,0.0317460317460316,0.0647175920300671,0.3566728040287583,0.0762709716601032,0.0055778048966568,0.112092595260852,True,visual_trial_0022_strict_A3_s0_q50,outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A3/6028__A3__seed0__q50.npy
6029,strict,A3,retrieval,Retrieved real AFM exemplar,0,q50,2.8095809195348114,"['6078', '6047', '6062', '6094', '6048']","['N78_Ctr_000', 'N6047_1um_008', 'N62_Ctr_001', 'N6094_150nm_002', 'N6048_1um_027']","['data/afm_second_order/6078/N78_Ctr_000/N78_Ctr_000_height.npy', 'data/afm_second_order/6047/N6047_1um_008/N6047_1um_008_height.npy', 'data/afm_second_order/6062/N62_Ctr_001/N62_Ctr_001_height.npy', 'data/afm_second_order/6094/N6094_150nm_002/N6094_150nm_002_height.npy', 'data/afm_second_order/6048/N6048_1um_027/N6048_1um_027_height.npy']",{'6078': 1.0},0.0,1.0,1,True,False,False,fixed_seed_grid_no_outer_afm_selection,2.809578200331222,2.7192035894074702e-06,2.171367464090008,0.0807791181908659,44.59869236888915,0.339407742023468,0.339407742023468,0.1999999999999999,0.3,False,0.9999999999999932,0.5307881106603546,0.0002113422161529,0.0001831589869307,2.818322922216682e-05,0.2349211847937118,7.843137254901958,0.2222222222222221,0.0555555555555555,0.2847249319664947,0.7549661049667145,0.1069350892677903,0.0191789099859932,0.2114539805176648,True,visual_trial_0022_strict_A3_s0_q50,outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A3/6029__A3__seed0__q50.npy
6033,strict,A3,retrieval,Retrieved real AFM exemplar,0,q50,2.5783959038883295,"['6078', '6047', '6057', '6022', '6056']","['N78_Ctr_000', 'N6047_1um_008', 'GdSb_N6057_edge_014', 'N6022_Ctr_000', 'GdSb_N6056_ctr_013']","['data/afm_second_order/6078/N78_Ctr_000/N78_Ctr_000_height.npy', 'data/afm_second_order/6047/N6047_1um_008/N6047_1um_008_height.npy', 'data/afm_second_order/6057/GdSb_N6057_edge_014/GdSb_N6057_edge_014_height.npy', 'data/afm_second_order/6022/N6022_Ctr_000/N6022_Ctr_000_height.npy', 'data/afm_second_order/6056/GdSb_N6056_ctr_013/GdSb_N6056_ctr_013_height.npy']",{'6078': 1.0},0.0,1.0,1,True,False,False,fixed_seed_grid_no_outer_afm_selection,2.578393455539244,2.448349085693025e-06,1.9926975716230824,0.0995974563680586,43.23384216353432,0.339407742023468,0.339407742023468,0.1999999999999999,0.3,False,0.9999999999999912,0.3939389836376274,7.73826314633963e-05,5.9599611493348005e-05,1.7783019970220846e-05,0.084192183933327,7.843137254901958,0.2222222222222221,0.1666666666666667,0.5570181339689092,0.9309243972913008,0.1883074839200293,0.0202928020403823,0.1950441447568358,True,visual_trial_0022_strict_A3_s0_q50,outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A3/6033__A3__seed0__q50.npy
6047,strict,A3,retrieval,Retrieved real AFM exemplar,0,q50,3.0331323378763813,"['6072', '6056', '6078', '6057', '6022']","['6072_500_nm_004', 'GdSb_N6056_ctr_013', 'N78_Ctr_000', 'GdSb_N6057_edge_014', 'N6022_Ctr_000']","['data/afm_second_order/6072/6072_500_nm_004/6072_500_nm_004_height.npy', 'data/afm_second_order/6056/GdSb_N6056_ctr_013/GdSb_N6056_ctr_013_height.npy', 'data/afm_second_order/6078/N78_Ctr_000/N78_Ctr_000_height.npy', 'data/afm_second_order/6057/GdSb_N6057_edge_014/GdSb_N6057_edge_014_height.npy', 'data/afm_second_order/6022/N6022_Ctr_000/N6022_Ctr_000_height.npy']",{'6072': 1.0},0.0,1.0,1,True,False,False,fixed_seed_grid_no_outer_afm_selection,3.0331291770875195,3.160788861755748e-06,2.346416704198188,0.0821557843360103,44.80215393250077,0.3966684937477112,0.3966684937477112,0.1999999999999999,0.3,False,0.9999999999999952,0.6136198485588079,0.000829247716876,0.0007825989939229,4.6648722953197366e-05,0.0489033697098904,7.843137254901961,0.25,0.1190476190476188,0.3444528509046276,0.4382904342864613,0.1399655260145665,0.0222193170361191,0.2402774007260578,True,visual_trial_0022_strict_A3_s0_q50,outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A3/6047__A3__seed0__q50.npy
6048,strict,A3,retrieval,Retrieved real AFM exemplar,0,q50,3.0029924937225534,"['6078', '6094', '6029', '6085', '6082']","['N78_Ctr_000', 'N6094_150nm_002', 'N6029_1um_008', 'N6085_1um_000', 'N6082_1um_001']","['data/afm_second_order/6078/N78_Ctr_000/N78_Ctr_000_height.npy', 'data/afm_second_order/6094/N6094_150nm_002/N6094_150nm_002_height.npy', 'data/afm_second_order/6029/N6029_1um_008/N6029_1um_008_height.npy', 'data/afm_second_order/6085/N6085_1um_000/N6085_1um_000_height.npy', 'data/afm_second_order/6082/N6082_1um_001/N6082_1um_001_height.npy']",{'6078': 1.0},0.0,1.0,1,True,False,False,fixed_seed_grid_no_outer_afm_selection,3.002989609016855,2.884705698313894e-06,2.320844435283955,0.046467426677666,36.203690794680824,0.339407742023468,0.339407742023468,0.1999999999999999,0.3,False,0.9999999999999926,0.2748867152132888,7.418675357839799e-05,5.9682808179093664e-05,1.4503945399286796e-05,0.0358536524821606,7.843137254901958,0.2222222222222221,0.0833333333333332,0.2133594652891677,0.691713559689024,0.0571202307141252,0.0129165423831199,0.1501454616292425,True,visual_trial_0022_strict_A3_s0_q50,outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A3/6048__A3__seed0__q50.npy
6056,strict,A3,retrieval,Retrieved real AFM exemplar,0,q50,2.9091361298668383,"['6057', '6033', '6090', '6084', '6085']","['GdSb_N6057_edge_014', 'N6033_1um_016', 'N6090_1um_001', 'N6084_1um_006', 'N6085_1um_000']","['data/afm_second_order/6057/GdSb_N6057_edge_014/GdSb_N6057_edge_014_height.npy', 'data/afm_second_order/6033/N6033_1um_016/N6033_1um_016_height.npy', 'data/afm_second_order/6090/N6090_1um_001/N6090_1um_001_height.npy', 'data/afm_second_order/6084/N6084_1um_006/N6084_1um_006_height.npy', 'data/afm_second_order/6085/N6085_1um_000/N6085_1um_000_height.npy']",{'6057': 1.0},0.0,1.0,1,True,False,False,fixed_seed_grid_no_outer_afm_selection,2.90913335018466,2.779682178211118e-06,2.2890470470237143,0.0458153609320332,29.72467424163014,0.2545145750045776,0.2545145750045776,0.1999999999999999,0.3,False,0.999999999999977,0.3741534131378525,0.0001067918341683,6.69918880687936e-05,3.979994609924705e-05,0.1814106964640842,3.921568627450977,0.1249999999999999,0.0138888888888888,0.2199404971285966,0.1279741499873106,0.1032802793596473,0.0100913210011729,0.1531422093687356,True,visual_trial_0022_strict_A3_s0_q50,outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A3/6056__A3__seed0__q50.npy
6057,strict,A3,retrieval,Retrieved real AFM exemplar,0,q50,2.6767453247653292,"['6085', '6090', '6029', '6033', '6082']","['N6085_1um_000', 'N6090_1um_001', 'N6029_1um_008', 'N6033_1um_016', 'N6082_1um_001']","['data/afm_second_order/6085/N6085_1um_000/N6085_1um_000_height.npy', 'data/afm_second_order/6090/N6090_1um_001/N6090_1um_001_height.npy', 'data/afm_second_order/6029/N6029_1um_008/N6029_1um_008_height.npy', 'data/afm_second_order/6033/N6033_1um_016/N6033_1um_016_height.npy', 'data/afm_second_order/6082/N6082_1um_001/N6082_1um_001_height.npy']",{'6085': 1.0},0.0,1.0,1,True,False,False,fixed_seed_grid_no_outer_afm_selection,2.6767428424325943,2.4823327349210444e-06,2.129057717536895,0.0531896912294497,26.123436437782885,0.2140428125858307,0.2140428125858307,0.1999999999999999,0.3,False,0.9999999999999702,0.7485784845592094,0.0003609006605923,0.0003263755129917,3.452514760044925e-05,0.3714182291845596,11.764705882352942,0.3333333333333334,0.0277777777777779,0.3390332856158936,0.1731964691889729,0.1401500440468746,0.0085426651384565,0.2608326078289098,True,visual_trial_0022_strict_A3_s0_q50,outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A3/6057__A3__seed0__q50.npy
6062,strict,A3,retrieval,Retrieved real AFM exemplar,0,q50,2.1570690914243205,"['6048', '6033', '6082', '6084', '6085']","['N6048_1um_027', 'N6033_1um_016', 'N6082_1um_001', 'N6084_1um_006', 'N6085_1um_000']","['data/afm_second_order/6048/N6048_1um_027/N6048_1um_027_height.npy', 'data/afm_second_order/6033/N6033_1um_016/N6033_1um_016_height.npy', 'data/afm_second_order/6082/N6082_1um_001/N6082_1um_001_height.npy', 'data/afm_second_order/6084/N6084_1um_006/N6084_1um_006_height.npy', 'data/afm_second_order/6085/N6085_1um_000/N6085_1um_000_height.npy']",{'6048': 1.0},0.0,1.0,1,True,False,False,fixed_seed_grid_no_outer_afm_selection,2.15706718067902,1.9107453006483865e-06,1.694940113787159,0.113702697761664,39.49404406973858,0.2842438817024231,0.2842438817024231,0.1999999999999999,0.3,False,0.9999999999999756,0.6009396502566273,0.0001583931400331,0.0001632680915504,4.874951517104652e-06,0.5811287929823008,7.843137254901958,0.2857142857142856,0.25,0.6922052739230435,1.329795538586863,0.1949810784044009,0.0351990515032363,0.2443381225235421,True,visual_trial_0022_strict_A3_s0_q50,outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A3/6062__A3__seed0__q50.npy
6063,strict,A3,retrieval,Retrieved real AFM exemplar,0,q50,4.8854592695860495,"['6094', '6028', '6080', '6029', '6062']","['N6094_150nm_002', 'N6028_1um_003', 'N80_Ctr_000', 'N6029_1um_008', 'N62_Ctr_001']","['data/afm_second_order/6094/N6094_150nm_002/N6094_150nm_002_height.npy', 'data/afm_second_order/6028/N6028_1um_003/N6028_1um_003_height.npy', 'data/afm_second_order/6080/N80_Ctr_000/N80_Ctr_000_height.npy', 'data/afm_second_order/6029/N6029_1um_008/N6029_1um_008_height.npy', 'data/afm_second_order/6062/N62_Ctr_001/N62_Ctr_001_height.npy']",{'6094': 1.0},0.0,1.0,1,True,False,False,fixed_seed_grid_no_outer_afm_selection,4.885454518482715,4.751103334754703e-06,3.791835207702943,0.0542458677061246,2.7557911349019832,0.3055368065834045,0.3055368065834045,0.1999999999999999,0.3,False,0.9999999999999836,0.3012437904823703,7.323748467102931e-05,6.725291002966345e-05,5.9845746412786485e-06,0.1298335002239774,3.921568627450977,0.111111111111111,0.0178571428571427,0.0519828423258873,0.0778454728652429,0.0684493765234947,0.0090848939295965,0.1383402162730473,True,visual_trial_0022_strict_A3_s0_q50,outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A3/6063__A3__seed0__q50.npy
