sample_id,family,method_id,strict_track,deployable_for_unseen,recommended_for_unseen,predicted_rq_nm,true_rq_nm,output_q50_measured_rq_nm,predicted_rq_q10,predicted_rq_q50,predicted_rq_q90,source_sample_ids,heldout_source_contribution,uses_predicted_rq_not_true_rq,uses_heldout_true_afm_for_selection,uses_heldout_true_descriptors_for_selection,visual_composite,psd_distance,histogram_wasserstein,corr_length_relative_error,anisotropy_error_if_available,support,abstain_flag_if_available,q10_q90_generation,rendered_q10_path,rendered_q50_path,rendered_q90_path,generated_q10_map_path,generated_q50_map_path,generated_q90_map_path,ground_truth_afm_path,rheed_keyframe_path,atlas_png_path,atlas_pdf_path
6022,retrieval,A3,True,True,True,3.7091275285056593,1.5053786635398865,3.709123861788565,1.8166408578155833,3.7091275285056593,5.601614199195735,"[""6085"", ""6090"", ""6033"", ""6029"", ""6082""]",0.0,True,False,False,0.2263002051456761,0.6462237627673656,0.1112917497088045,0.1428571428571428,0.7348484848484849,strict_oof_rheed_conditioned,False,amplitude_only_rescale_from_fixed_seed0_q50,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/rendered_maps/retrieval/6022__A3__seed0__q10.png,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/rendered_maps/retrieval/6022__A3__seed0__q50.png,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/rendered_maps/retrieval/6022__A3__seed0__q90.png,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/scaled_maps/retrieval/6022__A3__seed0__q10_amplitude_only.npy,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A3/6022__A3__seed0__q50.npy,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/scaled_maps/retrieval/6022__A3__seed0__q90_amplitude_only.npy,data/afm_second_order/6022/N6022_Ctr_000/N6022_Ctr_000_height.npy,outputs/rheed_video_afm_story/phase2a/clip_variants/keyframe_1/6022.npz,/Users/ziyi/Desktop/LAB/code/reports/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/figures/Fig_fixed_retrieval_all_23_strict_oof_atlas.png,/Users/ziyi/Desktop/LAB/code/reports/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/figures/Fig_fixed_retrieval_all_23_strict_oof_atlas.pdf
6028,retrieval,A3,True,True,True,4.294815483587829,5.7479071617126465,4.2948112293930185,2.069534119164398,4.294815483587829,6.52009684801126,"[""6094"", ""6063"", ""6057"", ""6080"", ""6029""]",0.0,True,False,False,0.112092595260852,0.184474565463939,0.0297396272830458,0.111111111111111,0.0317460317460316,strict_oof_rheed_conditioned,False,amplitude_only_rescale_from_fixed_seed0_q50,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/rendered_maps/retrieval/6028__A3__seed0__q10.png,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/rendered_maps/retrieval/6028__A3__seed0__q50.png,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/rendered_maps/retrieval/6028__A3__seed0__q90.png,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/scaled_maps/retrieval/6028__A3__seed0__q10_amplitude_only.npy,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A3/6028__A3__seed0__q50.npy,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/scaled_maps/retrieval/6028__A3__seed0__q90_amplitude_only.npy,data/afm_second_order/6028/N6028_1um_003/N6028_1um_003_height.npy,outputs/rheed_video_afm_story/phase2a/clip_variants/keyframe_1/6028.npz,/Users/ziyi/Desktop/LAB/code/reports/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/figures/Fig_fixed_retrieval_all_23_strict_oof_atlas.png,/Users/ziyi/Desktop/LAB/code/reports/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/figures/Fig_fixed_retrieval_all_23_strict_oof_atlas.pdf
6029,retrieval,A3,True,True,True,2.8095809195348114,2.3621323108673096,2.809578200331222,0.5842995551113801,2.8095809195348114,5.034862283958242,"[""6078"", ""6047"", ""6062"", ""6094"", ""6048""]",0.0,True,False,False,0.2114539805176648,0.5307881106603546,0.0807791181908659,0.2222222222222221,0.0555555555555555,strict_oof_rheed_conditioned,False,amplitude_only_rescale_from_fixed_seed0_q50,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/rendered_maps/retrieval/6029__A3__seed0__q10.png,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/rendered_maps/retrieval/6029__A3__seed0__q50.png,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/rendered_maps/retrieval/6029__A3__seed0__q90.png,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/scaled_maps/retrieval/6029__A3__seed0__q10_amplitude_only.npy,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A3/6029__A3__seed0__q50.npy,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/scaled_maps/retrieval/6029__A3__seed0__q90_amplitude_only.npy,data/afm_second_order/6029/N6029_1um_008/N6029_1um_008_height.npy,outputs/rheed_video_afm_story/phase2a/clip_variants/keyframe_1/6029.npz,/Users/ziyi/Desktop/LAB/code/reports/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/figures/Fig_fixed_retrieval_all_23_strict_oof_atlas.png,/Users/ziyi/Desktop/LAB/code/reports/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/figures/Fig_fixed_retrieval_all_23_strict_oof_atlas.pdf
6033,retrieval,A3,True,True,True,2.5783959038883295,2.2941808700561523,2.578393455539244,0.3531145394648982,2.5783959038883295,4.803677268311761,"[""6078"", ""6047"", ""6057"", ""6022"", ""6056""]",0.0,True,False,False,0.1950441447568358,0.3939389836376274,0.0995974563680586,0.2222222222222221,0.1666666666666667,strict_oof_rheed_conditioned,False,amplitude_only_rescale_from_fixed_seed0_q50,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/rendered_maps/retrieval/6033__A3__seed0__q10.png,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/rendered_maps/retrieval/6033__A3__seed0__q50.png,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/rendered_maps/retrieval/6033__A3__seed0__q90.png,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/scaled_maps/retrieval/6033__A3__seed0__q10_amplitude_only.npy,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A3/6033__A3__seed0__q50.npy,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/scaled_maps/retrieval/6033__A3__seed0__q90_amplitude_only.npy,data/afm_second_order/6033/N6033_1um_016/N6033_1um_016_height.npy,outputs/rheed_video_afm_story/phase2a/clip_variants/keyframe_1/6033.npz,/Users/ziyi/Desktop/LAB/code/reports/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/figures/Fig_fixed_retrieval_all_23_strict_oof_atlas.png,/Users/ziyi/Desktop/LAB/code/reports/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/figures/Fig_fixed_retrieval_all_23_strict_oof_atlas.pdf
6047,retrieval,A3,True,True,True,3.0331323378763813,5.003041744232178,3.0331291770875195,0.80785097345295,3.0331323378763813,5.258413702299812,"[""6072"", ""6056"", ""6078"", ""6057"", ""6022""]",0.0,True,False,False,0.2402774007260578,0.6136198485588079,0.0821557843360103,0.25,0.1190476190476188,strict_oof_rheed_conditioned,False,amplitude_only_rescale_from_fixed_seed0_q50,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/rendered_maps/retrieval/6047__A3__seed0__q10.png,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/rendered_maps/retrieval/6047__A3__seed0__q50.png,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/rendered_maps/retrieval/6047__A3__seed0__q90.png,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/scaled_maps/retrieval/6047__A3__seed0__q10_amplitude_only.npy,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A3/6047__A3__seed0__q50.npy,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/scaled_maps/retrieval/6047__A3__seed0__q90_amplitude_only.npy,data/afm_second_order/6047/N6047_1um_008/N6047_1um_008_height.npy,outputs/rheed_video_afm_story/phase2a/clip_variants/keyframe_1/6047.npz,/Users/ziyi/Desktop/LAB/code/reports/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/figures/Fig_fixed_retrieval_all_23_strict_oof_atlas.png,/Users/ziyi/Desktop/LAB/code/reports/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/figures/Fig_fixed_retrieval_all_23_strict_oof_atlas.pdf
6048,retrieval,A3,True,True,True,3.0029924937225534,1.9803074598312376,3.002989609016855,0.7777111292991221,3.0029924937225534,5.228273858145984,"[""6078"", ""6094"", ""6029"", ""6085"", ""6082""]",0.0,True,False,False,0.1501454616292425,0.2748867152132888,0.046467426677666,0.2222222222222221,0.0833333333333332,strict_oof_rheed_conditioned,False,amplitude_only_rescale_from_fixed_seed0_q50,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/rendered_maps/retrieval/6048__A3__seed0__q10.png,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/rendered_maps/retrieval/6048__A3__seed0__q50.png,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/rendered_maps/retrieval/6048__A3__seed0__q90.png,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/scaled_maps/retrieval/6048__A3__seed0__q10_amplitude_only.npy,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A3/6048__A3__seed0__q50.npy,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/scaled_maps/retrieval/6048__A3__seed0__q90_amplitude_only.npy,data/afm_second_order/6048/N6048_1um_026/N6048_1um_026_height.npy,outputs/rheed_video_afm_story/phase2a/clip_variants/keyframe_1/6048.npz,/Users/ziyi/Desktop/LAB/code/reports/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/figures/Fig_fixed_retrieval_all_23_strict_oof_atlas.png,/Users/ziyi/Desktop/LAB/code/reports/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/figures/Fig_fixed_retrieval_all_23_strict_oof_atlas.pdf
6056,retrieval,A3,True,True,True,2.9091361298668383,2.815677046775818,2.90913335018466,0.6838547654434071,2.9091361298668383,5.13441749429027,"[""6057"", ""6033"", ""6090"", ""6084"", ""6085""]",0.0,True,False,False,0.1531422093687356,0.3741534131378525,0.0458153609320332,0.1249999999999999,0.0138888888888888,strict_oof_rheed_conditioned,False,amplitude_only_rescale_from_fixed_seed0_q50,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/rendered_maps/retrieval/6056__A3__seed0__q10.png,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/rendered_maps/retrieval/6056__A3__seed0__q50.png,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/rendered_maps/retrieval/6056__A3__seed0__q90.png,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/scaled_maps/retrieval/6056__A3__seed0__q10_amplitude_only.npy,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A3/6056__A3__seed0__q50.npy,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/scaled_maps/retrieval/6056__A3__seed0__q90_amplitude_only.npy,data/afm_second_order/6056/GdSb_N6056_ctr_013/GdSb_N6056_ctr_013_height.npy,outputs/rheed_video_afm_story/phase2a/clip_variants/keyframe_1/6056.npz,/Users/ziyi/Desktop/LAB/code/reports/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/figures/Fig_fixed_retrieval_all_23_strict_oof_atlas.png,/Users/ziyi/Desktop/LAB/code/reports/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/figures/Fig_fixed_retrieval_all_23_strict_oof_atlas.pdf
6057,retrieval,A3,True,True,True,2.6767453247653292,4.551929473876953,2.6767428424325943,0.4514639603418979,2.6767453247653292,4.9020266891887605,"[""6085"", ""6090"", ""6029"", ""6033"", ""6082""]",0.0,True,False,False,0.2608326078289098,0.7485784845592094,0.0531896912294497,0.3333333333333334,0.0277777777777779,strict_oof_rheed_conditioned,False,amplitude_only_rescale_from_fixed_seed0_q50,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/rendered_maps/retrieval/6057__A3__seed0__q10.png,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/rendered_maps/retrieval/6057__A3__seed0__q50.png,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/rendered_maps/retrieval/6057__A3__seed0__q90.png,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/scaled_maps/retrieval/6057__A3__seed0__q10_amplitude_only.npy,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A3/6057__A3__seed0__q50.npy,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/scaled_maps/retrieval/6057__A3__seed0__q90_amplitude_only.npy,data/afm_second_order/6057/GdSb_N6057_edge_014/GdSb_N6057_edge_014_height.npy,outputs/rheed_video_afm_story/phase2a/clip_variants/keyframe_1/6057.npz,/Users/ziyi/Desktop/LAB/code/reports/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/figures/Fig_fixed_retrieval_all_23_strict_oof_atlas.png,/Users/ziyi/Desktop/LAB/code/reports/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/figures/Fig_fixed_retrieval_all_23_strict_oof_atlas.pdf
6062,retrieval,A3,True,True,True,2.1570690914243205,3.093057870864868,2.15706718067902,0.001,2.1570690914243205,4.382350455847751,"[""6048"", ""6033"", ""6082"", ""6084"", ""6085""]",0.0,True,False,False,0.2443381225235421,0.6009396502566273,0.113702697761664,0.2857142857142856,0.25,strict_oof_rheed_conditioned,False,amplitude_only_rescale_from_fixed_seed0_q50,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/rendered_maps/retrieval/6062__A3__seed0__q10.png,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/rendered_maps/retrieval/6062__A3__seed0__q50.png,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/rendered_maps/retrieval/6062__A3__seed0__q90.png,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/scaled_maps/retrieval/6062__A3__seed0__q10_amplitude_only.npy,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A3/6062__A3__seed0__q50.npy,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/scaled_maps/retrieval/6062__A3__seed0__q90_amplitude_only.npy,data/afm_second_order/6062/N62_Ctr_001/N62_Ctr_001_height.npy,outputs/rheed_video_afm_story/phase2a/clip_variants/keyframe_1/6062.npz,/Users/ziyi/Desktop/LAB/code/reports/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/figures/Fig_fixed_retrieval_all_23_strict_oof_atlas.png,/Users/ziyi/Desktop/LAB/code/reports/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/figures/Fig_fixed_retrieval_all_23_strict_oof_atlas.pdf
6063,retrieval,A3,True,True,True,4.8854592695860495,5.810209274291992,4.885454518482715,2.660177905162618,4.8854592695860495,7.110740634009481,"[""6094"", ""6028"", ""6080"", ""6029"", ""6062""]",0.0,True,False,False,0.1383402162730473,0.3012437904823703,0.0542458677061246,0.111111111111111,0.0178571428571427,strict_oof_rheed_conditioned,False,amplitude_only_rescale_from_fixed_seed0_q50,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/rendered_maps/retrieval/6063__A3__seed0__q10.png,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/rendered_maps/retrieval/6063__A3__seed0__q50.png,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/rendered_maps/retrieval/6063__A3__seed0__q90.png,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/scaled_maps/retrieval/6063__A3__seed0__q10_amplitude_only.npy,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7a_reconstruction_first/generated_maps/strict/A3/6063__A3__seed0__q50.npy,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/scaled_maps/retrieval/6063__A3__seed0__q90_amplitude_only.npy,data/afm_second_order/6063/N63_Ctr_002/N63_Ctr_002_height.npy,outputs/rheed_video_afm_story/phase2a/clip_variants/keyframe_1/6063.npz,/Users/ziyi/Desktop/LAB/code/reports/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/figures/Fig_fixed_retrieval_all_23_strict_oof_atlas.png,/Users/ziyi/Desktop/LAB/code/reports/rheed_video_afm_story/variants/afm_second_order_y2_v1/phase7b_fixed_method_atlases/figures/Fig_fixed_retrieval_all_23_strict_oof_atlas.pdf
