row_id,parent_row_id,sample_id,group_id,split,network_input_path,descriptor_height_path,source_path,source_kind,prototype_id,rq,cond_rq,ra,cond_ra,robust_range,cond_robust_range,mean_abs_gradient,cond_mean_abs_gradient,gradient_std,cond_gradient_std,gradient_anisotropy,cond_gradient_anisotropy,psd_low_power,cond_psd_low_power,psd_mid_power,cond_psd_mid_power,psd_high_power,cond_psd_high_power,psd_slope,cond_psd_slope,autocorrelation_length_px,cond_autocorrelation_length_px,island_count,cond_island_count,island_mean_area_px,cond_island_mean_area_px
afmv2_9149961336da,afmv2_9149961336da,6022,6022,train,reports/afm_prior_v2/20260703_052537/data/standardized_tensors/afmv2_9149961336da.npy,data/plane_corrected_afm/6022/N6022_Ctr_000/N6022_Ctr_000_plane_corrected.npy,data/plane_corrected_afm/6022/N6022_Ctr_000/N6022_Ctr_000_plane_corrected.npy,physical_height,1,1.649340272,-0.8472046305,1.30284512,-0.8636796979,7.523479462,-0.8798096003,0.2319792211,-0.8833257768,0.2811472714,-0.8087904207,0.2892287672,1.01133613,12.08788109,-1.424856216,7.555912971,-1.414212076,5.450165272,-0.8176338983,-3.320037603,0.5256814093,14,-0.05745949439,87,-0.2133975428,188.3218384,-0.2720141665
afmv2_2b94d08b24c9,afmv2_2b94d08b24c9,6022,6022,train,reports/afm_prior_v2/20260703_052537/data/standardized_tensors/afmv2_2b94d08b24c9.npy,data/plane_corrected_afm/6022/N6022_Ctr_002/N6022_Ctr_002_plane_corrected.npy,data/plane_corrected_afm/6022/N6022_Ctr_002/N6022_Ctr_002_plane_corrected.npy,physical_height,1,1.878184676,-0.7707214304,1.43787992,-0.8050661276,8.429627419,-0.8126930008,0.2690547407,-0.825595472,0.3227209747,-0.7214853769,0.1827747077,0.03086265644,12.20654392,-1.314850002,7.471418858,-1.500463358,5.469112873,-0.7996287853,-3.363362551,0.4135452244,12,-0.1937036563,94,-0.1503802933,174.2978668,-0.3056278358
afmv2_dd63941a3127,afmv2_dd63941a3127,6022,6022,train,reports/afm_prior_v2/20260703_052537/data/standardized_tensors/afmv2_dd63941a3127.npy,data/plane_corrected_afm/6022/N6022_Ctr_004/N6022_Ctr_004_plane_corrected.npy,data/plane_corrected_afm/6022/N6022_Ctr_004/N6022_Ctr_004_plane_corrected.npy,physical_height,1,1.35970819,-0.9440039759,0.9400447011,-1.021157828,7.51101923,-0.8807325052,0.2568888664,-0.8445389592,0.2894545496,-0.7913450832,0.1650240123,-0.132626515,12.00867462,-1.498284466,7.708312511,-1.258643182,5.410889149,-0.8549563557,-3.058968782,1.201395125,8,-0.4661919802,144,0.2997429168,113.7777786,-0.4506867595
afmv2_1b8fbc315bb7,afmv2_1b8fbc315bb7,6029,6029,train,reports/afm_prior_v2/20260703_052537/data/standardized_tensors/afmv2_1b8fbc315bb7.npy,data/plane_corrected_afm/6029/N6029_1um_007/N6029_1um_007_plane_corrected.npy,data/plane_corrected_afm/6029/N6029_1um_007/N6029_1um_007_plane_corrected.npy,physical_height,1,2.289763212,-0.6331657681,1.800530076,-0.6476532206,10.90690899,-0.6292056203,0.4939815402,-0.4753618723,0.4190736115,-0.5191442211,0.2118923813,0.2990450697,13.00795555,-0.5719024481,7.692182541,-1.275108597,5.146190643,-1.106488278,-3.689728737,-0.4311749812,8,-0.4661919802,94,-0.1503802933,174.2978668,-0.3056278358
afmv2_b6afd6753b6f,afmv2_b6afd6753b6f,6029,6029,train,reports/afm_prior_v2/20260703_052537/data/standardized_tensors/afmv2_b6afd6753b6f.npy,data/plane_corrected_afm/6029/N6029_1um_008/N6029_1um_008_plane_corrected.npy,data/plane_corrected_afm/6029/N6029_1um_008/N6029_1um_008_plane_corrected.npy,physical_height,1,2.561024904,-0.5425060801,2.040818691,-0.5433528949,12.24565792,-0.5300471164,0.4797559679,-0.497512516,0.4192468822,-0.5187803515,0.06799653172,-1.0262784,13.11507225,-0.4726000581,7.893938065,-1.069157295,4.773731232,-1.460420883,-3.95786953,-1.125192792,10,-0.3299478183,62,-0.4384591478,264.2580566,-0.09000474767
afmv2_15df1c3d90e5,afmv2_15df1c3d90e5,6029,6029,train,reports/afm_prior_v2/20260703_052537/data/standardized_tensors/afmv2_15df1c3d90e5.npy,data/plane_corrected_afm/6029/N6029_500_nm_010/N6029_500_nm_010_plane_corrected.npy,data/plane_corrected_afm/6029/N6029_500_nm_010/N6029_500_nm_010_plane_corrected.npy,physical_height,3,2.965615988,-0.4072857281,2.33698535,-0.4147979943,14.80600643,-0.3404071309,0.5496960878,-0.3886087303,0.4844783545,-0.3817938409,0.07693579048,-0.9439451744,13.39273357,-0.2151945117,8.298558235,-0.6561225042,5.543723583,-0.7287293473,-3.79101491,-0.6933298261,10,-0.3299478183,56,-0.4924739331,292.5714417,-0.02214117887
afmv2_88163a0e3cbc,afmv2_88163a0e3cbc,6033,6033,train,reports/afm_prior_v2/20260703_052537/data/standardized_tensors/afmv2_88163a0e3cbc.npy,data/plane_corrected_afm/6033/N6033_1um_015/N6033_1um_015_plane_corrected.npy,data/plane_corrected_afm/6033/N6033_1um_015/N6033_1um_015_plane_corrected.npy,physical_height,3,3.834280968,-0.1169649846,3.051913023,-0.1044745561,18.19703293,-0.08924045811,0.5051560402,-0.4579620543,0.4145940244,-0.5285513828,0.1230760589,-0.5189796121,13.4281168,-0.1823925368,8.692502022,-0.2539861259,5.211880684,-1.044065779,-3.90513587,-0.9887044235,45,2.054325016,22,-0.798557716,744.7272949,1.061618666
afmv2_481758407ad2,afmv2_481758407ad2,6033,6033,train,reports/afm_prior_v2/20260703_052537/data/standardized_tensors/afmv2_481758407ad2.npy,data/plane_corrected_afm/6033/N6033_1um_016/N6033_1um_016_plane_corrected.npy,data/plane_corrected_afm/6033/N6033_1um_016/N6033_1um_016_plane_corrected.npy,physical_height,1,2.529371977,-0.5530849586,2.006795168,-0.5581212372,11.86554813,-0.558201102,0.4728240669,-0.5083061815,0.3975987136,-0.5642416445,0.1750190407,-0.0405693378,13.11935806,-0.4686269038,8.099349022,-0.8594745409,5.035104275,-1.212049009,-3.860429287,-0.8729922094,10,-0.3299478183,53,-0.5194813257,309.1320801,0.01755255677
afmv2_762c063b5e99,afmv2_762c063b5e99,6033,6033,train,reports/afm_prior_v2/20260703_052537/data/standardized_tensors/afmv2_762c063b5e99.npy,data/plane_corrected_afm/6033/N6033_1um_017/N6033_1um_017_plane_corrected.npy,data/plane_corrected_afm/6033/N6033_1um_017/N6033_1um_017_plane_corrected.npy,physical_height,1,2.529371977,-0.5530849586,2.006795168,-0.5581212372,11.86554813,-0.558201102,0.4728240669,-0.5083061815,0.3975987136,-0.5642416445,0.1750190407,-0.0405693378,13.11935806,-0.4686269038,8.099349022,-0.8594745409,5.035104275,-1.212049009,-3.860429287,-0.8729922094,10,-0.3299478183,53,-0.5194813257,309.1320801,0.01755255677
afmv2_afdd0d0c4561,afmv2_afdd0d0c4561,6033,6033,train,reports/afm_prior_v2/20260703_052537/data/standardized_tensors/afmv2_afdd0d0c4561.npy,data/plane_corrected_afm/6033/N6033_1um_018/N6033_1um_018_plane_corrected.npy,data/plane_corrected_afm/6033/N6033_1um_018/N6033_1um_018_plane_corrected.npy,physical_height,1,2.549088717,-0.5464953311,2.036069632,-0.5454142843,11.87474155,-0.5575201635,0.4758792818,-0.5035489053,0.3963770866,-0.5668070691,0.1552295685,-0.2228362485,13.09933949,-0.4871850917,7.936114788,-1.02610345,5.077964306,-1.171320913,-3.85914278,-0.8696623962,11,-0.2618257373,57,-0.4834714689,287.4385986,-0.03444394838
