mode,row_id,sample_id,group_id,prototype_id,generated_index,rank,generated_std,generated_min,generated_max,generated_rq,requested_rq,generated_ra,requested_ra,generated_robust_range,requested_robust_range,generated_mean_abs_gradient,requested_mean_abs_gradient,generated_gradient_std,requested_gradient_std,generated_gradient_anisotropy,requested_gradient_anisotropy,generated_psd_low_power,requested_psd_low_power,generated_psd_mid_power,requested_psd_mid_power,generated_psd_high_power,requested_psd_high_power,generated_psd_slope,requested_psd_slope,generated_autocorrelation_length_px,requested_autocorrelation_length_px,generated_island_count,requested_island_count,generated_island_mean_area_px,requested_island_mean_area_px
v3_plain,afmv2_06e9a8457ab9,6058,6058,3,0,,0.6272446513175964,-0.9989004135131836,0.9996619820594788,0.6272446482982101,5.841896534,0.551105180164585,4.556092739,1.9735548275709154,27.66728783,0.16925685372841753,1.131164074,0.13252291139191094,1.006361246,0.07512527292185402,0.1476658583,9.161794604093899,14.50712395,3.9931956205130366,9.412350655,1.3050801375962935,5.901864052,-3.9958857437739645,-3.952002764,6.0,9.0,31.0,66.0,132.1290322580645,248.2424316
v3_plain,afmv2_06e9a8457ab9,6058,6058,3,1,,0.6117714643478394,-0.9991745352745056,0.9976295828819275,0.6117715075384967,5.841896534,0.5348249981315502,4.556092739,1.975791381597519,27.66728783,0.1673675412636158,1.131164074,0.129528295853543,1.006361246,0.07654316619660427,0.1476658583,9.129662782827486,14.50712395,3.9889212856650094,9.412350655,1.321070024117982,5.901864052,-3.997167772536027,-3.952002764,6.0,9.0,39.0,66.0,105.02564102564102,248.2424316
v3_guided,afmv2_06e9a8457ab9,6058,6058,3,0,,0.634238600730896,-0.9985780119895935,0.9998834133148193,0.6342386032164677,5.841896534,0.5609622530778946,4.556092739,1.972541046142578,27.66728783,0.16159151791618104,1.131164074,0.12525529634017812,1.006361246,0.026989056310422564,0.1476658583,9.109036973826244,14.50712395,3.9621512046483565,9.412350655,1.2907844766922723,5.901864052,-4.018241363558537,-3.952002764,7.0,9.0,27.0,66.0,151.7037037037037,248.2424316
v3_guided,afmv2_06e9a8457ab9,6058,6058,3,1,,0.6271682977676392,-0.9985023140907288,0.9994068145751953,0.6271682653404766,5.841896534,0.5512539207885131,4.556092739,1.9817349576950072,27.66728783,0.1699719739353808,1.131164074,0.12685443935603188,1.006361246,0.11948978422828951,0.1476658583,9.13641762187312,14.50712395,3.9214140218777422,9.412350655,1.2538560884842567,5.901864052,-4.018887671444422,-3.952002764,6.0,9.0,38.0,66.0,107.78947368421052,248.2424316
v3_reranked,afmv2_06e9a8457ab9,6058,6058,3,0,1,0.6271682977676392,-0.9985023140907288,0.9994068145751953,0.6271682653404766,5.841896534,0.5512539207885131,4.556092739,1.9817349576950072,27.66728783,0.1699719739353808,1.131164074,0.12685443935603188,1.006361246,0.11948978422828951,0.1476658583,9.13641762187312,14.50712395,3.9214140218777422,9.412350655,1.2538560884842567,5.901864052,-4.018887671444422,-3.952002764,6.0,9.0,38.0,66.0,107.78947368421052,248.2424316
v3_plain,afmv2_84343ccdd8fc,6058,6058,3,0,,0.6165367960929871,-0.99801105260849,0.9997509121894836,0.6165367579692661,5.760004044,0.5389640710556269,4.460754871,1.9819259166717529,27.0523243,0.1699443250103569,1.108705759,0.1272332699002161,1.032804728,0.04995380114747681,0.1138967648,9.144328837991326,14.5351038,4.067905425769051,9.563612938,1.3402667027052435,5.928481579,-3.9584377108749034,-3.925020695,6.0,8.0,43.0,56.0,95.25581395348837,292.5714417
v3_plain,afmv2_84343ccdd8fc,6058,6058,3,1,,0.6279157996177673,-0.997981071472168,0.9948996901512146,0.6279158202529138,5.760004044,0.5538871217891911,4.460754871,1.9612484860420227,27.0523243,0.16829476330343643,1.108705759,0.12876750720252714,1.032804728,0.10629420826926785,0.1138967648,9.126109571326554,14.5351038,3.998006431134295,9.563612938,1.309916952061335,5.928481579,-3.977075340435852,-3.925020695,6.0,8.0,32.0,56.0,128.0,292.5714417
v3_guided,afmv2_84343ccdd8fc,6058,6058,3,0,,0.6218803524971008,-0.9939138889312744,0.9997521042823792,0.6218803314421067,5.760004044,0.5430603341054254,4.460754871,1.969770115017891,27.0523243,0.16677469798598782,1.108705759,0.12522581490162915,1.032804728,0.1733796255880602,0.1138967648,9.118703635565375,14.5351038,3.9609078276631737,9.563612938,1.336639332581178,5.928481579,-3.9911876508269026,-3.925020695,7.0,8.0,29.0,56.0,141.24137931034483,292.5714417
v3_guided,afmv2_84343ccdd8fc,6058,6058,3,1,,0.6128455400466919,-0.999845027923584,0.9991306662559509,0.6128455709673777,5.760004044,0.5363331463518903,4.460754871,1.9775397676229476,27.0523243,0.17212966331973972,1.108705759,0.12992791508822124,1.032804728,0.05354533918158049,0.1138967648,9.16402211044886,14.5351038,4.074876901924485,9.563612938,1.4152081006632675,5.928481579,-3.932263157583454,-3.925020695,6.0,8.0,43.0,56.0,95.25581395348837,292.5714417
v3_reranked,afmv2_84343ccdd8fc,6058,6058,3,0,1,0.6128455400466919,-0.999845027923584,0.9991306662559509,0.6128455709673777,5.760004044,0.5363331463518903,4.460754871,1.9775397676229476,27.0523243,0.17212966331973972,1.108705759,0.12992791508822124,1.032804728,0.05354533918158049,0.1138967648,9.16402211044886,14.5351038,4.074876901924485,9.563612938,1.4152081006632675,5.928481579,-3.932263157583454,-3.925020695,6.0,8.0,43.0,56.0,95.25581395348837,292.5714417
