sweep_descriptor,base_row_id,sample_id,guidance_scale,requested_raw,requested_cond,sample_index,generated_std,generated_min,generated_max,generated_height_mean,generated_height_std,generated_rq,generated_ra,generated_peak_to_valley,generated_p01,generated_p05,generated_p50,generated_p95,generated_p99,generated_robust_range,generated_skewness,generated_kurtosis,generated_mean_abs_gradient,generated_gradient_std,generated_gradient_orientation_entropy,generated_gradient_anisotropy,generated_psd_low_power,generated_psd_mid_power,generated_psd_high_power,generated_psd_slope,generated_autocorrelation_length_px,generated_island_coverage,generated_island_count,generated_island_mean_area_px,generated_height_min,generated_height_max,generated_slope_p50,generated_slope_p95,generated_slope_p99,generated_psd_peak_frequency,generated_island_mean_height
rq,afmv2_06e9a8457ab9,6058,0.0,-1.799924374,-2,0,0.6235415936,-0.9979032874,0.9993343353,0.0957001272,0.6235415811,0.6235415811,0.5477873806,1.997237623,-0.9815242779,-0.9007522553,0.1460657939,0.9640030921,0.9941485333,1.975672811,-0.1630941993,1.694942833,0.1734530082,0.1331985686,0.9974804622,0.140380453,9.164905167,4.00538678,1.308007062,-3.975312975,6,0.25,36,113.7777778,-0.9979032874,0.9993343353,0.1462860468,0.4323671865,0.5804050316,0.0234375,0.8654031159
rq,afmv2_06e9a8457ab9,6058,0.0,-1.799924374,-2,1,0.6285537481,-0.9982777834,0.999642849,-0.02243660319,0.6285537682,0.6285537682,0.5524847042,1.997920632,-0.9887126321,-0.9458710402,-0.01797457691,0.9389356971,0.9893750238,1.978087656,0.02828856823,1.66437392,0.1632367884,0.1270051341,0.998786076,0.07271984219,9.099176842,3.959385418,1.252220631,-4.046232231,7,0.25,33,124.1212121,-0.9982777834,0.999642849,0.1359292796,0.406113153,0.5611010196,0.01104854346,0.7953636706
rq,afmv2_06e9a8457ab9,6058,0.0,-1.799924374,-2,2,0.6275601983,-0.9952369332,0.9996830821,0.0591078407,0.6275602094,0.6275602094,0.5498273003,1.994920015,-0.9765677828,-0.9173951626,0.06812100112,0.9697710961,0.9930419201,1.969609703,-0.07327112231,1.688276966,0.1705672572,0.127694872,0.9975545064,0.1160677188,9.135859498,4.041259168,1.332262639,-3.955241171,6,0.25,43,95.25581395,-0.9952369332,0.9996830821,0.1470312736,0.4121219952,0.5563256454,0.015625,0.8573032532
rq,afmv2_06e9a8457ab9,6058,0.0,-1.799924374,-2,3,0.6338794827,-0.9992978573,0.9998509288,0.01796351409,0.6338794636,0.6338794636,0.5569005699,1.999148786,-0.9870783401,-0.93172068,-0.008733033668,0.9638798326,0.993402611,1.980480951,0.02828056517,1.665741265,0.1598355916,0.1224010633,0.9976424573,0.09368137096,9.074563573,3.898639954,1.153808799,-4.104466503,7,0.25,26,157.5384615,-0.9992978573,0.9998509288,0.1345217959,0.3973577191,0.5306829677,0.0078125,0.8485982951
rq,afmv2_06e9a8457ab9,6058,0.0,-1.799924374,-2,4,0.6295579672,-0.9938598275,0.9990466237,0.1450757626,0.62955795,0.62955795,0.5535855076,1.992906451,-0.9718398899,-0.9021856487,0.2364831343,0.963365072,0.9911702925,1.963010182,-0.2890968021,1.725520434,0.1630960668,0.130060198,0.9986238601,0.1015753786,9.118968094,3.949690956,1.34398285,-3.980880148,6,0.25,32,128,-0.9938598275,0.9990466237,0.1328876241,0.4166798612,0.5643961936,0.01746928107,0.8875555644
rq,afmv2_06e9a8457ab9,6058,0.0,-1.799924374,-2,5,0.6286994219,-0.9982436299,0.9996405244,0.1346892431,0.6286993867,0.6286993867,0.5514060097,1.997884154,-0.9820155817,-0.9098249078,0.1977785006,0.9671555698,0.9947266054,1.976742187,-0.2466384025,1.728501026,0.1668607166,0.1343240344,0.9976377195,0.1721188791,9.178549504,3.990477756,1.214345677,-4.060981279,6,0.25,28,146.2857143,-0.9982436299,0.9996405244,0.137479511,0.4278475344,0.5944550342,0.01104854346,0.8903062371
rq,afmv2_06e9a8457ab9,6058,0.0,-1.799924374,-2,6,0.629573226,-0.9996984601,0.9998668432,0.1533184758,0.6295732063,0.6295732063,0.5527779121,1.999565303,-0.9826525158,-0.9019746631,0.2472705916,0.970231986,0.9961918896,1.978844405,-0.3050027606,1.739471073,0.1586344774,0.1292703849,0.9981593916,0.1488449199,9.115304629,3.977024623,1.181920334,-4.06712608,7,0.25,29,141.2413793,-0.9996984601,0.9998668432,0.1286906581,0.409678669,0.5771768989,0.015625,0.8913818018
rq,afmv2_06e9a8457ab9,6058,0.0,-1.799924374,-2,7,0.6397459507,-0.9966354966,0.9994058013,0.02445889408,0.6397459254,0.6397459254,0.5619662051,1.996041298,-0.9822763067,-0.929796654,0.02292410377,0.9693418533,0.9935119402,1.975788247,-0.00854280474,1.651709006,0.1597277507,0.1286899347,0.9964376207,0.09966746544,9.120591951,3.984780027,1.198227183,-4.067995468,7,0.25,31,132.1290323,-0.9966354966,0.9994058013,0.1303790163,0.4140266225,0.5564500352,0.0078125,0.8512433972
rq,afmv2_06e9a8457ab9,6058,0.0,1.192162991,-1,0,0.6353971362,-0.998274982,0.9995068908,0.1321890223,0.6353971702,0.6353971702,0.5600680444,1.997781873,-0.9726767951,-0.898630479,0.2013872936,0.9760783494,0.9946140403,1.967290835,-0.225038193,1.685168364,0.1544440948,0.1226713673,0.9991116848,0.03242102695,9.034478289,3.818531068,1.158683704,-4.086286895,7,0.25,28,146.2857143,-0.998274982,0.9995068908,0.1284956298,0.3983712505,0.5390518533,0.01104854346,0.8975613876
rq,afmv2_06e9a8457ab9,6058,0.0,1.192162991,-1,1,0.622987628,-0.9982405305,0.9997906089,0.0988570194,0.6229876341,0.6229876341,0.5463289673,1.998031139,-0.9809261692,-0.9021897614,0.1343684271,0.9703610867,0.995655722,1.976581891,-0.1487637585,1.703408032,0.1674668722,0.1270246922,0.9982840691,0.07103522017,9.126912237,3.932499568,1.225183491,-4.039296625,6,0.25,38,107.7894737,-0.9982405305,0.9997906089,0.1410227381,0.4129223993,0.5433746589,0.02209708691,0.873045338
rq,afmv2_06e9a8457ab9,6058,0.0,1.192162991,-1,2,0.6231201887,-0.9988898635,0.9995355606,0.08769570789,0.6231202022,0.6231202022,0.5478917762,1.998425424,-0.974428435,-0.8883513898,0.08919898793,0.964973563,0.9922541589,1.966682594,-0.08772998268,1.676056033,0.1644375694,0.1306802986,0.9987469966,0.08676654256,9.176109177,4.061949522,1.311941827,-3.989555156,6,0.25,31,132.1290323,-0.9988898635,0.9995355606,0.1348572738,0.4198365345,0.5638480318,0.01746928107,0.8761864916
rq,afmv2_06e9a8457ab9,6058,0.0,1.192162991,-1,3,0.6307259798,-0.9994809031,0.9988809228,0.08420538211,0.6307259796,0.6307259796,0.5542234785,1.998361826,-0.9853226864,-0.9269141793,0.1354145855,0.9552105844,0.9889721239,1.97429481,-0.1668029274,1.687864336,0.1709429035,0.1363241903,0.9969778677,0.2036056114,9.181063378,4.045418354,1.264672244,-4.031020434,6,0.25,35,117.0285714,-0.9994809031,0.9988809228,0.141569967,0.4391962065,0.6060497079,0.01746928107,0.8619663547
rq,afmv2_06e9a8457ab9,6058,0.0,1.192162991,-1,4,0.631660223,-0.9984804988,0.9973174334,0.03128644999,0.6316601991,0.6316601991,0.5542726546,1.995797932,-0.98738756,-0.9434265792,0.04818253778,0.9431868225,0.9871739799,1.97456154,-0.07388121071,1.668191261,0.1681277027,0.1272844045,0.995709403,0.1923981457,9.130023943,3.932836122,1.240116025,-4.045538435,6,0.25,33,124.1212121,-0.9984804988,0.9973174334,0.1420804141,0.4167996223,0.5527782647,0.0078125,0.8318988233
rq,afmv2_06e9a8457ab9,6058,0.0,1.192162991,-1,5,0.6324619055,-0.9990834594,0.9995132685,0.05036682868,0.6324618991,0.6324618991,0.5582104823,1.998596728,-0.9901792145,-0.9274938226,0.06319504976,0.9560477436,0.9931723416,1.983351556,-0.06781524778,1.655776168,0.166222364,0.1289115355,0.9971636531,0.1579807435,9.157994108,3.979653123,1.146845094,-4.114410766,6,0.25,35,117.0285714,-0.9990834594,0.9995132685,0.139408095,0.4173143531,0.5663022973,0.0078125,0.8535159159
