sweep_descriptor,base_row_id,sample_id,guidance_scale,requested_raw,requested_cond,sample_index,generated_std,generated_min,generated_max,generated_height_mean,generated_height_std,generated_rq,generated_ra,generated_peak_to_valley,generated_p01,generated_p05,generated_p50,generated_p95,generated_p99,generated_robust_range,generated_skewness,generated_kurtosis,generated_mean_abs_gradient,generated_gradient_std,generated_gradient_orientation_entropy,generated_gradient_anisotropy,generated_psd_low_power,generated_psd_mid_power,generated_psd_high_power,generated_psd_slope,generated_autocorrelation_length_px,generated_island_coverage,generated_island_count,generated_island_mean_area_px,generated_height_min,generated_height_max,generated_slope_p50,generated_slope_p95,generated_slope_p99,generated_psd_peak_frequency,generated_island_mean_height
rq,afmv2_06e9a8457ab9,6058,0.0,-1.799924374,-2,0,0.623496294,-0.9979144931,0.9993366599,0.09596583303,0.6234962687,0.6234962687,0.547732736,1.997251153,-0.9815139186,-0.9008603573,0.1466559842,0.9639424056,0.9941309518,1.97564487,-0.163662937,1.695287891,0.1734494398,0.1331967174,0.9974645223,0.140457011,9.164762181,4.005156482,1.307910347,-3.975274422,6,0.25,36,113.7777778,-0.9979144931,0.9993366599,0.1462251514,0.4324182564,0.5806317032,0.0234375,0.8654886853
rq,afmv2_06e9a8457ab9,6058,0.0,-1.799924374,-2,1,0.6285659671,-0.9982780814,0.9996436238,-0.02219425518,0.6285659409,0.6285659409,0.55249739,1.997921705,-0.9887013876,-0.9458804756,-0.01738977339,0.9388990998,0.9893684775,1.978069865,0.02776024035,1.664326793,0.1632522427,0.1270150283,0.9987759746,0.07257420787,9.099313852,3.959318442,1.252246755,-4.046232899,7,0.25,34,120.4705882,-0.9982780814,0.9996436238,0.1358864148,0.4062574285,0.5623309027,0.01104854346,0.7955155635
rq,afmv2_06e9a8457ab9,6058,0.0,1.192162991,-1,0,0.6353794336,-0.9982674122,0.9995077848,0.1324006372,0.6353794316,0.6353794316,0.5600523158,1.997775197,-0.9726372057,-0.8986711681,0.2022791058,0.9761179239,0.9946098965,1.967247102,-0.2254027018,1.685311656,0.1544204042,0.1226672137,0.9990983547,0.03220616881,9.034311881,3.818117953,1.158814569,-4.086211353,7,0.25,28,146.2857143,-0.9982674122,0.9995077848,0.1285209609,0.3984707357,0.5391223159,0.01104854346,0.8976538576
rq,afmv2_06e9a8457ab9,6058,0.0,1.192162991,-1,1,0.6229404211,-0.9982407689,0.9997903705,0.09904322957,0.6229404251,0.6229404251,0.5462697672,1.998031139,-0.9809464222,-0.9020584464,0.1344089359,0.9703570426,0.9956450856,1.976591508,-0.1491235452,1.703725012,0.16746903,0.1270199921,0.9982888991,0.07088138913,9.126910496,3.932412294,1.22542236,-4.039189937,6,0.25,38,107.7894737,-0.9982407689,0.9997903705,0.1410225524,0.4128118851,0.54367273,0.02209708691,0.8731064199
rq,afmv2_06e9a8457ab9,6058,0.0,4.184250355,0,0,0.6358288527,-0.9987434745,0.9996922612,0.1086930817,0.6358288425,0.6358288425,0.5563504719,1.998435736,-0.9883906811,-0.9330633938,0.1787818447,0.958319363,0.9927919853,1.981182666,-0.2474307209,1.714191779,0.1591588005,0.1285408534,0.998430755,0.05580194434,9.074115597,3.907909132,1.130434505,-4.097796917,7,0.25,28,146.2857143,-0.9987434745,0.9996922612,0.1288779989,0.4123750698,0.5547754397,0.01746928107,0.8717995426
rq,afmv2_06e9a8457ab9,6058,0.0,4.184250355,0,1,0.6317864656,-0.9993735552,0.9995833635,0.03491863806,0.6317864601,0.6317864601,0.5537194057,1.998956919,-0.9840112436,-0.9430788487,0.07321667671,0.946723339,0.990555017,1.974566261,-0.09805911534,1.681786047,0.1693795086,0.1337452616,0.997398322,0.03595403712,9.184288908,3.992969053,1.210497916,-4.080780624,6,0.25,39,105.025641,-0.9993735552,0.9995833635,0.1386822049,0.4338545975,0.5905394451,0.0078125,0.8310028871
rq,afmv2_06e9a8457ab9,6058,0.0,7.176337719,1,0,0.620611012,-0.9979003668,0.9999551177,0.07836083562,0.6206110238,0.6206110238,0.5440575235,1.997855484,-0.9712716359,-0.8943105906,0.1034303941,0.9724255949,0.9989982218,1.970269858,-0.08759206529,1.696388191,0.1581340014,0.1222914949,0.9984751812,0.09949259788,9.015259143,3.856764232,1.150291735,-4.066966046,7,0.25,37,110.7027027,-0.9979003668,0.9999551177,0.1336175524,0.3945278863,0.5389465677,0.0078125,0.8650013286
rq,afmv2_06e9a8457ab9,6058,0.0,7.176337719,1,1,0.6480815411,-0.9981838465,0.9994268417,0.08775665924,0.6480815451,0.6480815451,0.5763388983,1.997610688,-0.9837507623,-0.9320619583,0.1436213255,0.9599268794,0.9908231986,1.974573961,-0.1758879419,1.620649368,0.1645932426,0.1327654652,0.9987989178,0.1130172862,9.12371494,3.91180718,1.208524002,-4.071365708,7,0.25,30,136.5333333,-0.9981838465,0.9994268417,0.1337672459,0.42845283,0.5612964961,0.02209708691,0.8730041853
rq,afmv2_06e9a8457ab9,6058,0.0,10.16842508,2,0,0.6255313754,-0.9959841967,0.9999459982,0.1016441521,0.6255313374,0.6255313374,0.5471704594,1.995930195,-0.9673916256,-0.8901429653,0.1188225895,0.9722003877,0.9965006769,1.963892303,-0.1276516769,1.697843063,0.1573667009,0.1235783279,0.9981575181,0.1504630166,9.032262262,3.81214423,1.202736042,-4.051998439,7,0.25,25,163.84,-0.9959841967,0.9999459982,0.1315216592,0.4074599781,0.5369669632,0.01746928107,0.8880586917
rq,afmv2_06e9a8457ab9,6058,0.0,10.16842508,2,1,0.6232923269,-0.9994226098,0.9996101856,0.1005088769,0.623292306,0.623292306,0.5448656099,1.999032795,-0.9801669317,-0.9102640778,0.1648767143,0.9701970041,0.9957764924,1.975943424,-0.2051821768,1.728771922,0.1678239688,0.129154145,0.9974504218,0.08009156293,9.153945972,3.993450904,1.312557171,-3.995363304,6,0.25,38,107.7894737,-0.9994226098,0.9996101856,0.1417250302,0.4203111908,0.5526562843,0.01746928107,0.8614681458
