descriptor,is_key_descriptor,v2_abs_pearson,v3_abs_pearson,v2_mae,v3_mae,v2_best_guidance_scale,v3_monotonicity,improved_abs_pearson,improved_mae
autocorrelation_length_px,True,0.35355339058653,0.0,19.08413066744,2.3,0.0,0.0,False,True
gradient_anisotropy,False,0.14784326548200608,0.0457662617589162,0.14167718735999998,0.05724234598226948,0.0,0.0,False,True
gradient_std,False,nan,0.003034220968429776,nan,0.8913732065521488,,0.1428571428571428,False,False
island_count,False,0.47636258298747575,0.29411060434901315,151.63770446055997,24.7,1.5,0.1428571428571428,False,True
island_mean_area_px,False,nan,0.25151206012242494,nan,154.46232209733597,,-0.1428571428571429,False,False
mean_abs_gradient,False,nan,0.3816809047536271,nan,0.9511916191281763,,0.0,False,False
psd_high_power,True,0.23439805157816312,0.7344872781173147,5.094174698450001,4.590984215095064,1.5,0.1428571428571428,True,True
psd_low_power,True,0.3164330434171351,0.2386693767652219,4.51129357665,5.3820622879725155,1.5,-0.1428571428571429,False,False
psd_mid_power,True,0.3249377765661343,0.697527711947813,5.024452650150001,5.491614832200262,1.5,-0.4285714285714286,True,False
psd_slope,True,0.43064341966970215,0.814238034203279,0.6085160997,0.04551799450619383,1.5,-0.4285714285714286,True,True
ra,True,0.2579603865088199,0.47556146418040457,3.4888705722699997,3.9626259957394923,1.5,-0.5,True,False
robust_range,True,0.057652804790282154,0.2827990072635841,21.25726383595,25.384467942632142,0.0,0.0,True,False
rq,True,0.30218616671944754,0.472017864624523,4.523020310575,5.178988754866684,1.5,-0.5,True,False
