descriptor,count,mean,std,min,p25,median,p75,max
mean_height,166,-3.204701059e-15,2.231930698e-13,-1.120520343e-12,-2.874406307e-18,4.601930002e-18,3.444466934e-14,9.322542738e-13
median_height,166,0.2527169809,0.6212506879,-1.981016224,-0.05252834941,0.1068349232,0.5197920343,2.619940809
std_height,166,4.685611527,3.107428395,0.707835691,2.47430255,3.813740393,5.92908514,20.10235484
min_height,166,-17.12824614,10.78599744,-88.19171821,-20.01025278,-16.43303074,-10.6074127,-2.633669913
max_height,166,14.78494554,9.934179688,2.139341542,8.192190516,13.09204464,19.38968497,75.56498911
peak_to_valley,166,31.91319167,17.66329831,4.773011455,18.98395435,30.48323693,40.02588869,108.0130234
p01,166,-11.05774411,6.902234854,-41.81759877,-15.37180659,-8.838795353,-5.711796018,-1.570696361
p05,166,-7.813741393,4.902929742,-24.9595887,-11.06630562,-5.933090814,-3.917965163,-1.209350319
p25,166,-3.121780874,2.60622333,-11.88970299,-3.49176003,-2.35678484,-1.466798454,-0.4027057069
p75,166,3.118526668,2.161280751,0.3913510281,1.56228784,2.494212001,3.904635581,10.22102237
p95,166,7.366257896,5.55234894,1.245720676,3.967380787,5.944094822,9.072654106,52.26864072
p99,166,10.57729138,8.255181665,1.670024629,5.581415618,8.976496981,12.96180621,70.28185658
iqr,166,6.240307542,4.687708842,0.7940567351,3.048351062,4.683935069,7.295160455,21.20562565
Ra,166,3.698530615,2.478058764,0.5443351683,1.922016208,3.030359083,4.631801587,13.18889314
Rq,166,4.685611527,3.107428395,0.707835691,2.47430255,3.813740393,5.92908514,20.10235484
Rsk,166,-0.2171489934,0.5450498458,-2.428276605,-0.5436359463,-0.2293770956,0.09468207942,1.757011381
Rku,166,3.688918331,1.487516967,1.671122651,3.172474769,3.439251848,3.855390674,12.55118699
grad_mean,166,0.8519007892,0.6405868017,0.0813298843,0.4181718145,0.6334526663,1.013159818,3.771606221
grad_std,166,0.7167109557,0.4742205637,0.06144146412,0.3453826637,0.5785064106,0.9444146247,2.767503376
grad_p95,166,2.240240055,1.460993063,0.19676496,1.133591483,1.794742372,2.900759854,8.426032803
orientation_entropy,166,0.9914175828,0.008215118174,0.9490912849,0.9907918172,0.9941654669,0.9959245697,0.9995101981
low_freq_power,166,79667963.99,133182998.7,1016946.931,12896265.77,38747329.7,81825819.27,906486497.4
mid_freq_power,166,282536.7026,278299.6421,2946.531764,83623.73176,191256.7892,361189.2103,1639673.419
high_freq_power,166,10717.87549,11719.98546,478.4025221,2626.160543,7252.20227,12467.55074,66155.70328
high_low_power_ratio,166,0.0002461059534,0.0001909907881,2.896478206e-05,0.000130169256,0.0001726525957,0.0002919861833,0.0009048131924
radial_psd_slope,166,-3.890873253,0.3836720736,-4.524993637,-4.187972884,-3.967945293,-3.610457721,-2.848978729
autocorr_length_x,166,26.8313253,47.14699374,4,8,10,14,255
autocorr_length_y,166,13.18072289,8.358164003,4,9,10,14,64
anisotropy_ratio,166,1.653413868,1.580412283,1,1.085227273,1.148351648,1.271212121,10.58333333
coverage_fraction,166,0.2899712031,0.03216573583,0.1253967285,0.2746744156,0.2938461304,0.3063354492,0.3904418945
connected_component_count,166,103.0903614,101.5713781,7,50.25,76.5,119.5,993
component_density,166,0.001370014651,0.001076295614,0.0001068115234,0.0006446838379,0.001068115234,0.001766204834,0.005547337278
mean_component_area,166,385.0237561,380.4170001,48.53389831,160.9043478,275.9628247,446.154485,3250.714286
median_component_area,166,103.0451807,142.3597579,1,7.625,55.75,144,1157
max_component_area,166,4323.73494,5401.201562,224,1335.25,2295.5,6115.25,48643
mean_component_height,166,3.877354833,2.94599903,0.4297066904,1.744626358,2.564996763,5.054190532,12.64295599
median_component_height,166,3.514005926,2.873570103,0.4116801059,1.521466058,2.081343365,4.463299665,12.13667357
