row_id,parent_row_id,sample_id,group_id,split,source_kind,patch_id,metrics_scope,height_mean,height_std,rq,ra,peak_to_valley,p01,p05,p50,p95,p99,robust_range,skewness,kurtosis,mean_abs_gradient,gradient_std,gradient_orientation_entropy,gradient_anisotropy,psd_low_power,psd_mid_power,psd_high_power,psd_slope,autocorrelation_length_px,island_coverage,island_count,island_mean_area_px,height_min,height_max,slope_p50,slope_p95,slope_p99,psd_peak_frequency,island_mean_height
afmv2_9149961336da,afmv2_9149961336da,6022,6022,train,physical_height,full,full_image,9.436315618e-11,1.649340272,1.649340272,1.30284512,13.70649719,-4.308459282,-2.972831726,0.1861962229,2.340831757,3.215019703,7.523479462,-0.5425136685,3.307380676,0.2319792211,0.2811472714,0.9953555465,0.2892287672,12.08788109,7.555912971,5.450165272,-3.320037603,14,0.25,87,188.3218384,-7.741127491,5.965369701,0.1324927062,0.8628726006,1.409132838,0.01235264726,1.926977038
afmv2_2b94d08b24c9,afmv2_2b94d08b24c9,6022,6022,train,physical_height,full,full_image,-1.383840265e-10,1.878184676,1.878184676,1.43787992,18.25694466,-5.010040283,-3.637019396,0.2969724834,2.591486216,3.419586658,8.429627419,-0.9756909609,5.085091591,0.2690547407,0.3227209747,0.991348207,0.1827747077,12.20654392,7.471418858,5.469112873,-3.363362551,12,0.25,94,174.2978668,-13.04181004,5.215135574,0.1500295401,0.9959958792,1.553363085,0.015625,2.069593191
afmv2_dd63941a3127,afmv2_dd63941a3127,6022,6022,train,physical_height,full,full_image,-1.662331661e-10,1.35970819,1.35970819,0.9400447011,18.9752636,-4.268743038,-2.265856266,0.04228600487,1.996894479,3.242275953,7.51101923,-1.210529327,10.08185768,0.2568888664,0.2894545496,0.9970954061,0.1650240123,12.00867462,7.708312511,5.410889149,-3.058968782,8,0.25,144,113.7777786,-14.49879551,4.476467609,0.1593751907,0.8543720841,1.460620284,0.02103579976,1.53204155
afmv2_5afeb1412332,afmv2_5afeb1412332,6023,6023,val,physical_height,full,full_image,-1.403883898e-09,8.395533562,8.395533562,5.425800323,91.99694061,-32.26952362,-13.54069614,0.7217635512,11.45559216,18.36430168,50.63382721,-1.911790848,12.55118656,0.8047260642,0.8266538382,0.9918454885,0.2168002129,14.45901775,10.37177849,6.207304955,-3.835169792,15,0.25,27,606.8148193,-68.23431396,23.76262856,0.565227747,2.226655483,4.002933502,0.01408418454,8.494464874
afmv2_d1e97556fd64,afmv2_d1e97556fd64,6023,6023,val,physical_height,full,full_image,-5.012406046e-10,10.45164013,10.45164013,7.071166039,98.22847748,-41.81759644,-19.8424778,2.619940758,11.25270081,13.47327614,55.29087448,-2.428276539,11.99043083,0.828549087,1.07611835,0.9833150506,0.4695303738,15.16270065,11.16567898,6.425637722,-3.978624105,16,0.25,35,468.1142883,-81.84799957,16.38047981,0.4124983847,2.601922989,4.843432903,0.01235264726,8.791801453
afmv2_452bfe1ab79e,afmv2_452bfe1ab79e,6023,6023,val,physical_height,full,full_image,-5.159823679e-10,10.28980446,10.28980446,7.278920174,108.0130234,-38.47190475,-17.14092827,1.239253879,13.72373581,16.73582268,55.20772552,-1.89190805,10.97121811,0.7733402252,0.9016093612,0.9901390672,0.08106280118,14.33349228,10.00636673,6.562877655,-3.852440596,19,0.25,17,963.7647095,-88.19171906,19.82130432,0.3992224038,2.278286695,4.176708698,0.00390625,10.4837656
afmv2_71f6caf06442,afmv2_71f6caf06442,6028,6028,train,physical_height,full,full_image,-3.915803237e-10,6.202368736,6.202368736,4.842485905,44.25275803,-17.34836388,-10.84336948,0.478120774,9.540649414,13.20585537,30.5542202,-0.336951673,3.639722109,1.051611185,0.9815840125,0.9936459661,0.1058655456,14.70058632,9.699593544,6.382279873,-3.966100693,10,0.25,37,442.8108215,-21.53756714,22.71519089,0.7574448586,3.128942966,4.228566647,0.00390625,7.341983795
afmv2_591e6b53adec,afmv2_591e6b53adec,6028,6028,train,physical_height,full,full_image,-5.373132494e-10,6.072564602,6.072564602,4.71369648,40.57301331,-18.4443264,-11.21739292,0.8372269869,8.277625084,13.2637558,31.7080822,-0.6345642209,3.735020161,1.036756992,0.9934601784,0.9950513244,0.07430294901,14.63207722,9.659878731,7.098858356,-3.710999966,10,0.25,40,409.6000061,-21.35264206,19.22037125,0.7242062688,3.149102688,4.269076347,0.00390625,6.890043736
afmv2_2ebd99306a7c,afmv2_2ebd99306a7c,6028,6028,train,physical_height,full,full_image,-1.081919554e-10,2.319947004,2.319947004,1.810980201,19.10214043,-5.850485325,-3.959911585,0.09507948905,3.704199553,5.451411724,11.30189705,-0.1178804263,3.379155159,0.5004560351,0.4254820943,0.9952389598,0.1476109177,13.11231613,8.009672165,5.430478096,-3.625305414,8,0.25,99,165.4949493,-10.62945938,8.472681999,0.3833782971,1.34730351,2.028012514,0.02277715504,2.874405861
afmv2_1b8fbc315bb7,afmv2_1b8fbc315bb7,6029,6029,train,physical_height,full,full_image,1.994294729e-10,2.289763212,2.289763212,1.800530076,18.7972908,-6.318114281,-4.055452824,0.1754730195,3.388166189,4.588794708,10.90690899,-0.4839827716,3.426141024,0.4939815402,0.4190736115,0.9928486943,0.2118923813,13.00795555,7.692182541,5.146190643,-3.689728737,8,0.25,94,174.2978668,-12.3357296,6.461560726,0.3751884401,1.330717325,1.94848001,0.02277715504,2.728583336
afmv2_b6afd6753b6f,afmv2_b6afd6753b6f,6029,6029,train,physical_height,full,full_image,3.927833614e-10,2.561024904,2.561024904,2.040818691,23.36707687,-6.172577858,-4.100782871,-0.09734538198,4.232290745,6.073080063,12.24565792,-0.01376084425,3.191053152,0.4797559679,0.4192468822,0.9938213229,0.06799653172,13.11507225,7.893938065,4.773731232,-3.95786953,10,0.25,62,264.2580566,-15.26526642,8.101810455,0.3781504631,1.305779815,1.933457851,0.00390625,3.291283131
afmv2_15df1c3d90e5,afmv2_15df1c3d90e5,6029,6029,train,physical_height,full,full_image,-6.166578359e-11,2.965615988,2.965615988,2.33698535,20.98334122,-6.791986465,-4.922605991,0.04803492129,4.459757805,8.014019966,14.80600643,0.05490388349,3.225960732,0.5496960878,0.4844783545,0.9936721921,0.07693579048,13.39273357,8.298558235,5.543723583,-3.79101491,10,0.25,56,292.5714417,-11.1867485,9.796593666,0.4300055504,1.499076843,2.235438108,0.00390625,3.70490551
afmv2_88163a0e3cbc,afmv2_88163a0e3cbc,6033,6033,train,physical_height,full,full_image,-6.168777711e-10,3.834280968,3.834280968,3.051913023,24.8898716,-7.845112324,-5.714733601,-0.2573301196,6.961482525,10.35192013,18.19703293,0.4240811467,3.124364614,0.5051560402,0.4145940244,0.9922487736,0.1230760589,13.4281168,8.692502022,5.211880684,-3.90513587,45,0.25,22,744.7272949,-10.43581676,14.45405579,0.406221658,1.294662118,1.953563929,0.00390625,5.110672951
afmv2_481758407ad2,afmv2_481758407ad2,6033,6033,train,physical_height,full,full_image,-2.783726027e-10,2.529371977,2.529371977,2.006795168,18.0674324,-5.385760784,-3.950758934,-0.1329191923,4.482254028,6.47978735,11.86554813,0.2567718327,3.065508604,0.4728240669,0.3975987136,0.9946630001,0.1750190407,13.11935806,8.099349022,5.035104275,-3.860429287,10,0.25,53,309.1320801,-8.785022736,9.282408714,0.3767904639,1.242108583,1.828624964,0.00390625,3.31366086
afmv2_762c063b5e99,afmv2_762c063b5e99,6033,6033,train,physical_height,full,full_image,-2.783726027e-10,2.529371977,2.529371977,2.006795168,18.0674324,-5.385760784,-3.950758934,-0.1329191923,4.482254028,6.47978735,11.86554813,0.2567718327,3.065508604,0.4728240669,0.3975987136,0.9946630001,0.1750190407,13.11935806,8.099349022,5.035104275,-3.860429287,10,0.25,53,309.1320801,-8.785022736,9.282408714,0.3767904639,1.242108583,1.828624964,0.00390625,3.31366086
afmv2_afdd0d0c4561,afmv2_afdd0d0c4561,6033,6033,train,physical_height,full,full_image,-2.13537299e-10,2.549088717,2.549088717,2.036069632,16.90186119,-5.902049065,-4.069279671,-0.09698341042,4.428281784,5.97269249,11.87474155,0.07787297666,2.893888712,0.4758792818,0.3963770866,0.995149076,0.1552295685,13.09933949,7.936114788,5.077964306,-3.85914278,11,0.25,57,287.4385986,-9.104137421,7.797724247,0.3780956566,1.242696524,1.822669744,0.00390625,3.311712027
afmv2_6d44e9dcdae1,afmv2_6d44e9dcdae1,6041,6041,train,physical_height,full,full_image,1.994105853e-10,3.19045496,3.19045496,2.552598953,21.98829651,-7.499547005,-5.390915871,0.1046832204,5.326288223,6.922397614,14.42194462,-0.1271190196,2.833564281,0.2945548594,0.2039189637,0.9988418818,0.101929456,13.48286057,9.326621056,6.57723856,-3.443988085,20,0.25,104,630.1538696,-13.77069569,8.217600822,0.2434916347,0.7055501342,0.9102125764,0.008734640665,4.012521267
afmv2_983cedb0c892,afmv2_983cedb0c892,6041,6041,train,physical_height,full,full_image,1.363545943e-10,1.914262414,1.914262414,1.523608446,12.68920898,-4.878366947,-3.345576286,0.08379831165,2.96752739,4.00788784,8.886255264,-0.2852005064,2.985693693,0.3913262486,0.2610576749,0.9949867129,0.188130334,12.39151096,8.002449989,6.725241184,-3.010810614,9,0.25,84,195.0476227,-7.479329586,5.209879398,0.340459913,0.8981480598,1.179150224,0.01953125,2.375439167
afmv2_f110a882b072,afmv2_f110a882b072,6041,6041,train,physical_height,full,full_image,6.145611797e-12,2.019250393,2.019250393,1.607376456,13.12586021,-4.664451122,-3.429481745,0.04151047021,3.344522476,4.831331253,9.495781898,-0.02219772339,2.920593977,0.4080506563,0.268714875,0.9973444939,0.09192435443,12.32037926,7.884859085,6.953737259,-2.958999395,10,0.25,120,136.5333405,-7.043191433,6.082668781,0.3533034325,0.9246865511,1.243336201,0.01746928133,2.540191174
afmv2_7d3bf3dba450,afmv2_7d3bf3dba450,6043,6043,train,physical_height,full,full_image,4.512697327e-09,13.36919498,13.36919498,9.374848366,93.32313538,-39.00151825,-24.959589,0.5868223906,24.77338409,34.38542557,73.38694763,-0.2178318948,4.566637993,3.012000799,1.744304657,0.9933542013,0.1951357275,14.47736454,9.638712883,6.499179363,-3.913797617,11,0.25,34,79.52941132,-50.32172394,43.00141144,2.82775569,6.211567402,7.956483364,0.01923076995,15.64772511
afmv2_e610a1897a3b,afmv2_e610a1897a3b,6043,6043,train,physical_height,full,full_image,3.150850247e-09,7.371982574,7.371982574,5.645898819,57.83517838,-19.74563789,-12.94456863,0.6297468543,10.77891541,17.58709717,37.33273697,-0.2265484184,3.87638998,2.588283062,1.654824257,0.9907553792,0.3284443021,14.18251801,9.41973114,6.306560516,-3.681309938,5,0.25,48,56.33333206,-29.64252472,28.19265556,2.314204216,5.536737442,7.546396255,0.03466876224,8.666367531
afmv2_6e0ba5f31fa8,afmv2_6e0ba5f31fa8,6043,6043,train,physical_height,full,full_image,-2.81646706e-10,5.958148003,5.958148003,4.760743141,41.43667221,-14.64535713,-10.75748634,0.5003018975,8.724580765,12.39077282,27.036129,-0.375131458,3.004047155,2.560856104,1.502893209,0.9939106107,0.2514288723,13.80622196,9.32111454,6.313216209,-3.301445484,4,0.25,63,42.92063522,-24.89077759,16.54589462,2.414673805,5.135371208,6.329869747,0.04807692394,7.147407055
afmv2_714120e7bb41,afmv2_714120e7bb41,6047,6047,train,physical_height,full,full_image,-5.334688247e-10,5.579325199,5.579325199,4.270275593,36.74156952,-16.65109634,-10.01222897,0.5408520699,8.447403908,12.23766136,28.88875771,-0.5493190289,3.828799963,1.045852661,0.9653766751,0.9957237244,0.02601230331,14.59196186,9.695075035,7.342075825,-3.588089466,9,0.25,59,277.6949158,-20.83274078,15.90882778,0.7639484406,3.035454273,4.1175704,0.00390625,6.498321056
afmv2_08db02d989d1,afmv2_08db02d989d1,6047,6047,train,physical_height,full,full_image,-6.617117965e-10,6.166564465,6.166564465,4.68787241,37.01516724,-18.20227814,-11.44533157,0.4544439614,9.751447678,12.2158165,30.41809654,-0.5646625161,3.690426588,1.08916831,1.026045322,0.9940807223,0.1388753802,14.70436954,9.657542229,7.335577488,-3.679738522,10,0.25,77,212.7792206,-22.27082443,14.7443428,0.7530277967,3.223415375,4.372927666,0.00390625,7.234746933
afmv2_d4290c8d7cff,afmv2_d4290c8d7cff,6047,6047,train,physical_height,full,full_image,-1.654003601e-10,4.693406582,4.693406582,3.528114557,40.64571381,-15.04395485,-9.182611465,0.6966547966,6.341970921,9.026849747,24.0708046,-0.934904635,4.473243713,1.007195234,0.91531533,0.9981377721,0.1941669732,14.35461998,9.34483242,7.347157478,-3.389865637,8,0.25,121,135.404953,-22.17053413,18.47518158,0.6901971102,2.973632336,4.041305065,0.01991804503,5.080757618
afmv2_c6c24034d65d,afmv2_c6c24034d65d,6047,6047,train,physical_height,full,full_image,-7.862266393e-11,1.89748168,1.89748168,1.478186607,16.08576393,-5.086338997,-3.303014755,0.08166342974,2.903610945,4.299520969,9.385859489,-0.352571249,3.611000061,0.4838179052,0.3882665038,0.9949168563,0.1597202718,12.92252445,8.306417465,6.981056213,-2.927343607,7,0.25,212,77.28302002,-9.87128067,6.214484215,0.3640738428,1.265609741,1.761725307,0.02501220442,2.291572332
afmv2_afb928f7556a,afmv2_afb928f7556a,6047,6047,train,physical_height,full,full_image,-3.407505667e-10,1.864151239,1.864151239,1.446426988,16.08621788,-5.026741505,-3.253161907,0.09374364465,2.901227713,4.186626434,9.213367462,-0.3569643497,3.693503857,0.4774233997,0.3832486868,0.994900763,0.1635469347,12.89671612,8.31166935,7.072312355,-2.883173227,7,0.25,195,84.02051544,-9.764400482,6.321817875,0.3627563417,1.246809483,1.740286231,0.02816836908,2.248861551
afmv2_63cdae8de7df,afmv2_63cdae8de7df,6047,6047,train,physical_height,full,full_image,-1.593703225e-10,2.003665447,2.003665447,1.573025465,14.84079647,-4.974616528,-3.279775143,-0.009732018225,3.345926285,4.492361069,9.466978073,-0.1023761109,3.16337347,0.4598123729,0.3851244748,0.9964620471,0.1954872608,12.89630985,7.811069012,5.139405727,-3.57691431,8,0.25,96,170.6666718,-9.005926132,5.834870338,0.3428922892,1.240294814,1.736051321,0.02620392106,2.560483694
afmv2_4736adbc1b93,afmv2_4736adbc1b93,6048,6048,test,physical_height,full,full_image,2.292498413e-10,3.227337599,3.227337599,2.615104675,20.51947212,-6.243132591,-4.652025223,-0.3057399392,5.763702869,8.625614166,14.86874676,0.4430319965,2.898882389,0.4208157659,0.345351994,0.9939995408,0.1277230829,12.98213291,7.965315819,4.935637474,-4.0297122,49,0.25,36,455.1111145,-10.05655766,10.46291447,0.3326855302,1.087208629,1.60799706,0.00390625,4.358588696
afmv2_e66b501502c9,afmv2_e66b501502c9,6048,6048,test,physical_height,full,full_image,-2.356060624e-10,1.868148208,1.868148208,1.467842937,14.67003345,-4.926150799,-3.153000355,0.05208307132,2.916844845,4.014709473,8.940859795,-0.2265457362,3.331852913,0.4010003507,0.3362239599,0.9974324703,0.1851127148,12.66497803,7.645261765,4.874828339,-3.638755798,8,0.25,76,215.578949,-7.970978737,6.699054718,0.3070954978,1.061727643,1.570556879,0.02209708653,2.308502674
afmv2_498985317862,afmv2_498985317862,6056,6056,val,physical_height,full,full_image,1.38528744e-10,3.627898932,3.627898932,2.811531782,29.82421875,-8.58088398,-5.795850754,-0.03918379545,5.852443218,10.66469002,19.24557304,0.2450259328,3.689963102,0.6726678014,0.64605546,0.9933897853,0.1805152744,13.95891762,9.307607651,7.087554932,-3.418805122,11,0.25,64,256,-16.64712143,13.17709637,0.4575217366,1.987473965,2.94747138,0.00390625,4.609980583
afmv2_bafdac06938e,afmv2_bafdac06938e,6056,6056,val,physical_height,full,full_image,2.498912466e-10,3.185753822,3.185753822,2.510130405,26.94358635,-7.311450958,-5.017286301,-0.05252834782,5.345454693,8.198683739,15.5101347,0.1738404334,3.290425301,0.6334526539,0.5812443495,0.9935622215,0.155012548,13.78655529,9.220840454,7.519992828,-3.186477423,11,0.25,110,148.9454498,-13.85154247,13.09204483,0.4315452874,1.821079493,2.671829939,0.00390625,4.073981285
