descriptor,mae,rmse,correlation
height_mean,0.07558458298,0.08756104857,
height_std,4.771303177,5.332623959,-0.03210402185
rq,4.771303177,5.332623959,-0.03210402185
ra,3.580193043,3.944077492,-0.08669461576
peak_to_valley,35.23527908,39.0980072,0.1519825953
p01,13.86213207,15.63569546,0.2968130929
p05,9.314217567,10.4003582,0.236933067
p50,0.4048112035,0.4515517652,0.145299251
p95,7.302063942,8.549324036,-0.2740116092
p99,10.68161392,12.35272026,-0.3151740496
robust_range,24.54374695,27.9214859,0.2392456949
skewness,0.3840349019,0.4329385757,0.1210543691
kurtosis,1.830602407,1.866497874,0.1906744003
mean_abs_gradient,0.8927251101,1.124466896,-0.07940548013
gradient_std,0.7415159345,0.8402006626,-0.05695100995
gradient_orientation_entropy,0.002065110486,0.002807827899,-0.03840097058
gradient_anisotropy,0.08370446414,0.1063122228,-0.1185964611
psd_low_power,5.003753185,5.051629543,0.1114948997
psd_mid_power,5.235178471,5.277115345,0.07831868344
psd_high_power,4.571478367,4.587305069,-0.04856348248
psd_slope,0.1628691852,0.2323798388,-0.05292279154
autocorrelation_length_px,3.944444418,4.938510895,-0.05507233231
island_coverage,4.238552549e-07,1.271565793e-06,
island_count,28.90277863,32.33182907,0.1135697031
island_mean_area_px,215.4271393,303.9845581,-0.003097331738
height_min,19.10598373,21.13821602,0.1743851934
height_max,16.12929535,18.02165985,-0.131481328
slope_p50,0.6732115746,0.941216886,-0.06327118612
slope_p95,2.447178364,2.81136322,-0.01983830591
slope_p99,3.288516521,3.730079412,-0.08966446264
psd_peak_frequency,0.00933633931,0.01106456947,0.05248069267
island_mean_height,5.469896317,6.119394779,-0.1293461613
