descriptor,real_mean,generated_mean,abs_mean_delta,real_std,generated_std,abs_std_delta
height_mean,2.837174419e-11,0.07367260754,0.07367260751,6.269014752e-10,0.04732107371,0.04732107308
height_std,4.643741608,0.631862402,4.011879206,3.112341881,0.00806280598,3.104279075
rq,4.643741608,0.631862402,4.011879206,3.112341881,0.00806280598,3.104279075
ra,3.665314436,0.5558834672,3.109430969,2.481785297,0.009235414676,2.472549883
peak_to_valley,31.65093422,1.996883392,29.65405083,17.71977997,0.001993483165,17.71778649
p01,-10.96465588,-0.9799336195,9.984722257,6.91328907,0.007479461841,6.905809608
p05,-7.744914532,-0.9167435765,6.828170955,4.91383028,0.01901845075,4.89481183
p50,0.2507542372,0.1044274196,0.1463268176,0.6178135872,0.0745517984,0.5432617888
p95,7.299634457,0.9637294412,6.335905015,5.552497864,0.01022274233,5.542275121
p99,10.48031712,0.9935770035,9.486740112,8.253354073,0.002364310902,8.250989762
robust_range,21.44497299,1.973510742,19.47146225,13.9002533,0.006623589434,13.89362971
skewness,-0.2207547426,-0.1168980598,0.1038566828,0.543741405,0.09518347681,0.4485579282
kurtosis,3.691920757,1.677976131,2.013944626,1.480535865,0.04072414711,1.439811718
mean_abs_gradient,0.8455521464,0.1636734605,0.681878686,0.6393837929,0.006006916519,0.6333768764
gradient_std,0.7114681602,0.1284450293,0.5830231309,0.4738101661,0.003736088751,0.4700740774
gradient_orientation_entropy,0.9923549891,0.9976971745,0.005342185497,0.007363799494,0.001180083491,0.006183716003
gradient_anisotropy,0.1687081456,0.1197907254,0.04891742021,0.1006552055,0.06443293393,0.03622227162
psd_low_power,13.83805084,9.105577469,4.732473373,1.116588235,0.05576799065,1.060820244
psd_mid_power,9.118736267,3.934827089,5.183909178,1.065639973,0.08862030506,0.9770196676
psd_high_power,6.316709042,1.228425503,5.088283539,1.013622046,0.07103832066,0.9425837249
psd_slope,-3.596304417,-4.046591759,0.4502873421,0.3865300119,0.04591890797,0.3406111039
autocorrelation_length_px,14.43452358,6.527777672,7.906745911,13.48130894,0.5263137817,12.95499516
island_coverage,0.2499997318,0.25,2.682209015e-07,1.74471802e-06,0,1.74471802e-06
island_count,104.9821396,30.70833397,74.27380562,97.31829834,4.905884743,92.4124136
island_mean_area_px,320.9054871,136.8968964,184.0085907,372.5415039,22.35301781,350.1884861
height_min,-16.99710655,-0.9974591732,15.99964738,10.78796768,0.00200585206,10.78596183
height_max,14.65382576,0.9994239807,13.65440178,9.947124481,0.000466301135,9.94665818
slope_p50,0.6511268616,0.1362543702,0.5148724914,0.5793196559,0.006433668546,0.5728859873
slope_p95,2.22406888,0.4132105112,1.810858369,1.459739208,0.01216197386,1.447577234
slope_p99,3.019897938,0.5593004823,2.460597456,1.744506359,0.01841007732,1.726096282
psd_peak_frequency,0.01446115691,0.01529259793,0.0008314410225,0.01137123536,0.007019383833,0.00435185153
island_mean_height,5.623699188,0.8636320233,4.760067165,3.758238554,0.0265568532,3.731681701
