descriptor,real_mean,generated_mean,abs_mean_delta,real_std,generated_std,abs_std_delta
height_mean,5.129660238e-11,-0.01918188296,0.01918188301,1.04895459e-09,0.01818148978,0.01818148873
height_std,4.244207382,0.3151333332,3.929074049,2.950551748,0.01016601175,2.940385737
rq,4.244207382,0.3151333332,3.929074049,2.950551748,0.01016601175,2.940385737
ra,3.18616581,0.245683372,2.940482438,2.031076431,0.008221693337,2.022854738
peak_to_valley,33.9984436,1.893569946,32.10487366,26.5096035,0.03829173744,26.47131176
p01,-12.31476021,-0.79434973,11.52041048,10.84182453,0.04321009666,10.79861443
p05,-7.378335953,-0.5792176723,6.79911828,5.447104454,0.03480560705,5.412298847
p50,0.2963115573,-0.004235321656,0.3005468789,0.5431185365,0.01857306994,0.5245454665
p95,6.462608337,0.4974012971,5.96520704,4.508112431,0.02915331163,4.478959119
p99,9.263088226,0.7040875554,8.559000671,6.263298512,0.03357477486,6.229723737
robust_range,21.57784843,1.498437285,20.07941115,16.4538517,0.04704582319,16.40680588
skewness,-0.4049038291,-0.1498711258,0.2550327033,0.6641177535,0.1086114123,0.5555063412
kurtosis,4.455996513,3.07947731,1.376519203,2.692005634,0.1391750872,2.552830547
mean_abs_gradient,0.7859299183,0.1330235004,0.6529064178,0.6705889106,0.002699988661,0.6678889219
gradient_std,0.6448488832,0.08893874288,0.5559101403,0.4128855169,0.002401060192,0.4104844567
gradient_orientation_entropy,0.9941219091,0.9974296093,0.003307700157,0.002783340402,0.00130451622,0.001478824182
gradient_anisotropy,0.1687667072,0.1836177558,0.01485104859,0.08293352276,0.05243983492,0.03049368784
psd_low_power,13.48141098,8.617843628,4.863567352,0.8627418876,0.04016933218,0.8225725554
psd_mid_power,8.725616455,5.332151413,3.393465042,0.9508346915,0.05101140216,0.8998232894
psd_high_power,6.102252483,2.585000515,3.517251968,0.8829042912,0.09014300257,0.7927612886
psd_slope,-3.570749521,-2.864049196,0.706700325,0.3382710218,0.05460765213,0.2836633697
autocorrelation_length_px,12.59375,4.84375,7.75,9.522537231,0.3630921841,9.159445047
island_coverage,0.25,0.25,0,0,0,0
island_count,77.375,172.6875,95.3125,45.05049133,15.04874897,30.00174236
island_mean_area_px,284.0174255,23.89682388,260.1206017,209.7930756,2.057178974,207.7358966
height_min,-21.20510483,-0.961807251,20.24329758,20.71235847,0.02006220259,20.69229627
height_max,12.79334164,0.9317626953,11.86157894,8.191243172,0.032938499,8.158304673
slope_p50,0.6157734394,0.1138387769,0.5019346625,0.6368451715,0.00283308397,0.6340120875
slope_p95,2.029917717,0.305917114,1.724000603,1.387064219,0.007852538489,1.37921168
slope_p99,2.914246082,0.4145476818,2.4996984,1.809566975,0.01339637022,1.796170604
psd_peak_frequency,0.01390010491,0.03158536181,0.0176852569,0.01103317644,0.01627973095,0.005246554501
island_mean_height,4.90109396,0.3702943921,4.530799568,3.063877106,0.02255980298,3.041317303
