row_id,parent_row_id,sample_id,group_id,split,network_input_path,descriptor_height_path,source_path,source_kind,prototype_id,height_mean,cond_height_mean,height_std,cond_height_std,rq,cond_rq,ra,cond_ra,peak_to_valley,cond_peak_to_valley,p01,cond_p01,p05,cond_p05,p50,cond_p50,p95,cond_p95,p99,cond_p99,robust_range,cond_robust_range,skewness,cond_skewness,kurtosis,cond_kurtosis,mean_abs_gradient,cond_mean_abs_gradient,gradient_std,cond_gradient_std,gradient_orientation_entropy,cond_gradient_orientation_entropy,gradient_anisotropy,cond_gradient_anisotropy,psd_low_power,cond_psd_low_power,psd_mid_power,cond_psd_mid_power,psd_high_power,cond_psd_high_power,psd_slope,cond_psd_slope,autocorrelation_length_px,cond_autocorrelation_length_px,island_coverage,cond_island_coverage,island_count,cond_island_count,island_mean_area_px,cond_island_mean_area_px,height_min,cond_height_min,height_max,cond_height_max,slope_p50,cond_slope_p50,slope_p95,cond_slope_p95,slope_p99,cond_slope_p99,psd_peak_frequency,cond_psd_peak_frequency,island_mean_height,cond_island_mean_height
afmv2_9149961336da,afmv2_9149961336da,6022,6022,train,reports/afm_prior_v2/20260703_052537/data/standardized_tensors/afmv2_9149961336da.npy,data/plane_corrected_afm/6022/N6022_Ctr_000/N6022_Ctr_000_plane_corrected.npy,data/plane_corrected_afm/6022/N6022_Ctr_000/N6022_Ctr_000_plane_corrected.npy,physical_height,1,9.436315618e-11,4.813220656e-11,1.649340272,-0.847204568,1.649340272,-0.847204568,1.30284512,-0.8636796785,13.70649719,-0.9780969648,-4.308459282,0.8814244398,-2.972831726,0.822427251,0.1861962229,-0.01283688859,2.340831757,-0.7582040426,3.215019703,-0.7987204494,7.523479462,-0.879809535,-0.5425136685,-0.8478843379,3.307380676,-0.2400166137,0.2319792211,-0.883326023,0.2811472714,-0.8087901099,0.9953555465,0.4330104824,0.2892287672,1.011336503,12.08788109,-1.424853997,7.555912971,-1.414213049,5.450165272,-0.8176336476,-3.320037603,0.5256821293,14,-0.05745948606,0.25,0.1474235576,87,-0.2133975257,188.3218384,-0.2720140588,-7.741127491,1.074630342,5.965369701,-0.7958262844,0.1324927062,-0.8634570883,0.8628726006,-0.8278937968,1.409132838,-0.8065676206,0.01235264726,-0.1695993399,1.926977038,-0.8873419284
afmv2_2b94d08b24c9,afmv2_2b94d08b24c9,6022,6022,train,reports/afm_prior_v2/20260703_052537/data/standardized_tensors/afmv2_2b94d08b24c9.npy,data/plane_corrected_afm/6022/N6022_Ctr_002/N6022_Ctr_002_plane_corrected.npy,data/plane_corrected_afm/6022/N6022_Ctr_002/N6022_Ctr_002_plane_corrected.npy,physical_height,1,-1.383840265e-10,-1.846149761e-10,1.878184676,-0.7707213721,1.878184676,-0.7707213721,1.43787992,-0.805066109,18.25694466,-0.6847566488,-5.010040283,0.7667589661,-3.637019396,0.6860924131,0.2969724834,0.167195174,2.591486216,-0.7154288528,3.419586658,-0.7735266576,8.429627419,-0.8126929355,-0.9756909609,-1.771549996,5.085091591,1.542861467,0.2690547407,-0.8255957129,0.3227209747,-0.721485071,0.991348207,-0.06679484151,0.1827747077,0.03086291173,12.20654392,-1.314847785,7.471418858,-1.500464332,5.469112873,-0.7996285336,-3.363362551,0.4135459373,12,-0.1937036376,0.25,0.1474235576,94,-0.1503802757,174.2978668,-0.3056277271,-13.04181004,0.3350724873,5.215135574,-0.875748396,0.1500295401,-0.8319364228,0.9959958792,-0.7384525249,1.553363085,-0.7258310955,0.015625,0.1110705944,2.069593191,-0.8476807857
afmv2_dd63941a3127,afmv2_dd63941a3127,6022,6022,train,reports/afm_prior_v2/20260703_052537/data/standardized_tensors/afmv2_dd63941a3127.npy,data/plane_corrected_afm/6022/N6022_Ctr_004/N6022_Ctr_004_plane_corrected.npy,data/plane_corrected_afm/6022/N6022_Ctr_004/N6022_Ctr_004_plane_corrected.npy,physical_height,1,-1.662331661e-10,-2.124641157e-10,1.35970819,-0.944003908,1.35970819,-0.944003908,0.9400447011,-1.021157807,18.9752636,-0.638450894,-4.268743038,0.8879156104,-2.265856266,0.9675449476,0.04228600487,-0.2467178055,1.996894479,-0.8168983199,3.242275953,-0.7953636595,7.51101923,-0.8807324399,-1.210529327,-2.272296774,10.08185768,6.554151358,0.2568888664,-0.8445392019,0.2894545496,-0.7913447733,0.9970954061,0.650010088,0.1650240123,-0.1326262793,12.00867462,-1.498282246,7.708312511,-1.258644152,5.410889149,-0.8549561073,-3.058968782,1.201395887,8,-0.4661919408,0.25,0.1474235576,144,0.2997429388,113.7777786,-0.4506866468,-14.49879551,0.1317920534,4.476467609,-0.9544383694,0.1593751907,-0.8151385716,0.8543720841,-0.8336050219,1.460620284,-0.7777462218,0.02103579976,0.5751552862,1.53204155,-0.9971723536
afmv2_1b8fbc315bb7,afmv2_1b8fbc315bb7,6029,6029,train,reports/afm_prior_v2/20260703_052537/data/standardized_tensors/afmv2_1b8fbc315bb7.npy,data/plane_corrected_afm/6029/N6029_1um_007/N6029_1um_007_plane_corrected.npy,data/plane_corrected_afm/6029/N6029_1um_007/N6029_1um_007_plane_corrected.npy,physical_height,1,1.994294729e-10,1.531985233e-10,2.289763212,-0.6331657175,2.289763212,-0.6331657175,1.800530076,-0.6476532043,18.7972908,-0.6499237432,-6.318114281,0.5529690767,-4.055452824,0.6002024513,0.1754730195,-0.03026409201,3.388166189,-0.5794722169,4.588794708,-0.6295308487,10.90690899,-0.6292055551,-0.4839827716,-0.7230786745,3.426141024,-0.1209110721,0.4939815402,-0.4753620813,0.4190736115,-0.5191439264,0.9928486943,0.120349657,0.2118923813,0.2990453572,13.00795555,-0.5719002412,7.692182541,-1.275109567,5.146190643,-1.106488045,-3.689728737,-0.4311743216,8,-0.4661919408,0.25,0.1474235576,94,-0.1503802757,174.2978668,-0.3056277271,-12.3357296,0.4335857129,6.461560726,-0.7429672728,0.3751884401,-0.4272363263,1.330717325,-0.5135638943,1.94848001,-0.5046544129,0.02277715504,0.7245114562,2.728583336,-0.6644175185
afmv2_b6afd6753b6f,afmv2_b6afd6753b6f,6029,6029,train,reports/afm_prior_v2/20260703_052537/data/standardized_tensors/afmv2_b6afd6753b6f.npy,data/plane_corrected_afm/6029/N6029_1um_008/N6029_1um_008_plane_corrected.npy,data/plane_corrected_afm/6029/N6029_1um_008/N6029_1um_008_plane_corrected.npy,physical_height,1,3.927833614e-10,3.465524118e-10,2.561024904,-0.5425060345,2.561024904,-0.5425060345,2.040818691,-0.54335288,23.36707687,-0.3553367826,-6.172577858,0.5767553577,-4.100782871,0.5908977549,-0.09734538198,-0.4736448245,4.232290745,-0.4354189724,6.073080063,-0.4467311576,12.24565792,-0.5300470512,-0.01376084425,0.279577405,3.191053152,-0.35668226,0.4797559679,-0.497512727,0.4192468822,-0.5187800569,0.9938213229,0.2416583089,0.06799653172,-1.026278271,13.11507225,-0.4725978525,7.893938065,-1.069158261,4.773731232,-1.46042067,-3.95786953,-1.125192176,10,-0.3299477892,0.25,0.1474235576,62,-0.438459133,264.2580566,-0.09000464492,-15.26526642,0.024853074,8.101810455,-0.5682321906,0.3781504631,-0.4219123929,1.305779815,-0.5303186094,1.933457851,-0.513063446,0.00390625,-0.8940474517,3.291283131,-0.5079323212
afmv2_15df1c3d90e5,afmv2_15df1c3d90e5,6029,6029,train,reports/afm_prior_v2/20260703_052537/data/standardized_tensors/afmv2_15df1c3d90e5.npy,data/plane_corrected_afm/6029/N6029_500_nm_010/N6029_500_nm_010_plane_corrected.npy,data/plane_corrected_afm/6029/N6029_500_nm_010/N6029_500_nm_010_plane_corrected.npy,physical_height,3,-6.166578359e-11,-1.078967332e-10,2.965615988,-0.40728569,2.965615988,-0.40728569,2.33698535,-0.4147979813,20.98334122,-0.5090020591,-6.791986465,0.4755200317,-4.922605991,0.4222057918,0.04803492129,-0.2373747452,4.459757805,-0.3966008054,8.014019966,-0.2076913979,14.80600643,-0.3404070658,0.05490388349,0.4259914762,3.225960732,-0.3216732162,0.5496960878,-0.3886089315,0.4844783545,-0.3817935539,0.9936721921,0.2230583455,0.07693579048,-0.9439450359,13.39273357,-0.2151923097,8.298558235,-0.6561234613,5.543723583,-0.7287290913,-3.79101491,-0.693329183,10,-0.3299477892,0.25,0.1474235576,56,-0.4924739187,292.5714417,-0.02214107799,-11.1867485,0.5938929921,9.796593666,-0.3876876806,0.4300055504,-0.3287081765,1.499076843,-0.4004485205,2.235438108,-0.3440223667,0.00390625,-0.8940474517,3.70490551,-0.3929051253
afmv2_88163a0e3cbc,afmv2_88163a0e3cbc,6033,6033,train,reports/afm_prior_v2/20260703_052537/data/standardized_tensors/afmv2_88163a0e3cbc.npy,data/plane_corrected_afm/6033/N6033_1um_015/N6033_1um_015_plane_corrected.npy,data/plane_corrected_afm/6033/N6033_1um_015/N6033_1um_015_plane_corrected.npy,physical_height,3,-6.168777711e-10,-6.631087207e-10,3.834280968,-0.1169649626,3.834280968,-0.1169649626,3.051913023,-0.1044745474,24.8898716,-0.2571712526,-7.845112324,0.30339853,-5.714733601,0.2596092935,-0.2573301196,-0.7336498307,6.961482525,0.03032856209,10.35192013,0.0802366789,18.19703293,-0.08924039311,0.4240811467,1.213189618,3.124364614,-0.4235646376,0.5051560402,-0.4579622618,0.4145940244,-0.5285510876,0.9922487736,0.04552605898,0.1230760589,-0.5189794227,13.4281168,-0.1823903353,8.692502022,-0.2539870749,5.211880684,-1.044065542,-3.90513587,-0.9887037991,45,2.054324863,0.25,0.1474235576,22,-0.7985577046,744.7272949,1.061618737,-10.43581676,0.6986639271,14.45405579,0.1084697108,0.406221658,-0.3714572908,1.294662118,-0.5377882343,1.953563929,-0.5018085608,0.00390625,-0.8940474517,5.110672951,-0.001965236329
afmv2_481758407ad2,afmv2_481758407ad2,6033,6033,train,reports/afm_prior_v2/20260703_052537/data/standardized_tensors/afmv2_481758407ad2.npy,data/plane_corrected_afm/6033/N6033_1um_016/N6033_1um_016_plane_corrected.npy,data/plane_corrected_afm/6033/N6033_1um_016/N6033_1um_016_plane_corrected.npy,physical_height,1,-2.783726027e-10,-3.246035523e-10,2.529371977,-0.5530849124,2.529371977,-0.5530849124,2.006795168,-0.5581212222,18.0674324,-0.6969733784,-5.385760784,0.7053517028,-3.950758934,0.6216924987,-0.1329191923,-0.5314588942,4.482254028,-0.3927617346,6.47978735,-0.396642429,11.86554813,-0.5582010368,0.2567718327,0.8564353044,3.065508604,-0.4825917209,0.4728240669,-0.5083063935,0.3975987136,-0.5642413474,0.9946630001,0.3466343773,0.1750190407,-0.04056909106,13.11935806,-0.4686246983,8.099349022,-0.8594755022,5.035104275,-1.212048782,-3.860429287,-0.8729915777,10,-0.3299477892,0.25,0.1474235576,53,-0.5194813116,309.1320801,0.01755265656,-8.785022736,0.9289847727,9.282408714,-0.4424635774,0.3767904639,-0.4243568523,1.242108583,-0.5730972731,1.828624964,-0.5717463034,0.00390625,-0.8940474517,3.31366086,-0.5017091391
afmv2_762c063b5e99,afmv2_762c063b5e99,6033,6033,train,reports/afm_prior_v2/20260703_052537/data/standardized_tensors/afmv2_762c063b5e99.npy,data/plane_corrected_afm/6033/N6033_1um_017/N6033_1um_017_plane_corrected.npy,data/plane_corrected_afm/6033/N6033_1um_017/N6033_1um_017_plane_corrected.npy,physical_height,1,-2.783726027e-10,-3.246035523e-10,2.529371977,-0.5530849124,2.529371977,-0.5530849124,2.006795168,-0.5581212222,18.0674324,-0.6969733784,-5.385760784,0.7053517028,-3.950758934,0.6216924987,-0.1329191923,-0.5314588942,4.482254028,-0.3927617346,6.47978735,-0.396642429,11.86554813,-0.5582010368,0.2567718327,0.8564353044,3.065508604,-0.4825917209,0.4728240669,-0.5083063935,0.3975987136,-0.5642413474,0.9946630001,0.3466343773,0.1750190407,-0.04056909106,13.11935806,-0.4686246983,8.099349022,-0.8594755022,5.035104275,-1.212048782,-3.860429287,-0.8729915777,10,-0.3299477892,0.25,0.1474235576,53,-0.5194813116,309.1320801,0.01755265656,-8.785022736,0.9289847727,9.282408714,-0.4424635774,0.3767904639,-0.4243568523,1.242108583,-0.5730972731,1.828624964,-0.5717463034,0.00390625,-0.8940474517,3.31366086,-0.5017091391
afmv2_afdd0d0c4561,afmv2_afdd0d0c4561,6033,6033,train,reports/afm_prior_v2/20260703_052537/data/standardized_tensors/afmv2_afdd0d0c4561.npy,data/plane_corrected_afm/6033/N6033_1um_018/N6033_1um_018_plane_corrected.npy,data/plane_corrected_afm/6033/N6033_1um_018/N6033_1um_018_plane_corrected.npy,physical_height,1,-2.13537299e-10,-2.597682486e-10,2.549088717,-0.5464952853,2.549088717,-0.5464952853,2.036069632,-0.5454142694,16.90186119,-0.7721108301,-5.902049065,0.620970227,-4.069279671,0.5973642761,-0.09698341042,-0.4730565533,4.428281784,-0.4019723147,5.97269249,-0.4590945602,11.87474155,-0.5575200982,0.07787297666,0.4749685646,2.893888712,-0.6547104502,0.4758792818,-0.5035491169,0.3963770866,-0.5668067718,0.995149076,0.4072589694,0.1552295685,-0.2228360236,13.09933949,-0.4871828859,7.936114788,-1.026104415,5.077964306,-1.171320684,-3.85914278,-0.8696617642,11,-0.2618257134,0.25,0.1474235576,57,-0.4834714544,287.4385986,-0.03444384716,-9.104137421,0.8844614929,7.797724247,-0.6006263606,0.3780956566,-0.4220109019,1.242696524,-0.5727022544,1.822669744,-0.5750798883,0.00390625,-0.8940474517,3.311712027,-0.5022511039
