mode,row_id,sample_id,group_id,prototype_id,generated_index,generated_std,generated_min,generated_max,generated_height_mean,requested_height_mean,generated_height_std,requested_height_std,generated_rq,requested_rq,generated_ra,requested_ra,generated_peak_to_valley,requested_peak_to_valley,generated_p01,requested_p01,generated_p05,requested_p05,generated_p50,requested_p50,generated_p95,requested_p95,generated_p99,requested_p99,generated_robust_range,requested_robust_range,generated_skewness,requested_skewness,generated_kurtosis,requested_kurtosis,generated_mean_abs_gradient,requested_mean_abs_gradient,generated_gradient_std,requested_gradient_std,generated_gradient_orientation_entropy,requested_gradient_orientation_entropy,generated_gradient_anisotropy,requested_gradient_anisotropy,generated_psd_low_power,requested_psd_low_power,generated_psd_mid_power,requested_psd_mid_power,generated_psd_high_power,requested_psd_high_power,generated_psd_slope,requested_psd_slope,generated_autocorrelation_length_px,requested_autocorrelation_length_px,generated_island_coverage,requested_island_coverage,generated_island_count,requested_island_count,generated_island_mean_area_px,requested_island_mean_area_px,generated_height_min,requested_height_min,generated_height_max,requested_height_max,generated_slope_p50,requested_slope_p50,generated_slope_p95,requested_slope_p95,generated_slope_p99,requested_slope_p99,generated_psd_peak_frequency,requested_psd_peak_frequency,generated_island_mean_height,requested_island_mean_height
oracle,afmv2_5afeb1412332,6023,6023,2,0,0.296032846,-0.9765622616,0.8764145374,-0.03974201617,-1.403883898e-09,0.2960328338,8.395533562,0.2960328338,8.395533562,0.2324901322,5.425800323,1.852976799,91.99694061,-0.743028357,-32.26952362,-0.5496133596,-13.54069614,-0.03049297072,0.7217635512,0.4480113313,11.45559216,0.6726464033,18.36430168,1.41567476,50.63382721,-0.05136958456,-1.911790848,3.056556134,12.55118656,0.1295143994,0.8047260642,0.0831901298,0.8266538382,0.9985098265,0.9918454885,0.1381871196,0.2168002129,8.518340068,14.45901775,5.302673858,10.37177849,2.460715617,6.207304955,-2.85017509,-3.835169792,5,15,0.25,0.25,178,27,23.01123596,606.8148193,-0.9765622616,-68.23431396,0.8764145374,23.76262856,0.1124659658,0.565227747,0.2899320996,2.226655483,0.3846208002,4.002933502,0.0390625,0.01408418454,0.3293623084,8.494464874
oracle,afmv2_5afeb1412332,6023,6023,2,1,0.304978013,-0.9331017733,0.9204620719,-0.04744780119,-1.403883898e-09,0.3049779935,8.395533562,0.3049779935,8.395533562,0.2382605232,5.425800323,1.853563845,91.99694061,-0.7799074745,-32.26952362,-0.5673974395,-13.54069614,-0.04087550566,0.7217635512,0.4644443333,11.45559216,0.6895296359,18.36430168,1.46943711,50.63382721,-0.006368574647,-1.911790848,3.095503034,12.55118656,0.1331246523,0.8047260642,0.0874819898,0.8266538382,0.9980784204,0.9918454885,0.1542693211,0.2168002129,8.586098317,14.45901775,5.330437256,10.37177849,2.470686055,6.207304955,-2.862241616,-3.835169792,4,15,0.25,0.25,154,27,26.5974026,606.8148193,-0.9331017733,-68.23431396,0.9204620719,23.76262856,0.1141908314,0.565227747,0.3011190799,2.226655483,0.4089692274,4.002933502,0.05949822739,0.01408418454,0.3364300913,8.494464874
oracle,afmv2_5afeb1412332,6023,6023,2,2,0.3207730949,-0.9437559843,0.9152143598,-0.02393168157,-1.403883898e-09,0.3207730839,8.395533562,0.3207730839,8.395533562,0.2520800204,5.425800323,1.858970344,91.99694061,-0.789600786,-32.26952362,-0.5815559298,-13.54069614,-0.0166114876,0.7217635512,0.5008406669,11.45559216,0.7133819187,18.36430168,1.502982705,50.63382721,-0.07923183921,-1.911790848,2.93206368,12.55118656,0.135468478,0.8047260642,0.0885328604,0.8266538382,0.9967350432,0.9918454885,0.2014387469,0.2168002129,8.64541139,14.45901775,5.368273207,10.37177849,2.577699785,6.207304955,-2.887107991,-3.835169792,5,15,0.25,0.25,160,27,25.6,606.8148193,-0.9437559843,-68.23431396,0.9152143598,23.76262856,0.1166251131,0.565227747,0.305611398,2.226655483,0.4065728054,4.002933502,0.01746928107,0.01408418454,0.3800277475,8.494464874
oracle,afmv2_5afeb1412332,6023,6023,2,3,0.318264991,-0.9398314953,0.9786168337,-0.01529644396,-1.403883898e-09,0.3182649826,8.395533562,0.3182649826,8.395533562,0.2444919771,5.425800323,1.918448329,91.99694061,-0.7664028084,-32.26952362,-0.5526207417,-13.54069614,-0.02047501784,0.7217635512,0.557151702,11.45559216,0.7840165973,18.36430168,1.550419406,50.63382721,0.1228721395,-1.911790848,3.269234869,12.55118656,0.1322265779,0.8047260642,0.0936556859,0.8266538382,0.9942047464,0.9918454885,0.3042314038,0.2168002129,8.65959696,14.45901775,5.346488191,10.37177849,2.677821345,6.207304955,-2.840419101,-3.835169792,5,15,0.25,0.25,166,27,24.6746988,606.8148193,-0.9398314953,-68.23431396,0.9786168337,23.76262856,0.1085287798,0.565227747,0.3216508218,2.226655483,0.4385225158,4.002933502,0.03493856215,0.01408418454,0.391306692,8.494464874
oracle,afmv2_d1e97556fd64,6023,6023,1,0,0.3111147583,-0.9585570097,0.8422423601,-0.03796028136,-5.012406046e-10,0.3111147692,10.45164013,0.3111147692,10.45164013,0.2429437363,7.071166039,1.80079937,98.22847748,-0.7917637008,-41.81759644,-0.5858158588,-19.8424778,-0.02471066825,2.619940758,0.478684485,11.25270081,0.6708145899,13.47327614,1.462578291,55.29087448,-0.1175920985,-2.428276539,2.992507468,11.99043083,0.1354056552,0.828549087,0.0929760014,1.07611835,0.9973989637,0.9833150506,0.1981688682,0.4695303738,8.607479523,15.16270065,5.366455652,11.16567898,2.654177608,6.425637722,-2.781018593,-3.978624105,4,16,0.25,0.25,167,35,24.52694611,468.1142883,-0.9585570097,-81.84799957,0.8422423601,16.38047981,0.1149505987,0.4124983847,0.3121815751,2.601922989,0.4427256585,4.843432903,0.05633673868,0.01235264726,0.3509533687,8.791801453
oracle,afmv2_d1e97556fd64,6023,6023,1,1,0.3241132796,-0.9194979668,0.9358164072,-0.06079084214,-5.012406046e-10,0.3241132833,10.45164013,0.3241132833,10.45164013,0.2554535926,7.071166039,1.855314374,98.22847748,-0.801424489,-41.81759644,-0.6424352288,-19.8424778,-0.04337163828,2.619940758,0.4727757201,11.25270081,0.7038459873,13.47327614,1.505270476,55.29087448,-0.08025212238,-2.428276539,2.904229749,11.99043083,0.1345576673,0.828549087,0.08916552291,1.07611835,0.9966422738,0.9833150506,0.2455655062,0.4695303738,8.659764458,15.16270065,5.228829031,11.16567898,2.488785174,6.425637722,-2.935621583,-3.978624105,5,16,0.25,0.25,168,35,24.38095238,468.1142883,-0.9194979668,-81.84799957,0.9358164072,16.38047981,0.1154757426,0.4124983847,0.3087494678,2.601922989,0.411174252,4.843432903,0.0322117627,0.01235264726,0.340872765,8.791801453
oracle,afmv2_d1e97556fd64,6023,6023,1,2,0.3103385866,-0.9895679951,0.9323070049,-0.03803784321,-5.012406046e-10,0.3103385894,10.45164013,0.3103385894,10.45164013,0.243870318,7.071166039,1.921875,98.22847748,-0.8315401947,-41.81759644,-0.5954935044,-19.8424778,-0.0145596331,2.619940758,0.4467254907,11.25270081,0.6310190773,13.47327614,1.462559272,55.29087448,-0.2906250195,-2.428276539,3.048091079,11.99043083,0.1278888121,0.828549087,0.08403032212,1.07611835,0.9981228466,0.9833150506,0.1553439774,0.4695303738,8.548167039,15.16270065,5.292987526,11.16567898,2.342152675,6.425637722,-2.957387257,-3.978624105,5,16,0.25,0.25,158,35,25.92405063,468.1142883,-0.9895679951,-81.84799957,0.9323070049,16.38047981,0.1105268025,0.4124983847,0.2909741195,2.601922989,0.3856970533,4.843432903,0.0322117627,0.01235264726,0.3399828329,8.791801453
oracle,afmv2_d1e97556fd64,6023,6023,1,3,0.3179984689,-0.9818430543,0.8779298067,-0.03815139077,-5.012406046e-10,0.317998479,10.45164013,0.317998479,10.45164013,0.246677164,7.071166039,1.859772861,98.22847748,-0.8762746942,-41.81759644,-0.621302557,-19.8424778,-0.01946676243,2.619940758,0.4693269685,11.25270081,0.6537880915,13.47327614,1.530062786,55.29087448,-0.3041535315,-2.428276539,3.19248031,11.99043083,0.1287393864,0.828549087,0.0870735194,1.07611835,0.9986936906,0.9833150506,0.1179004401,0.4695303738,8.583251988,15.16270065,5.310563502,11.16567898,2.47579313,6.425637722,-2.930517899,-3.978624105,5,16,0.25,0.25,181,35,22.62983425,468.1142883,-0.9818430543,-81.84799957,0.8779298067,16.38047981,0.1101853581,0.4124983847,0.2970200227,2.601922989,0.4070459491,4.843432903,0.02816836934,0.01235264726,0.3488827707,8.791801453
random_train_condition,afmv2_dd63941a3127,6022,6022,5,0,0.3216203749,-0.9456751943,0.9279973507,-0.02173711087,-1.662331661e-10,0.3216203834,1.35970819,0.3216203834,1.35970819,0.2503176302,0.9400447011,1.873672545,18.9752636,-0.807262705,-4.268743038,-0.6152035654,-2.265856266,-0.002190194326,0.04228600487,0.4931683123,1.996894479,0.7196402001,3.242275953,1.526902905,7.51101923,-0.1965334362,-1.210529327,3.053158188,10.08185768,0.1308209702,0.2568888664,0.08775386354,0.2894545496,0.9970264426,0.9970954061,0.1829244972,0.1650240123,8.659315116,12.00867462,5.213244673,7.708312511,2.542686842,5.410889149,-2.931160283,-3.058968782,5,8,0.25,0.25,159,144,25.76100629,113.7777786,-0.9456751943,-14.49879551,0.9279973507,4.476467609,0.1113527616,0.1593751907,0.3047846323,0.8543720841,0.4046849858,1.460620284,0.0078125,0.02103579976,0.3729330152,1.53204155
random_train_condition,afmv2_dd63941a3127,6022,6022,5,1,0.3151579797,-0.9758660793,0.9470147491,-0.02314292809,-1.662331661e-10,0.3151579733,1.35970819,0.3151579733,1.35970819,0.2433032304,0.9400447011,1.922880828,18.9752636,-0.8380516309,-4.268743038,-0.5900033355,-2.265856266,-0.01127136778,0.04228600487,0.4922493383,1.996894479,0.6945087713,3.242275953,1.532560402,7.51101923,-0.1944364034,-1.210529327,3.23686675,10.08185768,0.1324420434,0.2568888664,0.08945289456,0.2894545496,0.9981891054,0.9970954061,0.1916166384,0.1650240123,8.618326885,12.00867462,5.363874303,7.708312511,2.663583694,5.410889149,-2.834398121,-3.058968782,5,8,0.25,0.25,161,144,25.44099379,113.7777786,-0.9758660793,-14.49879551,0.9470147491,4.476467609,0.1131597953,0.1593751907,0.3071897898,0.8543720841,0.4261551445,1.460620284,0.0078125,0.02103579976,0.3666435381,1.53204155
