row_id,sample_id,group_id,split,network_input_path,descriptor_height_path,scan_size_um,height_shape,network_min,network_max,network_mean,network_std,physical_min,physical_max,physical_mean,physical_std,looks_per_image_normalized,network_ra,physical_ra,stored_ra,v3_table_ra,network_island_count,physical_island_count,stored_island_count,v3_table_island_count,network_rq,physical_rq,stored_rq,v3_table_rq,network_autocorrelation_length_px,physical_autocorrelation_length_px,stored_autocorrelation_length_px,v3_table_autocorrelation_length_px,network_psd_slope,physical_psd_slope,stored_psd_slope,v3_table_psd_slope,network_robust_range,physical_robust_range,stored_robust_range,v3_table_robust_range,network_height_std,physical_height_std,stored_height_std,scale_rq,scale_ra,scale_std,scale_range
afmv2_9149961336da,6022,6022,train,reports/afm_prior_v2/20260703_052537/data/standardized_tensors/afmv2_9149961336da.npy,data/plane_corrected_afm/6022/N6022_Ctr_000/N6022_Ctr_000_plane_corrected.npy,1,256x256,-1.0,1.0,0.14676415920257568,0.4283318817615509,-7.7411274909973145,5.965369701385498,5.229594535194337e-10,1.6493401527404785,True,0.3424822315975077,1.3028451054008126,1.30284512,1.30284512,40.0,87.0,87,87,0.4283318549512235,1.6493402250999558,1.649340272,1.649340272,7.0,14.0,14,14,-3.4039634259330414,-3.3200376960671534,-3.320037603,-3.320037603,1.9992900788784027,7.523479294776919,7.523479462,7.523479462,0.4283318549512235,1.6493402250999558,1.649340272,3.850613037612566,3.804124667500834,3.850613037612566,3.763075390739484
afmv2_2b94d08b24c9,6022,6022,train,reports/afm_prior_v2/20260703_052537/data/standardized_tensors/afmv2_2b94d08b24c9.npy,data/plane_corrected_afm/6022/N6022_Ctr_002/N6022_Ctr_002_plane_corrected.npy,1,256x256,-1.0,1.0,0.18895164132118225,0.4293549656867981,-13.041810035705566,5.21513557434082,-8.549250196665525e-11,1.8781846761703491,True,0.3368244664768543,1.4378799786221408,1.43787992,1.43787992,35.0,94.0,94,94,0.4293549679006452,1.8781846333850427,1.878184676,1.878184676,6.0,12.0,12,12,-3.4233625881924765,-3.3633626065546207,-3.363362551,-3.363362551,1.9999235165119171,8.429626977443696,8.429627419,8.429627419,0.4293549679006452,1.8781846333850427,1.878184676,4.374433216805502,4.268929729666619,4.374433216805502,4.214974676704576
afmv2_dd63941a3127,6022,6022,train,reports/afm_prior_v2/20260703_052537/data/standardized_tensors/afmv2_dd63941a3127.npy,data/plane_corrected_afm/6022/N6022_Ctr_004/N6022_Ctr_004_plane_corrected.npy,1,256x256,-1.0,1.0,0.13811425864696503,0.33499547839164734,-14.498795509338379,4.476467609405518,-4.720277502201498e-10,1.3597081899642944,True,0.24278599248702923,0.940044719490655,0.9400447011,0.9400447011,65.0,144.0,144,144,0.33499548931718054,1.359708217675219,1.35970819,1.35970819,4.0,8.0,8,8,-3.06240556397189,-3.0589687137259087,-3.058968782,-3.058968782,1.9998377323150636,7.511019217967988,7.51101923,7.51101923,0.33499548931718054,1.359708217675219,1.35970819,4.058885152294751,3.871906735067826,4.058885152294751,3.7558143326323976
afmv2_5afeb1412332,6023,6023,test,reports/afm_prior_v2/20260703_052537/data/standardized_tensors/afmv2_5afeb1412332.npy,data/plane_corrected_afm/6023/N6023_Ctr_000/N6023_Ctr_000_plane_corrected.npy,1,256x256,-1.0,1.0,0.2757366895675659,0.3106876611709595,-68.23431396484375,23.76262855529785,-2.5011104298755527e-09,8.395533561706543,True,0.21069330697843364,5.425800327221883,5.425800323,5.425800323,22.0,27.0,27,27,0.3106876799109947,8.395533619081892,8.395533562,8.395533562,8.0,15.0,15,15,-3.8645631584586626,-3.835169816077564,-3.835169792,-3.835169792,1.9998008263111116,50.63382740020752,50.63382721,50.63382721,0.3106876799109947,8.395533619081892,8.395533562,27.022422071860174,25.75212475912803,27.022422071860174,25.31943518275672
afmv2_d1e97556fd64,6023,6023,test,reports/afm_prior_v2/20260703_052537/data/standardized_tensors/afmv2_d1e97556fd64.npy,data/plane_corrected_afm/6023/N6023_Ctr_002/N6023_Ctr_002_plane_corrected.npy,1,256x256,-1.0,1.0,0.5163297057151794,0.3555475175380707,-81.8479995727539,16.38047981262207,0.0,10.451640129089355,True,0.2498696250658501,7.071166032213235,7.071166039,7.071166039,13.0,35.0,35,35,0.3555475324749641,10.451640273757455,10.45164013,10.45164013,8.0,16.0,16,16,-3.9085111924363742,-3.978624008874294,-3.978624105,-3.978624105,1.9998688006401062,55.29087405204773,55.29087448,55.29087448,0.3555475324749641,10.451640273757455,10.45164013,29.395901585938887,28.299422270112725,29.395901585938887,27.647250676819674
afmv2_452bfe1ab79e,6023,6023,test,reports/afm_prior_v2/20260703_052537/data/standardized_tensors/afmv2_452bfe1ab79e.npy,data/plane_corrected_afm/6023/N6023_Ctr_004/N6023_Ctr_004_plane_corrected.npy,1,256x256,-1.0,1.0,0.398813933134079,0.34884554147720337,-88.19171905517578,19.821304321289062,-2.9802322387695312e-08,10.289803504943848,True,0.25775595785579686,7.278920405948204,7.278920174,7.278920174,7.0,17.0,17,17,0.3488455223235117,10.289804272765036,10.28980446,10.28980446,10.0,19.0,19,19,-3.9418561615071086,-3.852440567447353,-3.852440596,-3.852440596,1.9999218344688416,55.207726383209234,55.20772552,55.20772552,0.3488455223235117,10.289804272765036,10.28980446,29.49673598855168,28.239581604629446,29.49673598855168,27.60494206908433
afmv2_71f6caf06442,6028,6028,test,reports/afm_prior_v2/20260703_052537/data/standardized_tensors/afmv2_71f6caf06442.npy,data/plane_corrected_afm/6028/N6028_1um_003/N6028_1um_003_plane_corrected.npy,1,256x256,-1.0,1.0,0.12915530800819397,0.39567050337791443,-21.537567138671875,22.715190887451172,0.0,6.20236873626709,True,0.313602833216968,4.8424860139215475,4.842485905,4.842485905,33.0,37.0,37,37,0.39567048602537164,6.202368820084588,6.202368736,6.202368736,5.0,10.0,10,10,-3.703539209533129,-3.9661006288208,-3.966100693,-3.966100693,1.9997076708078385,30.554219627380384,30.5542202,30.5542202,0.39567048602537164,6.202368820084588,6.202368736,15.675591278968612,15.441461303926562,15.675591278968612,15.27934311270464
afmv2_591e6b53adec,6028,6028,test,reports/afm_prior_v2/20260703_052537/data/standardized_tensors/afmv2_591e6b53adec.npy,data/plane_corrected_afm/6028/N6028_1um_004/N6028_1um_004_plane_corrected.npy,1,256x256,-1.0,1.0,0.1495281606912613,0.38244760036468506,-21.352642059326172,19.22037124633789,7.450580596923828e-08,6.072564601898193,True,0.2994436121518856,4.713696693216926,4.71369648,4.71369648,32.0,40.0,40,40,0.3824475819970616,6.07256439830802,6.072564602,6.072564602,5.0,10.0,10,10,-3.687047419164368,-3.7109998895174643,-3.710999966,-3.710999966,1.999881119132042,31.708082103729254,31.7080822,31.7080822,0.3824475819970616,6.07256439830802,6.072564602,15.878161306703403,15.741516939843809,15.878161306703403,15.854983478963346
afmv2_2ebd99306a7c,6028,6028,test,reports/afm_prior_v2/20260703_052537/data/standardized_tensors/afmv2_2ebd99306a7c.npy,data/plane_corrected_afm/6028/N6028_500_nm_006/N6028_500_nm_006_plane_corrected.npy,1,256x256,-1.0,1.0,0.027131646871566772,0.40294820070266724,-10.629459381103516,8.472681999206543,-1.0659277904778719e-09,2.3199470043182373,True,0.3186404953992666,1.8109801925270599,1.810980201,1.810980201,79.0,99.0,99,99,0.402948208590698,2.3199469322462285,2.319947004,2.319947004,4.0,8.0,8,8,-3.335853279688346,-3.62530538085702,-3.625305414,-3.625305414,1.9999548321962357,11.301896834373478,11.30189705,11.30189705,0.402948208590698,2.3199469322462285,2.319947004,5.757432054010586,5.683459003720932,5.757432054010586,5.651076040533567
afmv2_1b8fbc315bb7,6029,6029,train,reports/afm_prior_v2/20260703_052537/data/standardized_tensors/afmv2_1b8fbc315bb7.npy,data/plane_corrected_afm/6029/N6029_1um_007/N6029_1um_007_plane_corrected.npy,1,256x256,-1.0,1.0,0.1487637162208557,0.41296470165252686,-12.335729598999023,6.4615607261657715,-3.901732270605862e-10,2.2897632122039795,True,0.32851973711155685,1.800530020769235,1.800530076,1.800530076,76.0,94.0,94,94,0.4129647099316524,2.2897632588953627,2.289763212,2.289763212,5.0,8.0,8,8,-3.3476299440627355,-3.68972876443602,-3.689728737,-3.689728737,1.9998667722940446,10.906908726692201,10.90690899,10.90690899,0.4129647099316524,2.2897632588953627,2.289763212,5.544694749520677,5.480736215729472,5.544694749520677,5.453817663154081
