row_id,sample_id,group_id,split,network_input_path,source_network_input_path,descriptor_height_path,source_path,source_kind,scan_size_um,sample_id_rule,group_id_rule,height_shape
afm_00001_00571d45e8,6022,6022,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00001_00571d45e8.npy,,data/plane_corrected_afm/6022/N6022_Ctr_004/N6022_Ctr_004_plane_corrected.npy,data/plane_corrected_afm/6022/N6022_Ctr_004/N6022_Ctr_004_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,256x256
afm_00002_313e18b304,6023,6023,test,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00002_313e18b304.npy,,data/plane_corrected_afm/6023/N6023_Ctr_004/N6023_Ctr_004_plane_corrected.npy,data/plane_corrected_afm/6023/N6023_Ctr_004/N6023_Ctr_004_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,256x256
afm_00003_b76327ec18,6028,6028,test,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00003_b76327ec18.npy,,data/plane_corrected_afm/6028/N6028_500_nm_006/N6028_500_nm_006_plane_corrected.npy,data/plane_corrected_afm/6028/N6028_500_nm_006/N6028_500_nm_006_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,256x256
afm_00004_f989167d9f,6029,6029,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00004_f989167d9f.npy,,data/plane_corrected_afm/6029/N6029_500_nm_010/N6029_500_nm_010_plane_corrected.npy,data/plane_corrected_afm/6029/N6029_500_nm_010/N6029_500_nm_010_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,256x256
afm_00005_2c304fd671,6033,6033,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00005_2c304fd671.npy,,data/plane_corrected_afm/6033/N6033_1um_018/N6033_1um_018_plane_corrected.npy,data/plane_corrected_afm/6033/N6033_1um_018/N6033_1um_018_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,256x256
afm_00006_4b0fb6ea95,6041,6041,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00006_4b0fb6ea95.npy,,data/plane_corrected_afm/6041/N6041_1um_000/N6041_1um_000_plane_corrected.npy,data/plane_corrected_afm/6041/N6041_1um_000/N6041_1um_000_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,512x512
afm_00007_9e449ffc89,6043,6043,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00007_9e449ffc89.npy,,data/plane_corrected_afm/6043/N6043_1um_cs/N6043_1um_cs_plane_corrected.npy,data/plane_corrected_afm/6043/N6043_1um_cs/N6043_1um_cs_plane_corrected.npy,physical_height,1.016,column:sample_id,column:group_id,104x104
afm_00008_1d28ad0abe,6047,6047,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00008_1d28ad0abe.npy,,data/plane_corrected_afm/6047/N6047_1um_013/N6047_1um_013_plane_corrected.npy,data/plane_corrected_afm/6047/N6047_1um_013/N6047_1um_013_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,256x256
afm_00009_e897664da5,6048,6048,test,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00009_e897664da5.npy,,data/plane_corrected_afm/6048/N6048_1um_027/N6048_1um_027_plane_corrected.npy,data/plane_corrected_afm/6048/N6048_1um_027/N6048_1um_027_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,256x256
afm_00010_758feda8e0,6056,6056,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00010_758feda8e0.npy,,data/plane_corrected_afm/6056/N56_Edg_001/N56_Edg_001_plane_corrected.npy,data/plane_corrected_afm/6056/N56_Edg_001/N56_Edg_001_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,512x512
afm_00011_782d9af833,6057,6057,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00011_782d9af833.npy,,data/plane_corrected_afm/6057/GdSb_N6057_edge_019/GdSb_N6057_edge_019_plane_corrected.npy,data/plane_corrected_afm/6057/GdSb_N6057_edge_019/GdSb_N6057_edge_019_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,256x256
afm_00012_ea2686bd44,6058,6058,val,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00012_ea2686bd44.npy,,data/plane_corrected_afm/6058/N58_edg_001/N58_edg_001_plane_corrected.npy,data/plane_corrected_afm/6058/N58_edg_001/N58_edg_001_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,512x512
afm_00013_d70a92b9a0,6062,6062,val,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00013_d70a92b9a0.npy,,data/plane_corrected_afm/6062/N62_Edg_001/N62_Edg_001_plane_corrected.npy,data/plane_corrected_afm/6062/N62_Edg_001/N62_Edg_001_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,512x512
afm_00014_d331d48bc9,6063,6063,test,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00014_d331d48bc9.npy,,data/plane_corrected_afm/6063/N63_Ctr_004/N63_Ctr_004_plane_corrected.npy,data/plane_corrected_afm/6063/N63_Ctr_004/N63_Ctr_004_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,512x512
