row_id,sample_id,generated_index,generated_std,generated_min,generated_max,generated_rq,condition_rq,generated_ra,condition_ra,generated_psd_low_power,condition_psd_low_power,generated_psd_mid_power,condition_psd_mid_power,generated_psd_high_power,condition_psd_high_power
afm_00003_b76327ec18,6028,0,0.1451412588,0.03928364441,0.749866724,0.1451412578,2.319946932,0.122705472,1.810980193,5.593861101,13.11231593,1.937382538,8.009672616,0.2434027349,5.430478005
afm_00003_b76327ec18,6028,1,0.1461353898,0.03906063363,0.7968885303,0.1461353847,2.319946932,0.1234169564,1.810980193,5.38489036,13.11231593,1.824769959,8.009672616,0.2288788707,5.430478005
afm_00003_b76327ec18,6028,2,0.1410247535,0.03184423968,0.7655445933,0.1410247595,2.319946932,0.1167433898,1.810980193,5.654431372,13.11231593,2.004693834,8.009672616,0.2703992003,5.430478005
afm_00003_b76327ec18,6028,3,0.1423788667,0.03892320022,0.7492471933,0.1423788711,2.319946932,0.1194421398,1.810980193,5.586482333,13.11231593,1.941079227,8.009672616,0.2555266498,5.430478005
afm_00012_ea2686bd44,6058,0,0.1505719274,0.04030874744,0.7372704744,0.1505719299,7.461155751,0.1301258372,5.683751837,5.570326008,15.35902125,1.955787683,11.07345798,0.2556889581,6.144528384
afm_00012_ea2686bd44,6058,1,0.1505773365,0.03033029288,0.786029458,0.1505773448,7.461155751,0.1248383268,5.683751837,5.520624608,15.35902125,1.903163917,11.07345798,0.2468646718,6.144528384
afm_00012_ea2686bd44,6058,2,0.139767319,0.04512785375,0.731733501,0.1397673215,7.461155751,0.1193544398,5.683751837,5.667514626,15.35902125,2.082689735,11.07345798,0.2636313903,6.144528384
afm_00012_ea2686bd44,6058,3,0.1511298865,0.03584856167,0.7509870529,0.1511298904,7.461155751,0.1285310279,5.683751837,5.474212206,15.35902125,1.910553398,11.07345798,0.2369469055,6.144528384
afm_00015_b1b264d3a1,6065,0,0.1394487768,0.0259503182,0.7393581867,0.1394487695,5.606737367,0.1149548612,4.452380947,5.557238081,14.93620973,1.985882965,10.05113262,0.2417293061,6.227412073
afm_00015_b1b264d3a1,6065,1,0.1436223835,0.04625684395,0.7553629875,0.1436223938,5.606737367,0.121705961,4.452380947,5.678753398,14.93620973,1.982943742,10.05113262,0.2582800776,6.227412073
afm_00015_b1b264d3a1,6065,2,0.1397250593,0.0501043424,0.7848727107,0.1397250644,5.606737367,0.1181570775,4.452380947,5.662537729,14.93620973,2.031825273,10.05113262,0.2725584108,6.227412073
afm_00015_b1b264d3a1,6065,3,0.1497507095,0.04443054274,0.7566722631,0.1497507074,5.606737367,0.1268575308,4.452380947,5.626458812,14.93620973,1.990820747,10.05113262,0.2778678664,6.227412073
afm_00022_ccd7c49224,6078,0,0.1502166241,0.03350419551,0.7928151488,0.1502166193,2.606983134,0.1264150937,1.965578393,5.527945011,13.58019132,1.923985105,9.362760633,0.2560860987,5.886808167
afm_00022_ccd7c49224,6078,1,0.1529644877,0.03914123029,0.7657233477,0.1529644829,2.606983134,0.1301305006,1.965578393,5.546238733,13.58019132,1.93811389,9.362760633,0.2357980045,5.886808167
afm_00022_ccd7c49224,6078,2,0.145970732,0.006821597461,0.7587636709,0.1459707306,2.606983134,0.1207080419,1.965578393,5.575743203,13.58019132,1.882049033,9.362760633,0.2471275079,5.886808167
afm_00022_ccd7c49224,6078,3,0.1497693509,0.03572849929,0.7949892879,0.1497693488,2.606983134,0.1274535267,1.965578393,5.491065915,13.58019132,1.922487468,9.362760633,0.244475378,5.886808167
