row_id,sample_id,generated_index,generated_std,generated_min,generated_max,generated_rq,condition_rq,generated_ra,condition_ra,generated_psd_low_power,condition_psd_low_power,generated_psd_mid_power,condition_psd_mid_power,generated_psd_high_power,condition_psd_high_power
afm_00012_ea2686bd44,6058,0,0.1747084707,-0.6989434958,0.5885008574,0.1747084732,7.461155751,0.1320668178,5.683751837,6.25194679,15.35902125,2.423474774,11.07345798,0.40909206,6.144528384
afm_00012_ea2686bd44,6058,1,0.1807085872,-0.6256893873,0.5830577612,0.1807085808,7.461155751,0.1399602589,5.683751837,6.205798036,15.35902125,2.358159855,11.07345798,0.4110450531,6.144528384
afm_00012_ea2686bd44,6058,2,0.1991164386,-0.7821528912,0.5599817038,0.1991164348,7.461155751,0.1523107979,5.683751837,6.084530692,15.35902125,2.330821061,11.07345798,0.4136847852,6.144528384
afm_00012_ea2686bd44,6058,3,0.2048906088,-0.8251553774,0.5066788793,0.2048906064,7.461155751,0.1552743157,5.683751837,6.352817062,15.35902125,2.515449601,11.07345798,0.4798665301,6.144528384
afm_00013_d70a92b9a0,6062,0,0.2029952705,-0.7059258223,0.657510519,0.2029952708,2.571070219,0.1572899712,1.920552583,6.016273407,13.79552217,2.230061611,9.039554169,0.3994302582,5.844088528
afm_00013_d70a92b9a0,6062,1,0.2150094509,-0.8122258186,0.4486758709,0.2150094535,2.571070219,0.161667162,1.920552583,6.200194645,13.79552217,2.390545764,9.039554169,0.4389804844,5.844088528
afm_00013_d70a92b9a0,6062,2,0.1785893589,-0.6854486465,0.5706487894,0.1785893542,2.571070219,0.1386314462,1.920552583,6.222969379,13.79552217,2.369470961,9.039554169,0.4032171905,5.844088528
afm_00013_d70a92b9a0,6062,3,0.2313269079,-0.8271333575,0.389244318,0.2313269155,2.571070219,0.188448799,1.920552583,6.272708065,13.79552217,2.26681313,9.039554169,0.413845158,5.844088528
afm_00018_296832d830,6068,0,0.220297724,-0.8973898292,0.4707790911,0.2202977199,10.20500678,0.1634120421,8.869547062,6.272139352,15.57760016,2.335341035,10.99765747,0.433892843,7.585945363
afm_00018_296832d830,6068,1,0.206831798,-0.8966359496,0.5080891252,0.2068318047,10.20500678,0.1580315954,8.869547062,6.125117199,15.57760016,2.281470506,10.99765747,0.395631974,7.585945363
afm_00018_296832d830,6068,2,0.1868631542,-0.8029340506,0.5140050054,0.1868631562,10.20500678,0.1315451195,8.869547062,6.212907739,15.57760016,2.406833585,10.99765747,0.4348302193,7.585945363
afm_00018_296832d830,6068,3,0.2153754681,-0.6817601919,0.4508730769,0.2153754595,10.20500678,0.1721052808,8.869547062,6.117992935,15.57760016,2.275795216,10.99765747,0.4034810816,7.585945363
afm_00022_ccd7c49224,6078,0,0.2272385359,-0.8782979846,0.5230545402,0.2272385353,2.606983134,0.1744546568,1.965578393,6.261272517,13.58019132,2.315360279,9.362760633,0.4270132897,5.886808167
afm_00022_ccd7c49224,6078,1,0.2106272429,-0.7996066809,0.4767589867,0.2106272434,2.606983134,0.1547921453,1.965578393,6.087061942,13.58019132,2.21790103,9.362760633,0.3879219688,5.886808167
afm_00022_ccd7c49224,6078,2,0.2257178277,-0.7867746949,0.4819149971,0.22571783,2.606983134,0.1845948148,1.965578393,6.294518346,13.58019132,2.382845957,9.362760633,0.3960001626,5.886808167
afm_00022_ccd7c49224,6078,3,0.2148934156,-0.7710440159,0.51695472,0.2148934134,2.606983134,0.1656641661,1.965578393,6.23089319,13.58019132,2.286235578,9.362760633,0.4180355772,5.886808167
