row_id,sample_id,group_id,split,network_input_path,descriptor_height_path,prototype_id,height_mean,cond_height_mean,height_std,cond_height_std,rq,cond_rq,ra,cond_ra,peak_to_valley,cond_peak_to_valley,p01,cond_p01,p05,cond_p05,p50,cond_p50,p95,cond_p95,p99,cond_p99,robust_range,cond_robust_range,skewness,cond_skewness,kurtosis,cond_kurtosis,mean_abs_gradient,cond_mean_abs_gradient,gradient_std,cond_gradient_std,gradient_orientation_entropy,cond_gradient_orientation_entropy,gradient_anisotropy,cond_gradient_anisotropy,psd_low_power,cond_psd_low_power,psd_mid_power,cond_psd_mid_power,psd_high_power,cond_psd_high_power,psd_slope,cond_psd_slope,autocorrelation_length_px,cond_autocorrelation_length_px,island_coverage,cond_island_coverage,island_count,cond_island_count,island_mean_area_px,cond_island_mean_area_px
afm_00001_00571d45e8,6022,6022,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00001_00571d45e8.npy,data/plane_corrected_afm/6022/N6022_Ctr_004/N6022_Ctr_004_plane_corrected.npy,2,-1.662331661e-10,-1.464282046e-10,1.359708218,-0.951572867,1.359708218,-0.951572867,0.9400447195,-1.000699634,18.97526312,-0.5702475304,-4.268743157,0.8795892158,-2.265856147,0.9191090067,0.04228600487,-0.2562465939,1.996894449,-1.009088335,3.242276061,-0.8382878742,7.511019218,-0.8923082978,-1.210529342,-2.200736961,10.08185735,4.411747286,0.2568888632,-0.7492623892,0.289454561,-0.617391256,0.997095407,0.687223921,0.1650240181,-0.1724861418,12.00867504,-1.208131792,7.708312715,-1.051291462,5.410889073,-0.5443999514,-3.058968714,1.161883795,8,-0.5497440322,0.25,0.1993377107,144,-0.02806984282,113.7777778,-0.4182281181
afm_00004_f989167d9f,6029,6029,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00004_f989167d9f.npy,data/plane_corrected_afm/6029/N6029_500_nm_010/N6029_500_nm_010_plane_corrected.npy,1,-6.166578359e-11,-4.18608221e-11,2.965615884,-0.3571896839,2.965615884,-0.3571896839,2.336985371,-0.3548038616,20.98334217,-0.4299464009,-6.791986299,0.4088403124,-4.922605991,0.3605324696,0.04803492315,-0.2476366295,4.459757924,-0.4176490496,8.014020252,-0.1733432021,14.80600655,-0.2856749518,0.05490388246,0.4829712367,3.225960629,-0.3293007421,0.5496961146,-0.2570181687,0.4844783459,-0.1850101894,0.9936722092,0.3509988484,0.07693579061,-0.8488494893,13.39273312,-0.04609618944,8.298558569,-0.5051755777,5.543723505,-0.4268346064,-3.791014803,-0.5127992908,10,-0.4050745573,0.25,0.1993377107,56,-0.4821406259,292.5714286,-0.186627598
afm_00005_2c304fd671,6033,6033,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00005_2c304fd671.npy,data/plane_corrected_afm/6033/N6033_1um_018/N6033_1um_018_plane_corrected.npy,1,-2.13537299e-10,-1.937323375e-10,2.549088625,-0.5113559559,2.549088625,-0.5113559559,2.036069658,-0.4939366061,16.90186167,-0.7151126269,-5.902049303,0.5748714245,-4.069279552,0.5399427097,-0.09698341414,-0.4648257859,4.428282022,-0.4252077654,5.972692585,-0.4578031191,11.87474189,-0.5294317684,0.07787297556,0.5316836794,2.893888784,-0.5589378895,0.4758792773,-0.3811131539,0.3963770871,-0.3803367044,0.9951490903,0.4960574994,0.1552295678,-0.2476903703,13.0993392,-0.2924255779,7.936114798,-0.8405210935,5.077964505,-0.8390554192,-3.859142874,-0.6686541336,11,-0.3327398199,0.25,0.1993377107,57,-0.4769807306,287.4385965,-0.1932764168
afm_00006_4b0fb6ea95,6041,6041,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00006_4b0fb6ea95.npy,data/plane_corrected_afm/6041/N6041_1um_000/N6041_1um_000_plane_corrected.npy,1,1.994105853e-10,2.192155468e-10,3.190454958,-0.2739715965,3.190454958,-0.2739715965,2.55259888,-0.2551118283,21.98829651,-0.3597319195,-7.499547086,0.2768342211,-5.390916038,0.2620711843,0.1046832204,-0.1627963527,5.32628839,-0.2095578725,6.922397528,-0.3254613135,14.42194461,-0.3176126056,-0.1271190216,0.09694031048,2.833564341,-0.6006539615,0.2945548738,-0.6859412934,0.203918957,-0.8070295389,0.9988418829,0.8587620618,0.1019294549,-0.6569419106,13.48286079,0.02957372846,9.32662082,0.446023183,6.577238614,0.4878797378,-3.443988055,0.2810849112,20,0.3182728172,0.25,0.1993377107,104,-0.2344656533,630.1538462,0.2506600974
afm_00007_9e449ffc89,6043,6043,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00007_9e449ffc89.npy,data/plane_corrected_afm/6043/N6043_1um_cs/N6043_1um_cs_plane_corrected.npy,0,-2.816466954e-10,-2.618417339e-10,5.958147964,0.7504149319,5.958147964,0.7504149319,4.760742933,0.7658556025,41.43667221,0.9990936099,-14.64535666,-1.056323874,-10.7574861,-0.8662398338,0.5003019273,0.4297086697,8.724581003,0.6065181201,12.39077268,0.4365591924,27.03612933,0.7313522159,-0.3751314707,-0.4290400651,3.004047181,-0.4827602176,2.560856141,3.12398382,1.50289326,2.072885313,0.9939106167,0.3744151345,0.2514288736,0.4909518563,13.80622233,0.3010635072,9.32111458,0.4409286192,6.313216348,0.2542063722,-3.301445374,0.6071761511,4,-0.839082982,0.25,0.1993377107,63,-0.4460213591,42.92063492,-0.5100129834
afm_00008_1d28ad0abe,6047,6047,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00008_1d28ad0abe.npy,data/plane_corrected_afm/6047/N6047_1um_013/N6047_1um_013_plane_corrected.npy,1,-1.593703225e-10,-1.39565361e-10,2.003665446,-0.7132295581,2.003665446,-0.7132295581,1.57302551,-0.7080317841,14.84079647,-0.8591158103,-4.974616647,0.7478979151,-3.279775083,0.7059345035,-0.009732018225,-0.3341522626,3.345926166,-0.6851278871,4.492361283,-0.6640879434,9.46697793,-0.7296555441,-0.1023761115,0.1494146326,3.163373449,-0.3725815612,0.4598123673,-0.4081235628,0.385124463,-0.4052845415,0.9964620421,0.6250150824,0.1954872579,0.06141819971,12.89630958,-0.4628863773,7.811069203,-0.956217604,5.139405607,-0.784676865,-3.576914228,-0.02300688975,8,-0.5497440322,0.25,0.1993377107,96,-0.2757448154,170.6666667,-0.3445370435
afm_00010_758feda8e0,6056,6056,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00010_758feda8e0.npy,data/plane_corrected_afm/6056/N56_Edg_001/N56_Edg_001_plane_corrected.npy,1,-1.239819358e-10,-1.041769743e-10,3.555016521,-0.1390390179,3.555016521,-0.1390390179,2.790400085,-0.145160992,31.05485058,0.2737330713,-8.057305813,0.1727759538,-5.517651343,0.2354253306,-0.1650984064,-0.5668393517,6.335570049,0.03281399642,9.022379103,-0.03282794846,17.07968492,-0.09660140655,0.2304415235,0.8552483329,3.299756424,-0.2782688461,0.3364630339,-0.6154886338,0.314923265,-0.5609253977,0.9899668912,-0.0129359536,0.2265653147,0.3000432593,14.03267527,0.491190195,9.255851068,0.3805445601,5.851295838,-0.1546171783,-3.932891056,-0.8373659605,30,1.041620192,0.25,0.1993377107,86,-0.327343768,762.0465116,0.4215073829
afm_00011_782d9af833,6057,6057,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00011_782d9af833.npy,data/plane_corrected_afm/6057/GdSb_N6057_edge_019/GdSb_N6057_edge_019_plane_corrected.npy,0,9.858336369e-11,1.183883252e-10,5.337333427,0.5206372625,5.337333427,0.5206372625,4.143625317,0.4805223218,38.94068336,0.8247030375,-13.48801832,-0.8404050254,-8.821171045,-0.4591333233,0.1080389582,-0.1577705754,9.112355947,0.6996395368,12.44990864,0.4447998147,25.93792696,0.6400283865,-0.05774660033,0.2440641034,3.45649402,-0.1698803302,0.8704611245,0.2822264077,0.8002930402,0.5151725829,0.9917927367,0.1663978365,0.3170059801,0.9944692108,14.34228218,0.7511317807,9.590906075,0.6905490439,7.161108517,1.004634811,-3.594267167,-0.06270476378,12,-0.2604050824,0.25,0.1993377107,60,-0.4615010448,273.0666667,-0.2118931093
afm_00016_2c24d35aaa,6066,6066,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00016_2c24d35aaa.npy,data/plane_corrected_afm/6066/N66_Edg_001/N66_Edg_001_plane_corrected.npy,0,1.458061449e-10,1.656111064e-10,5.014744251,0.4012396251,5.014744251,0.4012396251,3.921335537,0.3777434178,33.0625658,0.4140087806,-14.84929404,-1.094371455,-9.161294937,-0.5306437165,0.6906064749,0.714721482,7.032018971,0.2000612909,10.00906762,0.1046675346,24.85836166,0.5502543704,-0.678528984,-1.072480096,3.630463535,-0.04957545112,0.580398866,-0.2054031494,0.5249432501,-0.09529672982,0.997406798,0.7178086163,0.1218823178,-0.5037388604,14.70139329,1.052636393,10.0353455,1.101759775,6.469044166,0.3921220535,-3.881311381,-0.7193684592,14,-0.1157356075,0.25,0.1993377107,122,-0.1415875386,537.1803279,0.1302267649
afm_00017_eb55d4cc32,6067,6067,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00017_eb55d4cc32.npy,data/plane_corrected_afm/6067/N6059_1um_004/N6059_1um_004_plane_corrected.npy,2,1.645059089e-11,3.625555238e-11,1.300249401,-0.9735799361,1.300249401,-0.9735799361,1.017028216,-0.9651051974,12.90818644,-0.9941440454,-3.382934363,1.04485015,-2.191040921,0.9348387639,0.0557826627,-0.2360330969,2.06086458,-0.9937263595,2.827849715,-0.8960383696,6.210784078,-1.000432679,-0.3170944037,-0.3059560893,3.712045511,0.006840811003,0.2683807283,-0.7299431812,0.211225231,-0.7908310298,0.9759722092,-1.387487834,0.007778610649,-1.379855539,13.15717537,-0.243867147,9.257431765,0.3820070757,8.221828616,1.943426979,-2.649980441,2.09751579,12,-0.2604050824,0.25,0.1993377107,949,4.125645843,69.05795574,-0.4761559808
