growth_run_id,draw_count,retrieval_at_inference,measured_afm_patch_used_at_inference
6022,4,False,False
6028,4,False,False
6029,4,False,False
6033,4,False,False
6047,4,False,False
6048,4,False,False
6056,4,False,False
6057,4,False,False
6062,4,False,False
6063,4,False,False
6070,4,False,False
6072,4,False,False
6078,4,False,False
6080,4,False,False
6081,4,False,False
6082,4,False,False
6084,4,False,False
6085,4,False,False
6090,4,False,False
6094,4,False,False
6095,4,False,False
6099,4,False,False
6101,4,False,False
N6342,4,False,False
N6358,4,False,False
N6382,4,False,False
N6389,4,False,False
N6390,4,False,False
