aperture_edge_trim_applied,cycle_phase_residual_frames,estimated_period_frames,growth_run_id,human_keyframe_index,human_roi_coverage,human_roi_height,human_roi_width,human_roi_x,human_roi_y,machine_keyframe_index,machine_keyframe_quality,machine_model_input_visibility,machine_refined_from_frame_index,machine_roi_coverage_by_human,machine_roi_height,machine_roi_width,machine_roi_x,machine_roi_y,machine_selector_score,machine_to_human_area_ratio,machine_visibility_rank,raw_data_modified,roi_iou,sample_id,selection_source,selector_tracker,signed_keyframe_delta,source_mtime_ns,source_sha256,source_size_bytes,source_video,tracking_roi_height,tracking_roi_width,tracking_roi_x,tracking_roi_y,video_id,aperture_edge_removed_pixels,aperture_edge_trim_rule,untrimmed_machine_roi_height,untrimmed_machine_roi_width,untrimmed_machine_roi_x,untrimmed_machine_roi_y,protocol,frame_rotation_clockwise_degrees,orientation_correction_stage,keyframe_override_applied,rotated_reanalysis_keyframe_index,keyframe_override_source,temporal_selection_coordinate_system,model_visible_coordinate_system
False,,21.0,N6342,,,,,,,1668,0.778057249788273,0.8157894736842106,1669,,899,679,314,120,0.9186813922356092,,1.0,False,,N6342,automatic_v5_v8_frozen_transfer,front,,1783805054000000000,44d5fd8442380d2e8cbbc7481461c104b6645160518de557da841f760c659986,3331455488,data/compressedfile/N6342/Ramp down to 200C.avi,980,636,241,4,Ramp down to 200C,,,,,,,uncorrected,0,,,,,,
False,,27.0,N6358,,,,,,,893,0.7873082997996385,0.8280000000000001,895,,899,808,370,120,0.934375,,1.0,False,,N6358,automatic_v5_v8_frozen_transfer,front,,1784131476000000000,d619da57a111b1cfbdd226181550aa782b40646e6bd88b35fbb64e3c940a86c4,29775164,data/compressedfile/N6358/After rampdown to 200C.mpg,972,632,417,0,After rampdown to 200C,,,,,,,uncorrected,0,,,,,,
False,,19.5,N6382,,,,,,,319,0.8075173459082935,0.8710526315789474,326,,899,778,357,120,0.9057982120051086,,1.0,False,,N6382,automatic_v5_v8_frozen_transfer,compact,,1783805398000000000,8b160e37cd9622341f6cc92d83f9246246878cda262dd5561d4821533db5245a,1666504192,data/compressedfile/N6382/N6382 - Rampdown to 200C.avi,980,636,374,0,N6382 - Rampdown to 200C,,,,,,,uncorrected,0,,,,,,
False,,23.5,N6389,,,,,,,1238,0.8628878275281445,0.8521739130434783,1240,,690,795,305,490,0.943955938697318,,1.0,False,,N6389,automatic_v5_v8_frozen_transfer,front,,1783805510000000000,df4437c08ecd81966f5bb0cc56faa2715b0a5fa6106ef9e0c3c1146db0d857cc,2620059648,data/compressedfile/N6389/Rampdown to 300C.avi,985,641,267,331,Rampdown to 300C,140.0,portrait ROI y2>=90% frame; retain rows with >=97% temporal-median brightness above 0.05,830.0,795.0,305.0,490.0,uncorrected,0,,,,,,
False,,25.0,N6390,,,,,,,1048,0.7589317796961602,0.9652173913043478,1050,,678,795,305,503,0.9452168021680216,,1.0,False,,N6390,automatic_v5_v8_frozen_transfer,compact,,1783805546000000000,429ba621d446d3726f5a39225957838da3cceb103facf51039d206a6410ec849,1666504192,data/compressedfile/N6390/rampdon to 200c.avi,972,632,236,344,rampdon to 200c,139.0,portrait ROI y2>=90% frame; retain rows with >=97% temporal-median brightness above 0.05,817.0,795.0,305.0,503.0,uncorrected,0,,,,,,
False,,21.0,N6342,,,,,,,1668,0.778057249788273,0.8157894736842106,1669,,899,679,314,120,0.9186813922356092,,1.0,False,,N6342,automatic_v5_v8_frozen_transfer,front,,1783805054000000000,44d5fd8442380d2e8cbbc7481461c104b6645160518de557da841f760c659986,3331455488,data/compressedfile/N6342/Ramp down to 200C.avi,980,636,241,4,Ramp down to 200C,,,,,,,rotate_reselect,0,before_keyframe_roi_physics_and_embedding,,,,,
False,,27.0,N6358,,,,,,,893,0.7873082997996385,0.8280000000000001,895,,899,808,370,120,0.934375,,1.0,False,,N6358,automatic_v5_v8_frozen_transfer,front,,1784131476000000000,d619da57a111b1cfbdd226181550aa782b40646e6bd88b35fbb64e3c940a86c4,29775164,data/compressedfile/N6358/After rampdown to 200C.mpg,972,632,417,0,After rampdown to 200C,,,,,,,rotate_reselect,0,before_keyframe_roi_physics_and_embedding,,,,,
False,,19.5,N6382,,,,,,,319,0.8075173459082935,0.8710526315789474,326,,899,778,357,120,0.9057982120051086,,1.0,False,,N6382,automatic_v5_v8_frozen_transfer,compact,,1783805398000000000,8b160e37cd9622341f6cc92d83f9246246878cda262dd5561d4821533db5245a,1666504192,data/compressedfile/N6382/N6382 - Rampdown to 200C.avi,980,636,374,0,N6382 - Rampdown to 200C,,,,,,,rotate_reselect,0,before_keyframe_roi_physics_and_embedding,,,,,
False,,21.5,N6389,,,,,,,508,0.8098953874136212,0.8761904761904761,509,,899,804,370,120,0.9055151515151516,,1.0,False,,N6389,automatic_v5_v8_frozen_transfer,front,,1783805510000000000,df4437c08ecd81966f5bb0cc56faa2715b0a5fa6106ef9e0c3c1146db0d857cc,2620059648,data/compressedfile/N6389/Rampdown to 300C.avi,980,636,408,0,Rampdown to 300C,,,,,,,rotate_reselect,90,before_keyframe_roi_physics_and_embedding,,,,,
False,,22.0,N6390,,,,,,,964,0.8273144853206784,0.9142857142857144,962,,899,791,366,120,0.9224542124542124,,1.0,False,,N6390,automatic_v5_v8_frozen_transfer,front,,1783805546000000000,429ba621d446d3726f5a39225957838da3cceb103facf51039d206a6410ec849,1666504192,data/compressedfile/N6390/rampdon to 200c.avi,980,636,383,0,rampdon to 200c,,,,,,,rotate_reselect,90,before_keyframe_roi_physics_and_embedding,,,,,
