index,descriptor,strict_condition_column,active_in_a3,source_file,source_function
0,rq_nm,condition_q50_rq_nm,True,analysis/rheed_video_afm_story/run_phase7a.py,DESCRIPTOR_COLS/condition_vector/rank_sources
1,ra_nm,predicted_ra_nm,True,analysis/rheed_video_afm_story/run_phase7a.py,DESCRIPTOR_COLS/condition_vector/rank_sources
2,robust_height_range_nm,predicted_robust_height_range_nm,True,analysis/rheed_video_afm_story/run_phase7a.py,DESCRIPTOR_COLS/condition_vector/rank_sources
3,psd_low_fraction,predicted_psd_low_fraction,True,analysis/rheed_video_afm_story/run_phase7a.py,DESCRIPTOR_COLS/condition_vector/rank_sources
4,psd_mid_fraction,predicted_psd_mid_fraction,True,analysis/rheed_video_afm_story/run_phase7a.py,DESCRIPTOR_COLS/condition_vector/rank_sources
5,psd_high_fraction,predicted_psd_high_fraction,True,analysis/rheed_video_afm_story/run_phase7a.py,DESCRIPTOR_COLS/condition_vector/rank_sources
6,psd_slope,predicted_psd_slope,True,analysis/rheed_video_afm_story/run_phase7a.py,DESCRIPTOR_COLS/condition_vector/rank_sources
7,correlation_length_nm,predicted_correlation_length_nm,True,analysis/rheed_video_afm_story/run_phase7a.py,DESCRIPTOR_COLS/condition_vector/rank_sources
8,anisotropy,predicted_anisotropy,True,analysis/rheed_video_afm_story/run_phase7a.py,DESCRIPTOR_COLS/condition_vector/rank_sources
9,height_skewness,predicted_height_skewness,True,analysis/rheed_video_afm_story/run_phase7a.py,DESCRIPTOR_COLS/condition_vector/rank_sources
10,height_kurtosis,predicted_height_kurtosis,True,analysis/rheed_video_afm_story/run_phase7a.py,DESCRIPTOR_COLS/condition_vector/rank_sources
