audience,public_sample_id,internal_growth_run_id
internal_provenance_not_for_manuscript,01,6022
internal_provenance_not_for_manuscript,02,6028
internal_provenance_not_for_manuscript,03,6029
internal_provenance_not_for_manuscript,04,6033
internal_provenance_not_for_manuscript,05,6047
internal_provenance_not_for_manuscript,06,6048
internal_provenance_not_for_manuscript,07,6056
internal_provenance_not_for_manuscript,08,6057
internal_provenance_not_for_manuscript,09,6062
internal_provenance_not_for_manuscript,10,6063
internal_provenance_not_for_manuscript,11,6070
internal_provenance_not_for_manuscript,12,6072
internal_provenance_not_for_manuscript,13,6078
internal_provenance_not_for_manuscript,14,6080
internal_provenance_not_for_manuscript,15,6082
internal_provenance_not_for_manuscript,16,6084
internal_provenance_not_for_manuscript,17,6085
internal_provenance_not_for_manuscript,18,6090
internal_provenance_not_for_manuscript,19,6094
internal_provenance_not_for_manuscript,20,6095
internal_provenance_not_for_manuscript,21,6099
internal_provenance_not_for_manuscript,22,6101
internal_provenance_not_for_manuscript,23,N6342
internal_provenance_not_for_manuscript,24,N6358
internal_provenance_not_for_manuscript,25,N6382
internal_provenance_not_for_manuscript,26,N6389
internal_provenance_not_for_manuscript,27,N6390
