sample_id,group_id,material,rheed_path,afm_path,afm_scan_size_um,selection_reason
6022,6022,Ctr,data/pair/6022/RHEED/After GaSb.MP4,data/plane_corrected_afm/6022/N6022_Ctr_004/N6022_Ctr_004_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=256x256; tie_break=sorted_path:N6022_Ctr_004_plane_corrected.npy
6028,6028,unknown,data/pair/6028/RHEED/GaSb.MP4,data/plane_corrected_afm/6028/N6028_500_nm_006/N6028_500_nm_006_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=256x256; tie_break=sorted_path:N6028_500_nm_006_plane_corrected.npy
6029,6029,unknown,data/pair/6029/RHEED/5 min of GaSb.MOV,data/plane_corrected_afm/6029/N6029_500_nm_010/N6029_500_nm_010_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=256x256; tie_break=sorted_path:N6029_500_nm_010_plane_corrected.npy
6033,6033,1um,data/pair/6033/RHEED/3min GaSb.MOV,data/plane_corrected_afm/6033/N6033_1um_018/N6033_1um_018_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=256x256; tie_break=sorted_path:N6033_1um_018_plane_corrected.npy
6041,6041,1um,data/pair/6041/RHEED/End of AlSb.MOV,data/plane_corrected_afm/6041/N6041_1um_000/N6041_1um_000_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=512x512; tie_break=sorted_path:N6041_1um_000_plane_corrected.npy
6043,6043,1um,data/pair/6043/RHEED/Oxide Desorotion in new block.MOV,data/plane_corrected_afm/6043/N6043_1um_cs/N6043_1um_cs_plane_corrected.npy,1.016000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=104x104; tie_break=sorted_path:N6043_1um_cs_plane_corrected.npy
6047,6047,1um,data/pair/6047/RHEED/3 min of AlSb.MOV,data/plane_corrected_afm/6047/N6047_1um_013/N6047_1um_013_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=256x256; tie_break=sorted_path:N6047_1um_013_plane_corrected.npy
6048,6048,1um,data/pair/6048/RHEED/2 min AlSb after 1 min Soak.MOV,data/plane_corrected_afm/6048/N6048_1um_027/N6048_1um_027_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=256x256; tie_break=sorted_path:N6048_1um_027_plane_corrected.npy
6056,6056,N56,data/pair/6056/RHEED/After rampdown to 200 C.MOV,data/plane_corrected_afm/6056/N56_Edg_001/N56_Edg_001_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=512x512; tie_break=sorted_path:N56_Edg_001_plane_corrected.npy
6057,6057,GdSb,data/pair/6057/RHEED/2 min of AlSb.MOV,data/plane_corrected_afm/6057/GdSb_N6057_edge_019/GdSb_N6057_edge_019_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=256x256; tie_break=sorted_path:GdSb_N6057_edge_019_plane_corrected.npy
6058,6058,N58,data/pair/6058/RHEED/4 min of AlSb.MOV,data/plane_corrected_afm/6058/N58_edg_001/N58_edg_001_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=512x512; tie_break=sorted_path:N58_edg_001_plane_corrected.npy
6062,6062,N62,data/pair/6062/RHEED/after rampdown to 300C.MOV,data/plane_corrected_afm/6062/N62_Edg_001/N62_Edg_001_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=512x512; tie_break=sorted_path:N62_Edg_001_plane_corrected.npy
6063,6063,N63,data/pair/6063/RHEED/rampdown to 300C.MOV,data/plane_corrected_afm/6063/N63_Ctr_004/N63_Ctr_004_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=512x512; tie_break=sorted_path:N63_Ctr_004_plane_corrected.npy
6065,6065,N65,data/pair/6065/RHEED/No oxide desortion.MOV,data/plane_corrected_afm/6065/N65_Edg_001/N65_Edg_001_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=256x256; tie_break=sorted_path:N65_Edg_001_plane_corrected.npy
6067,6067,1um,data/pair/6067/RHEED/Oxide desorption.MOV,data/plane_corrected_afm/6067/N6059_1um_004/N6059_1um_004_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=512x512; tie_break=sorted_path:N6059_1um_004_plane_corrected.npy
6070,6070,N69,data/pair/6070/RHEED/2 min GaSb at 300C.MOV,data/plane_corrected_afm/6070/N69_Edg_002/N69_Edg_002_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=256x256; tie_break=sorted_path:N69_Edg_002_plane_corrected.npy
6072,6072,1um,data/pair/6072/RHEED/Initial Si surface.MOV,data/plane_corrected_afm/6072/N6072_1um_002/N6072_1um_002_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=256x256; tie_break=sorted_path:N6072_1um_002_plane_corrected.npy
6073,6073,N73,data/pair/6073/RHEED/AlSb 5 min.MOV,data/plane_corrected_afm/6073/N73_ctr_001/N73_ctr_001_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=512x512; tie_break=sorted_path:N73_ctr_001_plane_corrected.npy
6078,6078,N74,data/pair/6078/RHEED/Oxide Desorption.MOV,data/plane_corrected_afm/6078/N74_ctr_004/N74_ctr_004_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=512x512; tie_break=sorted_path:N74_ctr_004_plane_corrected.npy
6080,6080,N80,data/pair/6080/RHEED/5 min of AlSb.MOV,data/plane_corrected_afm/6080/N80_Edg_000/N80_Edg_000_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=256x256; tie_break=sorted_path:N80_Edg_000_plane_corrected.npy
6081,6081,N81,data/pair/6081/RHEED/5 min of AlSb.MOV,data/plane_corrected_afm/6081/N81_Edg_000/N81_Edg_000_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=256x256; tie_break=sorted_path:N81_Edg_000_plane_corrected.npy
6082,6082,1um,data/pair/6082/RHEED/2 min GaSb.MOV,data/plane_corrected_afm/6082/N6082_1um_002/N6082_1um_002_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=256x256; tie_break=sorted_path:N6082_1um_002_plane_corrected.npy
6084,6084,1um,data/pair/6084/RHEED/5 min AlSb.MOV,data/plane_corrected_afm/6084/N6084_1um_006/N6084_1um_006_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=256x256; tie_break=sorted_path:N6084_1um_006_plane_corrected.npy
6085,6085,1um,data/pair/6085/RHEED/ramping down to 300C.MOV,data/plane_corrected_afm/6085/N6085_1um_003/N6085_1um_003_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=256x256; tie_break=sorted_path:N6085_1um_003_plane_corrected.npy
6088,6088,N88,data/pair/6088/RHEED/2 min AlSb.MOV,data/plane_corrected_afm/6088/N88_Ctr_002/N88_Ctr_002_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=512x512; tie_break=sorted_path:N88_Ctr_002_plane_corrected.npy
6090,6090,1um,data/pair/6090/RHEED/5 min AlsB.MOV,data/plane_corrected_afm/6090/N6090_1um_002/N6090_1um_002_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=256x256; tie_break=sorted_path:N6090_1um_002_plane_corrected.npy
6093,6093,1um,data/pair/6093/RHEED/5 min AlSb.MOV,data/plane_corrected_afm/6093/N6093_1um_003/N6093_1um_003_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=256x256; tie_break=sorted_path:N6093_1um_003_plane_corrected.npy
6094,6094,1um,data/pair/6094/RHEED/Gasb 5 min.MOV,data/plane_corrected_afm/6094/N6094_1um_000/N6094_1um_000_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=512x512; tie_break=sorted_path:N6094_1um_000_plane_corrected.npy
6095,6095,1um,data/pair/6095/RHEED/Rampdown to 250C.MOV,data/plane_corrected_afm/6095/N6095_1um_006/N6095_1um_006_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=256x256; tie_break=sorted_path:N6095_1um_006_plane_corrected.npy
6097,6097,2um,data/pair/6097/RHEED/3 min AlSb.MOV,data/plane_corrected_afm/6097/N6097_2um_008/N6097_2um_008_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=256x256; tie_break=sorted_path:N6097_2um_008_plane_corrected.npy
6099,6099,1um,data/pair/6099/RHEED/5 min AlSb.MOV,data/plane_corrected_afm/6099/N6099_1um_004/N6099_1um_004_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=512x512; tie_break=sorted_path:N6099_1um_004_plane_corrected.npy
6101,6101,5um,data/pair/6101/RHEED/30 min GaSb-1.MOV,data/plane_corrected_afm/6101/N6101_5um_001/N6101_5um_001_plane_corrected.npy,1.000000,target_size=1.000000um within_tol=0.100; zsensor_pref=no; suffix=.npy; valid_size=yes; resolution=256x256; tie_break=sorted_path:N6101_5um_001_plane_corrected.npy
