method,descriptor,mae,rmse,r2
best_model,median_height,0.46378139,0.53041210,0.45872831
best_model,std_height,0.75404048,1.05001837,-0.12118649
best_model,min_height,0.34278256,0.38004102,-0.52988029
best_model,max_height,0.75756264,0.89278284,-0.09386098
best_model,peak_to_valley,0.57577783,0.67458427,-0.26291275
best_model,p01,0.51358294,0.70773773,-0.10738575
best_model,p25,0.83821547,1.27828310,-0.15638876
best_model,p75,0.82760501,1.28482070,-0.23983419
best_model,p95,0.70669150,0.90594714,-0.15079021
best_model,Rsk,0.69528544,0.82478747,-0.17786014
best_model,Rku,0.69259179,0.89121886,-0.56033754
best_model,grad_mean,0.52214664,0.64836297,0.01197875
best_model,orientation_entropy,1.02520657,1.35245872,-0.17507255
best_model,low_freq_power,1.09115267,2.28548070,-0.15688264
best_model,mid_freq_power,0.62536287,0.91569738,-0.17802000
best_model,high_freq_power,0.90422159,1.63924357,-0.25079334
best_model,high_low_power_ratio,0.95271766,1.20061211,-0.20124245
best_model,radial_psd_slope,0.71270192,0.83186224,-0.26341403
best_model,autocorr_length_x,1.43926764,1.96613520,-0.23468935
best_model,autocorr_length_y,0.89732623,1.18447189,-0.11079383
best_model,anisotropy_ratio,1.39327574,1.93520601,-0.15706050
best_model,coverage_fraction,0.85403681,1.08028759,-0.99831617
best_model,connected_component_count,0.79500747,1.12474995,0.33148760
best_model,component_density,0.88418502,0.97483010,-0.66231394
best_model,mean_component_area,1.31586528,1.53225037,-0.60707963
best_model,median_component_area,1.49131739,2.81245643,-0.08770657
best_model,max_component_area,1.02160800,1.67826606,-0.43629599
nearest_neighbor,median_height,0.79993486,1.09744679,-1.31715679
nearest_neighbor,std_height,0.61232799,0.84293347,0.27744538
nearest_neighbor,min_height,0.55080181,0.68639647,-3.99052906
nearest_neighbor,max_height,0.84689403,0.98822784,-0.34024632
nearest_neighbor,peak_to_valley,0.78333974,0.92052451,-1.35164428
nearest_neighbor,p01,0.61038530,0.77531513,-0.32895648
nearest_neighbor,p25,0.56031227,0.74696750,0.60513091
nearest_neighbor,p75,0.65187961,0.89078316,0.40403253
nearest_neighbor,p95,0.56409758,0.73652683,0.23938030
nearest_neighbor,Rsk,1.02399445,1.31372703,-1.98827028
nearest_neighbor,Rku,0.61148965,0.71252716,0.00263834
nearest_neighbor,grad_mean,0.54062188,0.79711884,-0.49339962
nearest_neighbor,orientation_entropy,1.07813716,1.53108635,-0.50596893
nearest_neighbor,low_freq_power,0.91248965,1.67591882,0.37792873
nearest_neighbor,mid_freq_power,0.36464167,0.49211810,0.65975845
nearest_neighbor,high_freq_power,0.77346432,1.10557739,0.43104637
nearest_neighbor,high_low_power_ratio,0.97737640,1.64241141,-1.24796295
nearest_neighbor,radial_psd_slope,1.09351456,1.32174763,-2.18962717
nearest_neighbor,autocorr_length_x,2.31722093,3.32047291,-2.52152538
nearest_neighbor,autocorr_length_y,1.03192520,1.37134100,-0.48893201
nearest_neighbor,anisotropy_ratio,2.21918344,3.14425889,-2.05448675
nearest_neighbor,coverage_fraction,0.94281590,1.77643879,-4.40363407
nearest_neighbor,connected_component_count,0.93899482,1.24458772,0.18144375
nearest_neighbor,component_density,0.87853944,1.26267634,-1.78894067
nearest_neighbor,mean_component_area,1.32522333,1.51702454,-0.57529950
nearest_neighbor,median_component_area,1.32937849,2.46641672,0.16348630
nearest_neighbor,max_component_area,2.10684586,2.84874028,-3.13835764
