row_id,sample_id,video_path,selection_reason
1,6022,data/pair/6022/RHEED/After GaSb.MP4,manifest_specified_rheed_path
2,6028,data/pair/6028/RHEED/GaSb.MP4,manifest_specified_rheed_path
3,6029,data/pair/6029/RHEED/5 min of GaSb.MOV,manifest_specified_rheed_path
4,6033,data/pair/6033/RHEED/3min GaSb.MOV,manifest_specified_rheed_path
5,6041,data/pair/6041/RHEED/End of AlSb.MOV,manifest_specified_rheed_path
6,6043,data/pair/6043/RHEED/Oxide Desorotion in new block.MOV,manifest_specified_rheed_path
7,6047,data/pair/6047/RHEED/3 min of AlSb.MOV,manifest_specified_rheed_path
8,6048,data/pair/6048/RHEED/2 min AlSb after 1 min Soak.MOV,manifest_specified_rheed_path
9,6056,data/pair/6056/RHEED/After rampdown to 200 C.MOV,manifest_specified_rheed_path
10,6057,data/pair/6057/RHEED/2 min of AlSb.MOV,manifest_specified_rheed_path
11,6058,data/pair/6058/RHEED/4 min of AlSb.MOV,manifest_specified_rheed_path
12,6062,data/pair/6062/RHEED/after rampdown to 300C.MOV,manifest_specified_rheed_path
13,6063,data/pair/6063/RHEED/rampdown to 300C.MOV,manifest_specified_rheed_path
14,6065,data/pair/6065/RHEED/No oxide desortion.MOV,manifest_specified_rheed_path
15,6067,data/pair/6067/RHEED/Oxide desorption.MOV,manifest_specified_rheed_path
16,6070,data/pair/6070/RHEED/2 min GaSb at 300C.MOV,manifest_specified_rheed_path
17,6072,data/pair/6072/RHEED/Initial Si surface.MOV,manifest_specified_rheed_path
18,6073,data/pair/6073/RHEED/AlSb 5 min.MOV,manifest_specified_rheed_path
19,6078,data/pair/6078/RHEED/Oxide Desorption.MOV,manifest_specified_rheed_path
20,6080,data/pair/6080/RHEED/5 min of AlSb.MOV,manifest_specified_rheed_path
21,6081,data/pair/6081/RHEED/5 min of AlSb.MOV,manifest_specified_rheed_path
22,6082,data/pair/6082/RHEED/2 min GaSb.MOV,manifest_specified_rheed_path
23,6084,data/pair/6084/RHEED/5 min AlSb.MOV,manifest_specified_rheed_path
24,6085,data/pair/6085/RHEED/ramping down to 300C.MOV,manifest_specified_rheed_path
25,6088,data/pair/6088/RHEED/2 min AlSb.MOV,manifest_specified_rheed_path
26,6090,data/pair/6090/RHEED/5 min AlsB.MOV,manifest_specified_rheed_path
27,6093,data/pair/6093/RHEED/5 min AlSb.MOV,manifest_specified_rheed_path
28,6094,data/pair/6094/RHEED/Gasb 5 min.MOV,manifest_specified_rheed_path
29,6095,data/pair/6095/RHEED/Rampdown to 250C.MOV,manifest_specified_rheed_path
30,6097,data/pair/6097/RHEED/3 min AlSb.MOV,manifest_specified_rheed_path
31,6099,data/pair/6099/RHEED/5 min AlSb.MOV,manifest_specified_rheed_path
32,6101,data/pair/6101/RHEED/30 min GaSb-1.MOV,manifest_specified_rheed_path
