row_id,sample_id,reason
1,6022,AFM path does not match one-to-one manifest selection
2,6022,AFM path does not match one-to-one manifest selection
4,6023,missing sample embedding
5,6023,missing sample embedding
6,6023,missing sample embedding
7,6028,AFM path does not match one-to-one manifest selection
8,6028,AFM path does not match one-to-one manifest selection
10,6029,AFM path does not match one-to-one manifest selection
11,6029,AFM path does not match one-to-one manifest selection
13,6033,AFM path does not match one-to-one manifest selection
14,6033,AFM path does not match one-to-one manifest selection
15,6033,AFM path does not match one-to-one manifest selection
18,6041,AFM path does not match one-to-one manifest selection
19,6041,AFM path does not match one-to-one manifest selection
20,6043,AFM path does not match one-to-one manifest selection
21,6043,AFM path does not match one-to-one manifest selection
23,6047,AFM path does not match one-to-one manifest selection
24,6047,AFM path does not match one-to-one manifest selection
25,6047,AFM path does not match one-to-one manifest selection
26,6047,AFM path does not match one-to-one manifest selection
27,6047,AFM path does not match one-to-one manifest selection
29,6048,AFM path does not match one-to-one manifest selection
31,6056,AFM path does not match one-to-one manifest selection
32,6056,AFM path does not match one-to-one manifest selection
33,6056,AFM path does not match one-to-one manifest selection
34,6056,AFM path does not match one-to-one manifest selection
35,6056,AFM path does not match one-to-one manifest selection
36,6056,AFM path does not match one-to-one manifest selection
37,6056,AFM path does not match one-to-one manifest selection
38,6056,AFM path does not match one-to-one manifest selection
39,6056,AFM path does not match one-to-one manifest selection
40,6056,AFM path does not match one-to-one manifest selection
41,6056,AFM path does not match one-to-one manifest selection
42,6056,AFM path does not match one-to-one manifest selection
43,6056,AFM path does not match one-to-one manifest selection
44,6056,AFM path does not match one-to-one manifest selection
45,6056,AFM path does not match one-to-one manifest selection
46,6056,AFM path does not match one-to-one manifest selection
47,6056,AFM path does not match one-to-one manifest selection
48,6056,AFM path does not match one-to-one manifest selection
50,6057,AFM path does not match one-to-one manifest selection
51,6057,AFM path does not match one-to-one manifest selection
52,6057,AFM path does not match one-to-one manifest selection
53,6057,AFM path does not match one-to-one manifest selection
54,6057,AFM path does not match one-to-one manifest selection
55,6057,AFM path does not match one-to-one manifest selection
57,6058,AFM path does not match one-to-one manifest selection
58,6058,AFM path does not match one-to-one manifest selection
59,6058,AFM path does not match one-to-one manifest selection
