target,uncertainty_feature,uncertainty_vs_absolute_error_spearman,p_value
FSMI_nm,base_to_tta_median_nm,0.4091410911062094,0.052553412247530254
FSMI_nm,tta_frame_std_nm,-0.10276679841897234,0.6407815347518423
FSMI_nm,tta_roi_std_nm,0.12154150197628459,0.5806457885494274
FSMI_nm,tta_all_std_nm,0.05632411067193676,0.7985226107639528
FSMI_nm,tta_all_range_nm,0.07608695652173912,0.7300554425086555
Rq_nm,base_to_tta_median_nm,0.25720277329249575,0.2361063502064201
Rq_nm,tta_frame_std_nm,-0.043478260869565216,0.8438440075057312
Rq_nm,tta_roi_std_nm,0.09980237154150197,0.6504928119104104
Rq_nm,tta_all_std_nm,0.018774703557312256,0.932240534427878
Rq_nm,tta_all_range_nm,0.07114624505928854,0.7470083093041772
