target,uncertainty_feature,uncertainty_vs_absolute_error_spearman,p_value
FSMI_nm,base_to_tta_median_nm,0.1468896966799127,0.4557338038396862
FSMI_nm,tta_frame_std_nm,0.25779967159277506,0.18534653864201733
FSMI_nm,tta_roi_std_nm,0.21893814997263272,0.2629950954628342
FSMI_nm,tta_all_std_nm,0.2829775588396278,0.1445308066327623
FSMI_nm,tta_all_range_nm,0.2983032293377121,0.12310947239451027
Rq_nm,base_to_tta_median_nm,0.14360112138110864,0.46599356240836176
Rq_nm,tta_frame_std_nm,0.37438423645320196,0.0496712349510608
Rq_nm,tta_roi_std_nm,0.2627257799671593,0.1767914263876952
Rq_nm,tta_all_std_nm,0.31253420908593316,0.10539680055946196
Rq_nm,tta_all_range_nm,0.31636562671045426,0.10097071177939725
