target,uncertainty_feature,uncertainty_vs_absolute_error_spearman,p_value
FSMI_nm,base_to_tta_median_nm,0.2037697182299999,0.29831616694995583
FSMI_nm,tta_frame_std_nm,0.2348111658456486,0.2290689199375926
FSMI_nm,tta_roi_std_nm,0.3355227148330596,0.08090186407317347
FSMI_nm,tta_all_std_nm,0.3388067870826491,0.07779186421094189
FSMI_nm,tta_all_range_nm,0.3382594417077176,0.07830373495153654
Rq_nm,base_to_tta_median_nm,0.24711161477314478,0.20488853029282447
Rq_nm,tta_frame_std_nm,0.2583470169677066,0.18438200670931576
Rq_nm,tta_roi_std_nm,0.37055281882868085,0.05224331836568905
Rq_nm,tta_all_std_nm,0.3765736179529283,0.04824696574318268
Rq_nm,tta_all_range_nm,0.3497536945812808,0.06808327953228559
