target,uncertainty_feature,uncertainty_vs_absolute_error_spearman,p_value
FSMI_nm,base_to_tta_median_nm,0.3724627568048066,0.08007297148339612
FSMI_nm,tta_frame_std_nm,-0.00691699604743083,0.975011901091527
FSMI_nm,tta_roi_std_nm,0.07509881422924902,0.7334365351453347
FSMI_nm,tta_all_std_nm,0.10968379446640317,0.6183444606587871
FSMI_nm,tta_all_range_nm,0.11956521739130435,0.5868591882350066
Rq_nm,base_to_tta_median_nm,0.0994168748630654,0.6517597668246576
Rq_nm,tta_frame_std_nm,0.022727272727272724,0.9180179452970287
Rq_nm,tta_roi_std_nm,0.05632411067193676,0.7985226107639528
Rq_nm,tta_all_std_nm,0.12450592885375496,0.5713796382480376
Rq_nm,tta_all_range_nm,0.14130434782608697,0.5201462786439693
