target,uncertainty_feature,uncertainty_vs_absolute_error_spearman,p_value
FSMI_nm,base_to_tta_median_nm,0.1206093809344593,0.5490101372381099
FSMI_nm,tta_frame_std_nm,0.1800976800976801,0.3686979201364707
FSMI_nm,tta_roi_std_nm,0.29609279609279604,0.13371767020697678
FSMI_nm,tta_all_std_nm,0.3266178266178266,0.09635041042618447
FSMI_nm,tta_all_range_nm,0.36568986568986567,0.06067819442709347
Rq_nm,base_to_tta_median_nm,0.13717149418162222,0.4950663119736852
Rq_nm,tta_frame_std_nm,0.29242979242979245,0.1388235376889835
Rq_nm,tta_roi_std_nm,0.34065934065934067,0.08207019895113514
Rq_nm,tta_all_std_nm,0.39072039072039066,0.04389591593953631
Rq_nm,tta_all_range_nm,0.3864468864468864,0.04646531495241692
