pair_id,row_id,sample_id,group_id,split,rheed_video_path,cached_tensor_path,network_input_path,descriptor_height_path,prototype_id,rheed_key_rule,condition_key_rule,source_frame_count,frames_used,image_size,final_fraction,normalization,height_mean,height_std,rq,ra,peak_to_valley,p01,p05,p50,p95,p99,robust_range,skewness,kurtosis,mean_abs_gradient,gradient_std,gradient_orientation_entropy,gradient_anisotropy,psd_low_power,psd_mid_power,psd_high_power,psd_slope,autocorrelation_length_px,island_coverage,island_count,island_mean_area_px,cond_height_mean,cond_height_std,cond_rq,cond_ra,cond_peak_to_valley,cond_p01,cond_p05,cond_p50,cond_p95,cond_p99,cond_robust_range,cond_skewness,cond_kurtosis,cond_mean_abs_gradient,cond_gradient_std,cond_gradient_orientation_entropy,cond_gradient_anisotropy,cond_psd_low_power,cond_psd_mid_power,cond_psd_high_power,cond_psd_slope,cond_autocorrelation_length_px,cond_island_coverage,cond_island_count,cond_island_mean_area_px
pair_00001,afm_00001_00571d45e8,6022,6022,train,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6022 - Copy/videos/N6022 - Copy_raw_crop_256x256.mp4,reports/rheed_conditioned_latent_diffusion_mvp/20260703_043816/data_limit64/cached_rheed_tensors/rheed_f1f6fca20416.npz,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00001_00571d45e8.npy,data/plane_corrected_afm/6022/N6022_Ctr_004/N6022_Ctr_004_plane_corrected.npy,2,manifest_column:sample_id,condition_column:sample_id,810,8,224,0.25,percentile_1_99_to_0_1,-1.662331661e-10,1.359708218,1.359708218,0.9400447195,18.97526312,-4.268743157,-2.265856147,0.04228600487,1.996894449,3.242276061,7.511019218,-1.210529342,10.08185735,0.2568888632,0.289454561,0.997095407,0.1650240181,12.00867504,7.708312715,5.410889073,-3.058968714,8,0.25,144,113.7777778,-1.464282046e-10,-0.951572867,-0.951572867,-1.000699634,-0.5702475304,0.8795892158,0.9191090067,-0.2562465939,-1.009088335,-0.8382878742,-0.8923082978,-2.200736961,4.411747286,-0.7492623892,-0.617391256,0.687223921,-0.1724861418,-1.208131792,-1.051291462,-0.5443999514,1.161883795,-0.5497440322,0.1993377107,-0.02806984282,-0.4182281181
pair_00002,afm_00002_313e18b304,6023,6023,test,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6023 - Copy/videos/N6023 - Copy_raw_crop_256x256.mp4,reports/rheed_conditioned_latent_diffusion_mvp/20260703_043816/data_limit64/cached_rheed_tensors/rheed_471058877adb.npz,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00002_313e18b304.npy,data/plane_corrected_afm/6023/N6023_Ctr_004/N6023_Ctr_004_plane_corrected.npy,5,manifest_column:sample_id,condition_column:sample_id,1021,8,224,0.25,percentile_1_99_to_0_1,-5.159823679e-10,10.28980427,10.28980427,7.278920406,108.0130234,-38.47190437,-17.14092875,1.239253938,13.72373581,16.73582201,55.20772638,-1.891907992,10.97121847,0.7733402188,0.9016093488,0.9901390393,0.08106280357,14.33349205,10.00636709,6.562877645,-3.852440567,19,0.25,17,963.7647059,-4.961774064e-10,2.353660073,2.353660073,1.930171482,5.650672078,-5.501524188,-2.208346355,1.5364126,1.807029873,1.042043746,3.074033485,-3.645792641,5.026765854,0.1189544795,0.739797767,0.003972361606,-0.817161256,0.7437517118,1.074947948,0.4751695373,-0.6533214376,0.2459380797,0.1993377107,-0.6833765411,0.6828032315
pair_00003,afm_00003_b76327ec18,6028,6028,test,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6028 - Copy/videos/N6028 - Copy_raw_crop_256x256.mp4,reports/rheed_conditioned_latent_diffusion_mvp/20260703_043816/data_limit64/cached_rheed_tensors/rheed_f6a95642e4b1.npz,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00003_b76327ec18.npy,data/plane_corrected_afm/6028/N6028_500_nm_006/N6028_500_nm_006_plane_corrected.npy,1,manifest_column:sample_id,condition_column:sample_id,701,8,224,0.25,percentile_1_99_to_0_1,-1.081919554e-10,2.319946932,2.319946932,1.810980193,19.10214138,-5.850485229,-3.959911585,0.09507948905,3.704199553,5.451411605,11.30189683,-0.117880424,3.379155092,0.500456025,0.425482084,0.9952389597,0.1476109225,13.11231593,8.009672616,5.430478005,-3.625305381,8,0.25,99,165.4949495,-8.838699391e-11,-0.5961665411,-0.5961665411,-0.598009985,-0.5613827583,0.5844914769,0.5629371141,-0.1771795427,-0.5990910612,-0.5304438551,-0.5770681657,0.1165333634,-0.2233624037,-0.339796684,-0.3158089361,0.5048844347,-0.3061882262,-0.2815304988,-0.7724628555,-0.5270627331,-0.1337100909,-0.5497440322,0.1993377107,-0.2602651296,-0.3512362321
pair_00004,afm_00004_f989167d9f,6029,6029,train,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6029 - Copy/videos/N6029 - Copy_raw_crop_256x256.mp4,reports/rheed_conditioned_latent_diffusion_mvp/20260703_043816/data_limit64/cached_rheed_tensors/rheed_e82ff74d5163.npz,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00004_f989167d9f.npy,data/plane_corrected_afm/6029/N6029_500_nm_010/N6029_500_nm_010_plane_corrected.npy,1,manifest_column:sample_id,condition_column:sample_id,540,8,224,0.25,percentile_1_99_to_0_1,-6.166578359e-11,2.965615884,2.965615884,2.336985371,20.98334217,-6.791986299,-4.922605991,0.04803492315,4.459757924,8.014020252,14.80600655,0.05490388246,3.225960629,0.5496961146,0.4844783459,0.9936722092,0.07693579061,13.39273312,8.298558569,5.543723505,-3.791014803,10,0.25,56,292.5714286,-4.18608221e-11,-0.3571896839,-0.3571896839,-0.3548038616,-0.4299464009,0.4088403124,0.3605324696,-0.2476366295,-0.4176490496,-0.1733432021,-0.2856749518,0.4829712367,-0.3293007421,-0.2570181687,-0.1850101894,0.3509988484,-0.8488494893,-0.04609618944,-0.5051755777,-0.4268346064,-0.5127992908,-0.4050745573,0.1993377107,-0.4821406259,-0.186627598
pair_00005,afm_00005_2c304fd671,6033,6033,train,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6033 - Copy/videos/N6033 - Copy_raw_crop_256x256.mp4,reports/rheed_conditioned_latent_diffusion_mvp/20260703_043816/data_limit64/cached_rheed_tensors/rheed_470a87f8882b.npz,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00005_2c304fd671.npy,data/plane_corrected_afm/6033/N6033_1um_018/N6033_1um_018_plane_corrected.npy,1,manifest_column:sample_id,condition_column:sample_id,719,8,224,0.25,percentile_1_99_to_0_1,-2.13537299e-10,2.549088625,2.549088625,2.036069658,16.90186167,-5.902049303,-4.069279552,-0.09698341414,4.428282022,5.972692585,11.87474189,0.07787297556,2.893888784,0.4758792773,0.3963770871,0.9951490903,0.1552295678,13.0993392,7.936114798,5.077964505,-3.859142874,11,0.25,57,287.4385965,-1.937323375e-10,-0.5113559559,-0.5113559559,-0.4939366061,-0.7151126269,0.5748714245,0.5399427097,-0.4648257859,-0.4252077654,-0.4578031191,-0.5294317684,0.5316836794,-0.5589378895,-0.3811131539,-0.3803367044,0.4960574994,-0.2476903703,-0.2924255779,-0.8405210935,-0.8390554192,-0.6686541336,-0.3327398199,0.1993377107,-0.4769807306,-0.1932764168
pair_00006,afm_00006_4b0fb6ea95,6041,6041,train,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6041 - Copy/videos/N6041 - Copy_raw_crop_256x256.mp4,reports/rheed_conditioned_latent_diffusion_mvp/20260703_043816/data_limit64/cached_rheed_tensors/rheed_47adbc5d9f42.npz,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00006_4b0fb6ea95.npy,data/plane_corrected_afm/6041/N6041_1um_000/N6041_1um_000_plane_corrected.npy,1,manifest_column:sample_id,condition_column:sample_id,499,8,224,0.25,percentile_1_99_to_0_1,1.994105853e-10,3.190454958,3.190454958,2.55259888,21.98829651,-7.499547086,-5.390916038,0.1046832204,5.32628839,6.922397528,14.42194461,-0.1271190216,2.833564341,0.2945548738,0.203918957,0.9988418829,0.1019294549,13.48286079,9.32662082,6.577238614,-3.443988055,20,0.25,104,630.1538462,2.192155468e-10,-0.2739715965,-0.2739715965,-0.2551118283,-0.3597319195,0.2768342211,0.2620711843,-0.1627963527,-0.2095578725,-0.3254613135,-0.3176126056,0.09694031048,-0.6006539615,-0.6859412934,-0.8070295389,0.8587620618,-0.6569419106,0.02957372846,0.446023183,0.4878797378,0.2810849112,0.3182728172,0.1993377107,-0.2344656533,0.2506600974
pair_00007,afm_00007_9e449ffc89,6043,6043,train,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6043 - Copy/videos/N6043 - Copy_raw_crop_256x256.mp4,reports/rheed_conditioned_latent_diffusion_mvp/20260703_043816/data_limit64/cached_rheed_tensors/rheed_c0d3dcd02e3d.npz,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00007_9e449ffc89.npy,data/plane_corrected_afm/6043/N6043_1um_cs/N6043_1um_cs_plane_corrected.npy,0,manifest_column:sample_id,condition_column:sample_id,276,8,224,0.25,percentile_1_99_to_0_1,-2.816466954e-10,5.958147964,5.958147964,4.760742933,41.43667221,-14.64535666,-10.7574861,0.5003019273,8.724581003,12.39077268,27.03612933,-0.3751314707,3.004047181,2.560856141,1.50289326,0.9939106167,0.2514288736,13.80622233,9.32111458,6.313216348,-3.301445374,4,0.25,63,42.92063492,-2.618417339e-10,0.7504149319,0.7504149319,0.7658556025,0.9990936099,-1.056323874,-0.8662398338,0.4297086697,0.6065181201,0.4365591924,0.7313522159,-0.4290400651,-0.4827602176,3.12398382,2.072885313,0.3744151345,0.4909518563,0.3010635072,0.4409286192,0.2542063722,0.6071761511,-0.839082982,0.1993377107,-0.4460213591,-0.5100129834
pair_00008,afm_00008_1d28ad0abe,6047,6047,train,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6047 - Copy/videos/N6047 - Copy_raw_crop_256x256.mp4,reports/rheed_conditioned_latent_diffusion_mvp/20260703_043816/data_limit64/cached_rheed_tensors/rheed_4fbb97a9b19d.npz,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00008_1d28ad0abe.npy,data/plane_corrected_afm/6047/N6047_1um_013/N6047_1um_013_plane_corrected.npy,1,manifest_column:sample_id,condition_column:sample_id,518,8,224,0.25,percentile_1_99_to_0_1,-1.593703225e-10,2.003665446,2.003665446,1.57302551,14.84079647,-4.974616647,-3.279775083,-0.009732018225,3.345926166,4.492361283,9.46697793,-0.1023761115,3.163373449,0.4598123673,0.385124463,0.9964620421,0.1954872579,12.89630958,7.811069203,5.139405607,-3.576914228,8,0.25,96,170.6666667,-1.39565361e-10,-0.7132295581,-0.7132295581,-0.7080317841,-0.8591158103,0.7478979151,0.7059345035,-0.3341522626,-0.6851278871,-0.6640879434,-0.7296555441,0.1494146326,-0.3725815612,-0.4081235628,-0.4052845415,0.6250150824,0.06141819971,-0.4628863773,-0.956217604,-0.784676865,-0.02300688975,-0.5497440322,0.1993377107,-0.2757448154,-0.3445370435
pair_00009,afm_00009_e897664da5,6048,6048,test,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6048 - Copy/videos/N6048 - Copy_raw_crop_256x256.mp4,reports/rheed_conditioned_latent_diffusion_mvp/20260703_043816/data_limit64/cached_rheed_tensors/rheed_ce145f85cb76.npz,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00009_e897664da5.npy,data/plane_corrected_afm/6048/N6048_1um_027/N6048_1um_027_plane_corrected.npy,1,manifest_column:sample_id,condition_column:sample_id,371,8,224,0.25,percentile_1_99_to_0_1,-2.356060624e-10,1.868148203,1.868148203,1.467842961,14.67003345,-4.926150608,-3.153000295,0.05208306946,2.916844964,4.014709282,8.94085989,-0.2265457313,3.331853008,0.4010003632,0.3362239666,0.9974324821,0.1851127098,12.6649781,7.645261632,4.874828569,-3.638755868,8,0.25,76,215.5789474,-2.158011009e-10,-0.7633875914,-0.7633875914,-0.7566644613,-0.8710467373,0.7569399826,0.7325886585,-0.241573855,-0.7881687101,-0.7306489619,-0.7734062365,-0.1139220809,-0.2560731432,-0.506993618,-0.5137002857,0.7203312979,-0.0182401642,-0.6571090184,-1.109628505,-1.018841233,-0.1644804254,-0.5497440322,0.1993377107,-0.3789427206,-0.2863598794
pair_00010,afm_00010_758feda8e0,6056,6056,train,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6056 - Copy/videos/N6056 - Copy_raw_crop_256x256.mp4,reports/rheed_conditioned_latent_diffusion_mvp/20260703_043816/data_limit64/cached_rheed_tensors/rheed_9727f022e696.npz,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00010_758feda8e0.npy,data/plane_corrected_afm/6056/N56_Edg_001/N56_Edg_001_plane_corrected.npy,1,manifest_column:sample_id,condition_column:sample_id,488,8,224,0.25,percentile_1_99_to_0_1,-1.239819358e-10,3.555016521,3.555016521,2.790400085,31.05485058,-8.057305813,-5.517651343,-0.1650984064,6.335570049,9.022379103,17.07968492,0.2304415235,3.299756424,0.3364630339,0.314923265,0.9899668912,0.2265653147,14.03267527,9.255851068,5.851295838,-3.932891056,30,0.25,86,762.0465116,-1.041769743e-10,-0.1390390179,-0.1390390179,-0.145160992,0.2737330713,0.1727759538,0.2354253306,-0.5668393517,0.03281399642,-0.03282794846,-0.09660140655,0.8552483329,-0.2782688461,-0.6154886338,-0.5609253977,-0.0129359536,0.3000432593,0.491190195,0.3805445601,-0.1546171783,-0.8373659605,1.041620192,0.1993377107,-0.327343768,0.4215073829
