rheed_record_id,sample_key,sample_id,rheed_video_path,rheed_key_rule,rheed_source,fps,source_frame_count,written_frame_count
rheed_00001,6011,6011,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6011 - Copy/videos/N6011 - Copy_raw_crop_256x256.mp4,manifest_column:sample_id,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/raw_crop_video_manifest.csv,30.0,369,369
rheed_00002,6018,6018,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6018 - Copy/videos/N6018 - Copy_raw_crop_256x256.mp4,manifest_column:sample_id,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/raw_crop_video_manifest.csv,30.0,896,896
rheed_00003,6019,6019,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6019 - Copy/videos/N6019 - Copy_raw_crop_256x256.mp4,manifest_column:sample_id,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/raw_crop_video_manifest.csv,30.0,892,892
rheed_00006,6027,6027,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6027 - Copy/videos/N6027 - Copy_raw_crop_256x256.mp4,manifest_column:sample_id,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/raw_crop_video_manifest.csv,30.00828958275767,181,181
rheed_00014,6049,6049,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6049 - Copy/videos/N6049 - Copy_raw_crop_256x256.mp4,manifest_column:sample_id,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/raw_crop_video_manifest.csv,30.017055144968733,88,88
rheed_00015,6050,6050,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6050 - Copy/videos/N6050 - Copy_raw_crop_256x256.mp4,manifest_column:sample_id,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/raw_crop_video_manifest.csv,30.0,149,149
rheed_00016,6053,6053,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6053/videos/N6053_raw_crop_256x256.mp4,manifest_column:sample_id,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/raw_crop_video_manifest.csv,30.0,293,293
rheed_00017,6054,6054,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6054 - Copy/videos/N6054 - Copy_raw_crop_256x256.mp4,manifest_column:sample_id,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/raw_crop_video_manifest.csv,30.0,553,553
rheed_00018,6055,6055,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6055 - Copy/videos/N6055 - Copy_raw_crop_256x256.mp4,manifest_column:sample_id,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/raw_crop_video_manifest.csv,30.0,402,402
rheed_00022,6061,6061,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6061 - Copy/videos/N6061 - Copy_raw_crop_256x256.mp4,manifest_column:sample_id,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/raw_crop_video_manifest.csv,30.0,467,467
