row_id,pair_id,sample_id,mode,generated_index,generated_std,generated_min,generated_max,generated_rq,generated_ra,generated_psd_low_power,true_cond_rq,pred_cond_rq,true_cond_ra,pred_cond_ra
afm_00012_ea2686bd44,pair_00012,6058,mean,0,0.2196128517,-0.8994249105,0.46255669,0.2196128531,0.1618239202,6.269685857,1.306712508,0.2610312104,1.192622185,0.1891987622
afm_00012_ea2686bd44,pair_00012,6058,oracle,0,0.1747087985,-0.6986376047,0.5884936452,0.1747088086,0.1320671561,6.251955333,1.306712508,0.2610312104,1.192622185,0.1891987622
afm_00012_ea2686bd44,pair_00012,6058,predicted,0,0.201556161,-0.7040263414,0.6626239419,0.2015561623,0.1559791002,6.014703959,1.306712508,0.2610312104,1.192622185,0.1891987622
afm_00012_ea2686bd44,pair_00012,6058,predicted,1,0.2127962559,-0.8058422208,0.4659216106,0.212796266,0.1594310717,6.194122568,1.306712508,0.2610312104,1.192622185,0.1891987622
afm_00012_ea2686bd44,pair_00012,6058,predicted,2,0.1759265959,-0.6666049957,0.5656018257,0.1759266008,0.136349371,6.209649546,1.306712508,0.2610312104,1.192622185,0.1891987622
afm_00012_ea2686bd44,pair_00012,6058,predicted,3,0.2309209406,-0.8310060501,0.3888187408,0.2309209549,0.1879554272,6.278840075,1.306712508,0.2610312104,1.192622185,0.1891987622
afm_00013_d70a92b9a0,pair_00013,6062,mean,0,0.2038795352,-0.705168128,0.4401016235,0.2038795343,0.1583667256,6.044880235,-0.5032200813,0.1550920606,-0.5473476052,0.1160495952
afm_00013_d70a92b9a0,pair_00013,6062,oracle,0,0.231092602,-0.8814688325,0.5211105943,0.2310925961,0.1790786103,6.280383756,-0.5032200813,0.1550920606,-0.5473476052,0.1160495952
afm_00013_d70a92b9a0,pair_00013,6062,predicted,0,0.1875334978,-0.7269771695,0.5620073676,0.1875334972,0.1358518212,6.147173475,-0.5032200813,0.1550920606,-0.5473476052,0.1160495952
afm_00013_d70a92b9a0,pair_00013,6062,predicted,1,0.2000317574,-0.7429165244,0.567291379,0.2000317531,0.1508929023,6.031819541,-0.5032200813,0.1550920606,-0.5473476052,0.1160495952
afm_00013_d70a92b9a0,pair_00013,6062,predicted,2,0.2176206261,-0.8786010742,0.5988817215,0.2176206293,0.1650084043,6.129110956,-0.5032200813,0.1550920606,-0.5473476052,0.1160495952
afm_00013_d70a92b9a0,pair_00013,6062,predicted,3,0.2023842633,-0.8316317797,0.4652874172,0.2023842634,0.1506398202,6.276537177,-0.5032200813,0.1550920606,-0.5473476052,0.1160495952
afm_00018_296832d830,pair_00018,6068,mean,0,0.2255812585,-0.8719899058,0.4632861614,0.2255812547,0.1723165565,6.03676946,2.322274685,0.05393463373,2.665620804,-0.02255395427
afm_00018_296832d830,pair_00018,6068,oracle,0,0.2358029932,-0.8323386908,0.4603108466,0.235802989,0.1817317559,6.17043507,2.322274685,0.05393463373,2.665620804,-0.02255395427
afm_00018_296832d830,pair_00018,6068,predicted,0,0.2353617698,-0.8983442187,0.3929479122,0.235361765,0.1836740626,6.29021948,2.322274685,0.05393463373,2.665620804,-0.02255395427
afm_00018_296832d830,pair_00018,6068,predicted,1,0.2291309983,-0.9212534428,0.4516400099,0.2291310121,0.1715353275,6.135646579,2.322274685,0.05393463373,2.665620804,-0.02255395427
afm_00018_296832d830,pair_00018,6068,predicted,2,0.2173736244,-0.8820115328,0.4598540068,0.2173736262,0.1678569417,6.427523124,2.322274685,0.05393463373,2.665620804,-0.02255395427
afm_00018_296832d830,pair_00018,6068,predicted,3,0.2394796908,-0.8753188848,0.4381586909,0.2394796959,0.1890025691,6.385953357,2.322274685,0.05393463373,2.665620804,-0.02255395427
afm_00022_ccd7c49224,pair_00022,6078,mean,0,0.2253623158,-0.8356323242,0.4895479083,0.2253623224,0.168402094,6.265488873,-0.4899278581,0.1322426796,-0.5265292525,0.1195024103
afm_00022_ccd7c49224,pair_00022,6078,oracle,0,0.196486637,-0.7767030001,0.5608389378,0.1964866325,0.1469550146,6.368130889,-0.4899278581,0.1322426796,-0.5265292525,0.1195024103
afm_00022_ccd7c49224,pair_00022,6078,predicted,0,0.1878872216,-0.8254970908,0.6529865861,0.1878872358,0.1357292409,6.21321755,-0.4899278581,0.1322426796,-0.5265292525,0.1195024103
afm_00022_ccd7c49224,pair_00022,6078,predicted,1,0.2305711061,-0.8624445796,0.5247953534,0.2305711018,0.1767218984,6.191167049,-0.4899278581,0.1322426796,-0.5265292525,0.1195024103
afm_00022_ccd7c49224,pair_00022,6078,predicted,2,0.2312879264,-0.8813673854,0.531206727,0.2312879241,0.1792423447,6.470890401,-0.4899278581,0.1322426796,-0.5265292525,0.1195024103
afm_00022_ccd7c49224,pair_00022,6078,predicted,3,0.1976209581,-0.7250392437,0.5502558351,0.1976209698,0.1458712975,6.358111587,-0.4899278581,0.1322426796,-0.5265292525,0.1195024103
