video_path,sample_id,sample_dir,matched_video_glob,selected_for_processing,discovery_reason
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6011 - Copy/videos/N6011 - Copy_raw_crop_256x256.mp4,N6011 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6011 - Copy,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6018 - Copy/videos/N6018 - Copy_raw_crop_256x256.mp4,N6018 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6018 - Copy,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6019 - Copy/videos/N6019 - Copy_raw_crop_256x256.mp4,N6019 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6019 - Copy,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6022 - Copy/videos/N6022 - Copy_raw_crop_256x256.mp4,N6022 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6022 - Copy,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6023 - Copy/videos/N6023 - Copy_raw_crop_256x256.mp4,N6023 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6023 - Copy,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6027 - Copy/videos/N6027 - Copy_raw_crop_256x256.mp4,N6027 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6027 - Copy,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6028 - Copy/videos/N6028 - Copy_raw_crop_256x256.mp4,N6028 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6028 - Copy,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6029 - Copy/videos/N6029 - Copy_raw_crop_256x256.mp4,N6029 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6029 - Copy,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6033 - Copy/videos/N6033 - Copy_raw_crop_256x256.mp4,N6033 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6033 - Copy,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6041 - Copy/videos/N6041 - Copy_raw_crop_256x256.mp4,N6041 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6041 - Copy,1,1,matched_video_glob
