sample_id,source_type,sample_status,sample_quality,sample_folder,frame_selection_folder,shape_input_folder,num_frames_available,num_frames_used,rejected_frame_count,accepted_csv,manual_selection_file,shape_bag_npz,sample_feature_json,sample_feature_csv,preview_grid,exposure_audit_json
N6011 - Copy,accepted_v2_fallback,GOOD,0.30089269,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6011 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6011 - Copy/frame_selection_v2,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6011 - Copy/rheed_shape_input_v2,16,16,353,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6011 - Copy/frame_selection_v2/accepted_candidate_frames.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6011 - Copy/frame_selection_v2/manual_selected_frames.txt,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6011 - Copy/rheed_shape_input_v2/shape_bag_v2.npz,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6011 - Copy/rheed_shape_input_v2/sample_shape_features_v2.json,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6011 - Copy/rheed_shape_input_v2/sample_shape_features_v2.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6011 - Copy/rheed_shape_input_v2/shape_input_overview_v2.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6011 - Copy/rheed_shape_input_v2/exposure_invariance_audit_v2.json
N6018 - Copy,accepted_v2_fallback,GOOD,0.33767328,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6018 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6018 - Copy/frame_selection_v2,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6018 - Copy/rheed_shape_input_v2,16,16,880,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6018 - Copy/frame_selection_v2/accepted_candidate_frames.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6018 - Copy/frame_selection_v2/manual_selected_frames.txt,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6018 - Copy/rheed_shape_input_v2/shape_bag_v2.npz,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6018 - Copy/rheed_shape_input_v2/sample_shape_features_v2.json,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6018 - Copy/rheed_shape_input_v2/sample_shape_features_v2.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6018 - Copy/rheed_shape_input_v2/shape_input_overview_v2.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6018 - Copy/rheed_shape_input_v2/exposure_invariance_audit_v2.json
N6019 - Copy,accepted_v2_fallback,GOOD,0.33346242,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6019 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6019 - Copy/frame_selection_v2,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6019 - Copy/rheed_shape_input_v2,16,16,876,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6019 - Copy/frame_selection_v2/accepted_candidate_frames.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6019 - Copy/frame_selection_v2/manual_selected_frames.txt,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6019 - Copy/rheed_shape_input_v2/shape_bag_v2.npz,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6019 - Copy/rheed_shape_input_v2/sample_shape_features_v2.json,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6019 - Copy/rheed_shape_input_v2/sample_shape_features_v2.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6019 - Copy/rheed_shape_input_v2/shape_input_overview_v2.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6019 - Copy/rheed_shape_input_v2/exposure_invariance_audit_v2.json
N6022 - Copy,accepted_v2_fallback,GOOD,0.30743809,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6022 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6022 - Copy/frame_selection_v2,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6022 - Copy/rheed_shape_input_v2,16,16,794,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6022 - Copy/frame_selection_v2/accepted_candidate_frames.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6022 - Copy/frame_selection_v2/manual_selected_frames.txt,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6022 - Copy/rheed_shape_input_v2/shape_bag_v2.npz,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6022 - Copy/rheed_shape_input_v2/sample_shape_features_v2.json,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6022 - Copy/rheed_shape_input_v2/sample_shape_features_v2.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6022 - Copy/rheed_shape_input_v2/shape_input_overview_v2.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6022 - Copy/rheed_shape_input_v2/exposure_invariance_audit_v2.json
N6023 - Copy,accepted_v2_fallback,GOOD,0.33766994,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6023 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6023 - Copy/frame_selection_v2,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6023 - Copy/rheed_shape_input_v2,16,16,1005,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6023 - Copy/frame_selection_v2/accepted_candidate_frames.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6023 - Copy/frame_selection_v2/manual_selected_frames.txt,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6023 - Copy/rheed_shape_input_v2/shape_bag_v2.npz,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6023 - Copy/rheed_shape_input_v2/sample_shape_features_v2.json,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6023 - Copy/rheed_shape_input_v2/sample_shape_features_v2.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6023 - Copy/rheed_shape_input_v2/shape_input_overview_v2.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6023 - Copy/rheed_shape_input_v2/exposure_invariance_audit_v2.json
N6027 - Copy,accepted_v2_fallback,USABLE,0.27199269,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6027 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6027 - Copy/frame_selection_v2,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6027 - Copy/rheed_shape_input_v2,16,16,165,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6027 - Copy/frame_selection_v2/accepted_candidate_frames.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6027 - Copy/frame_selection_v2/manual_selected_frames.txt,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6027 - Copy/rheed_shape_input_v2/shape_bag_v2.npz,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6027 - Copy/rheed_shape_input_v2/sample_shape_features_v2.json,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6027 - Copy/rheed_shape_input_v2/sample_shape_features_v2.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6027 - Copy/rheed_shape_input_v2/shape_input_overview_v2.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6027 - Copy/rheed_shape_input_v2/exposure_invariance_audit_v2.json
N6028 - Copy,accepted_v2_fallback,GOOD,0.33294956,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6028 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6028 - Copy/frame_selection_v2,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6028 - Copy/rheed_shape_input_v2,16,16,685,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6028 - Copy/frame_selection_v2/accepted_candidate_frames.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6028 - Copy/frame_selection_v2/manual_selected_frames.txt,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6028 - Copy/rheed_shape_input_v2/shape_bag_v2.npz,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6028 - Copy/rheed_shape_input_v2/sample_shape_features_v2.json,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6028 - Copy/rheed_shape_input_v2/sample_shape_features_v2.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6028 - Copy/rheed_shape_input_v2/shape_input_overview_v2.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6028 - Copy/rheed_shape_input_v2/exposure_invariance_audit_v2.json
N6029 - Copy,accepted_v2_fallback,GOOD,0.32484476,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6029 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6029 - Copy/frame_selection_v2,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6029 - Copy/rheed_shape_input_v2,16,16,524,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6029 - Copy/frame_selection_v2/accepted_candidate_frames.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6029 - Copy/frame_selection_v2/manual_selected_frames.txt,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6029 - Copy/rheed_shape_input_v2/shape_bag_v2.npz,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6029 - Copy/rheed_shape_input_v2/sample_shape_features_v2.json,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6029 - Copy/rheed_shape_input_v2/sample_shape_features_v2.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6029 - Copy/rheed_shape_input_v2/shape_input_overview_v2.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6029 - Copy/rheed_shape_input_v2/exposure_invariance_audit_v2.json
N6033 - Copy,accepted_v2_fallback,GOOD,0.31169936,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6033 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6033 - Copy/frame_selection_v2,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6033 - Copy/rheed_shape_input_v2,16,16,703,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6033 - Copy/frame_selection_v2/accepted_candidate_frames.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6033 - Copy/frame_selection_v2/manual_selected_frames.txt,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6033 - Copy/rheed_shape_input_v2/shape_bag_v2.npz,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6033 - Copy/rheed_shape_input_v2/sample_shape_features_v2.json,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6033 - Copy/rheed_shape_input_v2/sample_shape_features_v2.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6033 - Copy/rheed_shape_input_v2/shape_input_overview_v2.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6033 - Copy/rheed_shape_input_v2/exposure_invariance_audit_v2.json
N6041 - Copy,accepted_v2_fallback,GOOD,0.30434281,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6041 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6041 - Copy/frame_selection_v2,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6041 - Copy/rheed_shape_input_v2,16,16,483,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6041 - Copy/frame_selection_v2/accepted_candidate_frames.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6041 - Copy/frame_selection_v2/manual_selected_frames.txt,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6041 - Copy/rheed_shape_input_v2/shape_bag_v2.npz,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6041 - Copy/rheed_shape_input_v2/sample_shape_features_v2.json,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6041 - Copy/rheed_shape_input_v2/sample_shape_features_v2.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6041 - Copy/rheed_shape_input_v2/shape_input_overview_v2.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6041 - Copy/rheed_shape_input_v2/exposure_invariance_audit_v2.json
