cross_validation_fold,growth_run_id,method,true_rq_nm,generated_rq_nm,rq_absolute_error_nm,condition_descriptor_mae_z,generated_pairwise_l1,real_pairwise_l1,diversity_ratio,unit_l1,unit_rmse,ssim,gradient_mae,physical_ra_error_nm,physical_robust_height_range_error_nm,physical_histogram_wasserstein_nm,reconstructed_rq_nm,rq_architectural_consistency_error_nm,normalized_psd_log_distance,psd_low_band_error,psd_mid_band_error,psd_high_band_error,psd_slope_error,correlation_length_abs_error_nm,correlation_length_relative_error,anisotropy_error,skewness_error,kurtosis_error,height_quantile_error,ra_rq_error,physical_psd_distance,physical_correlation_length_error_nm,ssim_penalty,composite_score,nearest_training_l1,max_training_ssim,exact_training_pixel_equality,generated_mean_gradient,real_mean_gradient,mean_gradient_relative_error,generated_rms_gradient,real_rms_gradient,rms_gradient_relative_error,generated_laplacian_rms,real_laplacian_rms,laplacian_rms_relative_error,generated_edge_energy_ratio,real_edge_energy_ratio,edge_energy_ratio_relative_error,generated_wrap_discontinuity_ratio,real_wrap_discontinuity_ratio,wrap_discontinuity_ratio_relative_error,generated_high_psd_fraction,real_high_psd_fraction,high_psd_fraction_relative_error,generated_robust_height_range,real_robust_height_range,robust_height_range_relative_error,generated_skewness,real_skewness,skewness_relative_error,generated_kurtosis,real_kurtosis,kurtosis_relative_error,sharpness_ratio,afm_texture_gate_pass
0,6022,M10_dense_island_spectral_pareto,1.6493401527404783,2.648130141143079,0.9987899884026008,1.1447196006774902,1.1559122204780579,1.0623674392700195,1.0880531327958578,1.0486410856246948,1.3468788862228394,0.010400769159546344,32.56035444196177,0.05753932051901245,0.260915231704713,0.25003180450363227,1.6493385997697179,1.5529707604322596e-06,0.5251659209366528,0.0006987773504181227,0.0006888011920721513,9.976158345931921e-06,0.1025490003229308,7.874015748031496,0.14285714285714285,0.33333333333333326,0.9268439406723514,2.01014558910064,0.21898456434320113,0.03488626631788572,0.5251659209366528,7.874015748031496,0.9895992308404536,6.837142558123162,1.0486629009246826,0.04038483693028639,False,0.27802273631095886,0.24846458435058594,0.11896323992262046,0.3371555954217911,0.3801034092903137,0.11298981492618013,0.36483433842658997,0.49094733595848083,0.2568768344280336,0.9885242283344269,0.8516755104064941,0.16068175761284548,1.0622673034667969,7.265835285186768,0.8537996993088329,5.902361947789272e-05,8.08952885750083e-05,0.2703701226905887,4.745389391183854,4.5777729749679565,0.03661527496720615,-0.03122785999871182,-0.9570237980236759,0.9673698187409763,3.0982691387714856,5.000395656952083,0.38039520243484304,1.1189632399226204,True
0,6022,M12a_edge_preserving_terrace,1.6493401527404783,2.648130141143079,0.9987899884026008,1.6592562198638916,1.1576274037361145,1.0623674392700195,1.089667624349962,1.1351401805877686,1.4624419212341309,0.006055619874070955,31.374837982466747,0.10714735229533101,0.055224165916441414,0.3933923584594885,1.6493386182962002,1.534444278084024e-06,0.8540419283703874,0.001006626651063658,0.0009653936017328146,4.123304933095568e-05,0.24757762888985102,15.748031496062993,0.2857142857142857,0.20833333333333326,1.2712225038065683,2.432611226558355,0.3823137736107622,0.06496376795073511,0.8540419283703874,15.748031496062993,0.993944380125929,6.759350250487245,1.0253573656082153,0.041842389451433294,False,0.23981550335884094,0.24846458435058594,0.034810115954155695,0.31185345351696014,0.3801034092903137,0.1795562841721999,0.27617739140987396,0.49094733595848083,0.43746025045498943,0.9769628942012787,0.8516755104064941,0.14710694655877382,1.1510432362556458,7.265835285186768,0.8415814299283199,2.052605083911048e-05,8.08952885750083e-05,0.7462639518236198,4.316572754383087,4.5777729749679565,0.057058360476405556,0.14087359945710992,-0.9570237980236759,1.1471996827539965,2.508102381894327,5.000395656952083,0.4984192144061049,0.9651898840458443,True
1,6028,M10_dense_island_spectral_pareto,6.072564601898193,3.8505077535448904,2.222056848353303,0.6029493808746338,1.1362637281417847,1.1072558164596558,1.026198021496856,1.149587631225586,1.4603924751281738,-0.006562311323789252,36.352391972076006,0.04220618997318226,0.3777124977111761,0.5232325838311489,6.072558470040791,6.131857402280616e-06,0.6920448252478518,0.0010144042323770863,0.0009980697932619957,1.633443911517566e-05,0.23912626168710815,7.874015748031496,0.16666666666666666,0.0,0.4437594181730002,0.20388355020048943,0.1852870361294063,0.006950307135598521,0.6920448252478518,7.874015748031496,1.0065623113237891,7.648207795208013,1.0379949808120728,0.03666673994788912,False,0.2751348316669464,0.3109492063522339,0.11517757226470625,0.33111248910427094,0.4175356328487396,0.20698387621393058,0.35887080430984497,0.467657208442688,0.2326199664388899,1.0055505633354187,1.0470943450927734,0.03967529951054594,0.9581502377986908,5.333611965179443,0.8203562156276109,4.975465546968808e-05,7.500562889716899e-05,0.3366543791279908,4.8003498816490175,4.928185555934906,0.02593970394072092,0.17720929502229926,-0.2918466770149447,1.6071999751198978,3.2083204373338807,3.57313104792202,0.10209830137640702,0.8848224277352937,True
1,6028,M12a_edge_preserving_terrace,6.072564601898193,3.8505077535448904,2.222056848353303,0.9031754732131958,1.1571733355522156,1.1072558164596558,1.0450821918029443,1.1205663681030273,1.4243929386138916,0.0010335953683861373,34.94976693102639,0.194957591551014,2.988888607025146,0.8670521176114003,6.07255869624558,5.905652613158452e-06,0.9100569452410028,0.0013239322676666943,0.0012769816168029281,4.6950650863999065e-05,0.08337648267763242,15.748031496062993,0.3333333333333333,0.1428571428571428,0.543392949662034,0.9297916782039866,0.22463074871471944,0.03210465530997331,0.9100569452410028,15.748031496062993,0.9989664046316139,7.479895055881282,1.0563194751739502,0.041267250679583915,False,0.24747133255004883,0.3109492063522339,0.20414226023230056,0.3242341876029968,0.4175356328487396,0.22345744388130595,0.2837902009487152,0.467657208442688,0.39316619988870743,0.9928974211215973,1.0470943450927734,0.05175935122290652,0.9553722143173218,5.333611965179443,0.8208770678192411,2.2771622750976745e-05,7.500562889716899e-05,0.6964011490098146,4.207397855520249,4.928185555934906,0.14625823078975356,0.2607760891035136,-0.2918466770149447,1.8935379760728264,2.4686328494530843,3.57313104792202,0.3091121438468552,0.7958577397676995,True
2,6029,M10_dense_island_spectral_pareto,2.561024904251098,2.1009254802611124,0.4600994239899858,0.28510260581970215,1.1253448724746704,1.0970065593719482,1.025832400782495,1.1383476257324219,1.4375083446502686,0.00835589453620154,35.599995491136454,0.005953683990794989,0.8381676864624019,0.1309505641669667,2.561022388616159,2.515634939026512e-06,0.8274189203323429,0.00178599230493115,0.0017308580682076885,5.513423672323328e-05,0.0752657022124188,23.62204724409449,0.6,0.125,0.10700346949511995,0.16415465318524225,0.10711188766040995,0.002324727066766341,0.8274189203323429,23.62204724409449,0.9916441054637984,7.633455968022435,1.0528111457824707,0.03667229233197837,False,0.26325421035289764,0.33592918515205383,0.21634016337776915,0.32623662054538727,0.42805883288383484,0.23786966771009194,0.3102136254310608,0.510769784450531,0.392654704966978,0.9982325434684753,0.9801638126373291,0.018434399024106658,1.0643768906593323,4.758741855621338,0.7763322905607876,2.867702346717344e-05,8.534350720412351e-05,0.6639811931025509,4.68150879740715,4.748620142936707,0.014132809849905734,-0.0020198665165078664,0.02843638546901522,1.0710310569783472,3.0868039912801093,3.2065898112639726,0.03735614064607975,0.7836598366222308,True
2,6029,M12a_edge_preserving_terrace,2.561024904251098,2.1009254802611124,0.4600994239899858,0.6375982165336609,1.151678442955017,1.0970065593719482,1.0498373351699641,1.1485998630523682,1.4237867593765259,-0.0035096994868779696,35.426170282326886,0.09952802852046849,1.9294396114349368,0.28636254765363556,2.5610223445837836,2.5596673145500404e-06,1.035733384870574,0.001893004747703264,0.0018288836449630859,6.412110274024657e-05,0.24588580541610483,23.62204724409449,0.6,0.1428571428571428,0.19632975870736596,0.7707971278520045,0.21404000389522765,0.03886257768831902,1.035733384870574,23.62204724409449,1.003509699486878,7.678411042459522,1.0666580200195312,0.03703131650390784,False,0.23871885985136032,0.33592918515205383,0.2893774330940986,0.32029716670513153,0.42805883288383484,0.2517449890070305,0.270332008600235,0.510769784450531,0.47073609906065783,0.9765164256095886,0.9801638126373291,0.0037212014774616557,1.1063154935836792,4.758741855621338,0.7675193302875156,1.9845350365587705e-05,8.534350720412351e-05,0.767465024396972,4.1864414727687835,4.748620142936707,0.11838779545340786,0.221845195075532,0.02843638546901522,6.801455473912406,2.434603917461264,3.2065898112639726,0.2407498118689548,0.7106225669059014,True
3,6033,M10_dense_island_spectral_pareto,2.5392303466796875,3.4526657731807577,0.9134354265010702,0.2967510521411896,1.1436444520950317,0.8999233543872833,1.2708242835565557,1.174527645111084,1.484596610069275,-0.008595799525950394,34.99960096262216,0.02203049814352598,0.26154682159423714,0.08228212299149007,2.5392278602520473,2.4864276402247754e-06,1.0345894745566355,0.0019826542928467195,0.0019195311862224018,6.312310662392872e-05,0.07227950458526422,31.496062992125985,0.6666666666666666,0.10000000000000009,0.16150779452027766,0.04158296698565067,0.08876576873340748,0.008676053869923539,1.0345894745566355,31.496062992125985,1.0085957995259505,7.591138146820696,1.0732269287109375,0.034567043642023294,False,0.24159851670265198,0.33288364112377167,0.27422532423928386,0.2980554848909378,0.4170430302619934,0.28531239401436737,0.2777738720178604,0.5166290402412415,0.4623339952238204,0.951532393693924,1.0336682796478271,0.07946058476505351,0.9741308391094208,5.55627965927124,0.8246793000269559,2.028976420080318e-05,7.675429832060583e-05,0.7356530559884475,4.617828374505043,4.667455363273621,0.010632557765645369,0.176480715006222,0.2926978699155083,0.39705500741373395,3.0581365129184515,3.05547718716744,0.000870347113760249,0.7257746757607162,True
3,6033,M12a_edge_preserving_terrace,2.5392303466796875,3.4526657731807577,0.9134354265010702,0.5821642875671387,1.1509910225868225,0.8999233543872833,1.2789878348812047,1.1756086349487305,1.462769865989685,-0.002323942843536213,35.582558988773926,0.07942058732807,1.365839095115664,0.17530645943903966,2.5392277901239786,2.556555708910224e-06,1.1530003091310925,0.0020066021215601193,0.0019433947254254252,6.32073961341343e-05,0.11507944856982188,23.62204724409449,0.5,0.0,0.004691606350468558,0.6460204074785065,0.12172817552728331,0.03127742504135389,1.1530003091310925,23.62204724409449,1.0023239428435362,7.70590351110756,1.074222207069397,0.03952628734626175,False,0.22898808866739273,0.33288364112377167,0.3121077145925259,0.30427029728889465,0.4170430302619934,0.270410304908472,0.2597614824771881,0.5166290402412415,0.4971992237294835,0.9315514266490936,1.0336682796478271,0.09879073877890975,1.0812132358551025,5.55627965927124,0.8054069805412001,1.754966216945359e-05,7.675429832060583e-05,0.7713527117901862,4.127756569981575,4.667455363273621,0.1156301991742064,0.3169804536958873,0.2926978699155083,0.08296125895070076,2.448805653699166,3.05547718716744,0.19855213974962935,0.6878922854074742,True
4,6047,M10_dense_island_spectral_pareto,3.348536252975464,3.6142957008871974,0.26575944791173356,0.7786043882369995,1.05153226852417,1.102499008178711,0.9537716231248713,1.1024975776672363,1.3989661931991577,0.009949560611504859,39.54251627655098,0.09413493587896848,1.0018315362930306,0.1696922374538543,3.3485329272635638,3.325711900092898e-06,1.1052109259635419,0.0043230189695043775,0.004204053645690689,0.00011896532381378783,0.15412443908368756,39.37007874015748,1.25,0.25,0.04860248925910787,0.5144114052770417,0.07102129914930881,0.02811226479149853,1.1052109259635419,39.37007874015748,0.9900504393884951,8.662224771910504,0.9616336822509766,0.052093925689055576,False,0.24946681410074234,0.39140765368938446,0.36264196228846446,0.30448175966739655,0.5027503967285156,0.3943679375516909,0.31098219752311707,0.6040414273738861,0.48516412380002694,0.9685400426387787,0.9567328691482544,0.0123411391740265,0.9494245052337646,4.3265016078948975,0.7805560724856134,3.333189983980927e-05,0.00013667912734787374,0.7561302849485321,4.437801983356476,4.901745465993882,0.09464862789307166,-0.09901360153138261,-0.40445865330085984,0.7551947505058557,2.7206442475688406,3.5980931908667824,0.24386498535535814,0.6373580377115355,False
4,6047,M12a_edge_preserving_terrace,3.348536252975464,3.6142957008871974,0.26575944791173356,1.232313871383667,1.04454904794693,1.102499008178711,0.9474376305086094,1.113184928894043,1.3760206699371338,0.023796634488274283,39.09345535023128,0.1990681211034402,2.6492700958251962,0.3882918926819965,3.3485329613495187,3.2916259451454266e-06,1.6305951687803935,0.0045594251456830825,0.004421503279453369,0.00013792186622993798,0.5085434409969465,39.37007874015748,1.25,0.125,0.15951059936407525,0.990497027771545,0.17061969228354923,0.05944929571286173,1.6305951687803935,39.37007874015748,0.9762033655117257,8.743582911074078,1.0421468019485474,0.043954046874040614,False,0.22496752440929413,0.39140765368938446,0.4252347334326141,0.29997751116752625,0.5027503967285156,0.4033271517645095,0.24762117117643356,0.6040414273738861,0.590059290712916,0.9725337624549866,0.9567328691482544,0.01651547032224278,1.0265955924987793,4.3265016078948975,0.7627192393444459,1.6358250674516167e-05,0.00013667912734787374,0.8803163951077813,3.986558574438095,4.901745465993882,0.18670632694107522,0.13777921991934922,-0.40445865330085984,1.3406509387174887,2.2622084085183345,3.5980931908667824,0.3712757595438023,0.5747652665673859,False
