growth_run_id,source_split,full_cohort_role
6022,train,outer_loo_once
6028,val,outer_loo_once
6029,train,outer_loo_once
6033,test,outer_loo_once
6047,train,outer_loo_once
6048,test,outer_loo_once
6056,val,outer_loo_once
6057,train,outer_loo_once
6062,train,outer_loo_once
6063,train,outer_loo_once
6070,train,outer_loo_once
6072,train,outer_loo_once
6078,train,outer_loo_once
6080,train,outer_loo_once
6081,train,outer_loo_once
6082,val,outer_loo_once
6084,test,outer_loo_once
6085,train,outer_loo_once
6090,train,outer_loo_once
6094,test,outer_loo_once
6095,train,outer_loo_once
6099,test,outer_loo_once
6101,train,outer_loo_once
