cross_validation_fold,growth_run_id,method,island_feature_mae_z,island_feature_rmse_z,afm_prior_mahalanobis,held_real_afm_prior_mahalanobis,afm_likeness_percentile,held_real_likeness_percentile,boundary_ratio_q70_absolute_error,median_area_q70_log_absolute_error,component_count_q70_log_absolute_error,generated__log_component_count_q55,true__log_component_count_q55,generated__log_component_count_q70,true__log_component_count_q70,generated__log_component_count_q82,true__log_component_count_q82,generated__log_median_area_q55,true__log_median_area_q55,generated__log_median_area_q70,true__log_median_area_q70,generated__log_median_area_q82,true__log_median_area_q82,generated__median_solidity_q70,true__median_solidity_q70,generated__median_eccentricity_q70,true__median_eccentricity_q70,generated__boundary_gradient_ratio_q55,true__boundary_gradient_ratio_q55,generated__boundary_gradient_ratio_q70,true__boundary_gradient_ratio_q70,generated__boundary_gradient_ratio_q82,true__boundary_gradient_ratio_q82,generated__log_valley_component_count_q18,true__log_valley_component_count_q18,generated__log_valley_median_area_q18,true__log_valley_median_area_q18,generated__gradient_p90,true__gradient_p90,generated__laplacian_rms,true__laplacian_rms,generated__flat_fraction,true__flat_fraction
0,6022,M10_dense_island_spectral_pareto,1.7118807356242427,2.143134791950047,5.064439492995043,7.094787498047355,8.695652173913043,8.695652173913043,0.13583552837371826,1.216777141710613,0.3179943833599981,2.3978952727983707,1.9459101490553132,2.8029010331479984,2.4849066497880004,3.2384861814448413,2.833213344056216,3.274288602412643,3.8918202981106265,3.3050114353384275,4.5217885770490405,3.3919456458798756,3.912023005428146,0.9176839464882942,0.875,0.8139671049376368,0.8332163932399214,1.360099196434021,1.4820700883865356,1.3552907705307007,1.491126298904419,1.3076128959655762,1.3911908864974976,3.257356345436265,2.6390573296152584,3.4578617243156566,4.343805421853684,0.4836038053035736,0.5511141419410706,0.22152961790561676,0.2186577022075653,0.0767822265625,0.2662353515625
0,6022,M12a_edge_preserving_terrace,1.2234983961389498,1.4537092830707379,6.704034309944465,7.094787498047355,8.695652173913043,8.695652173913043,0.13718783855438232,0.7608589509482258,0.40546510810816416,2.1383330595080277,1.9459101490553132,2.8903717578961645,2.4849066497880004,3.020127355638707,2.833213344056216,3.326753991308297,3.8918202981106265,3.7609296261008147,4.5217885770490405,3.846512874208944,3.912023005428146,0.8927839578454333,0.875,0.8097877008100625,0.8332163932399214,1.6879948377609253,1.4820700883865356,1.6283141374588013,1.491126298904419,1.5236146450042725,1.3911908864974976,2.967447097809794,2.6390573296152584,3.9361322915633834,4.343805421853684,0.4792673885822296,0.5511141419410706,0.18621615320444107,0.2186577022075653,0.142730712890625,0.2662353515625
1,6028,M10_dense_island_spectral_pareto,1.4631221479294563,1.627915828715604,3.9658587757385004,2.4980538589809727,26.08695652173913,60.869565217391305,0.2504425644874573,0.37771384686321063,0.36036197416508964,2.0126758453675744,2.3978952727983707,2.858513850703111,3.2188758248682006,3.090008326826286,3.4339872044851463,3.484895334950795,4.7140245909001735,4.029005400401043,4.406719247264253,3.604485182858251,4.102643365036796,0.8948069852941176,0.8669724770642202,0.7896060308951514,0.8187819961961784,1.4041600227355957,1.2051212787628174,1.3658244013786316,1.1153818368911743,1.300233244895935,0.9653605818748474,3.044522437723423,3.7612001156935624,3.448852471564318,3.7013019741124933,0.4762887507677078,0.6298157572746277,0.2065010443329811,0.2675158679485321,0.08642578125,0.10345458984375
1,6028,M12a_edge_preserving_terrace,1.8576770163689464,2.3405051095604126,5.921219173727199,2.4980538589809727,13.043478260869565,60.869565217391305,0.5116181373596191,0.3486600314595707,0.5501067850175416,2.1383330595080277,2.3978952727983707,2.668769039850659,3.2188758248682006,2.943052015725078,3.4339872044851463,3.811820973255786,4.7140245909001735,4.058059215804683,4.406719247264253,4.3324185166644,4.102643365036796,0.9092832785288028,0.8669724770642202,0.7958794644104095,0.8187819961961784,1.7222838997840881,1.2051212787628174,1.6269999742507935,1.1153818368911743,1.4415298104286194,0.9653605818748474,3.0433873634561532,3.7612001156935624,3.5516610312630563,3.7013019741124933,0.4921976327896118,0.6298157572746277,0.18545863032341003,0.2675158679485321,0.159637451171875,0.10345458984375
2,6029,M10_dense_island_spectral_pareto,1.414109060513634,1.8208136206533707,5.302696625501894,2.298860172232482,13.043478260869565,78.26086956521739,0.09383487701416016,0.6531451164745348,0.39059984102899303,2.4414009612931853,2.4849066497880004,3.0433873634561532,3.4339872044851463,3.0433873634561532,3.5263605246161616,3.412865721751773,4.848116364598481,3.735112067949983,4.388257184424518,3.246119917510236,4.197201947661808,0.8975972540045767,0.8620689655172413,0.7602396308785696,0.8168899108266634,1.3473907709121704,1.330017328262329,1.3358207941055298,1.2419859170913696,1.3286141753196716,1.154369592666626,3.1549591391132585,3.6375861597263857,3.8171686178141595,3.58351893845611,0.4837496876716614,0.6206924915313721,0.20922566950321198,0.28249117732048035,0.08575439453125,0.08056640625
2,6029,M12a_edge_preserving_terrace,1.6633315458709648,1.8549670390845008,5.093806507988574,2.298860172232482,13.043478260869565,78.26086956521739,0.38478654623031616,0.3934769597575851,0.6347762249859592,2.282174095733918,2.4849066497880004,2.799210979499187,3.4339872044851463,3.1567740231385475,3.5263605246161616,3.7197796545666595,4.848116364598481,3.9947802246669326,4.388257184424518,3.8007011672918667,4.197201947661808,0.9141439681262691,0.8620689655172413,0.7739548217495094,0.8168899108266634,1.6457561254501343,1.330017328262329,1.6267724633216858,1.2419859170913696,1.4141539931297302,1.154369592666626,3.0868930519509683,3.6375861597263857,3.7331137781077404,3.58351893845611,0.4933370500802994,0.6206924915313721,0.19358643889427185,0.28249117732048035,0.1373291015625,0.08056640625
3,6033,M10_dense_island_spectral_pareto,1.0576071469021477,1.2523624019727502,3.4531210046702623,2.5092048821011006,30.434782608695652,60.869565217391305,0.11756962537765503,0.5784575048526195,0.664976303593249,2.5649493574615367,2.6390573296152584,2.8903717578961645,3.5553480614894135,3.090008326826286,3.5263605246161616,3.292740880880369,4.976733742420574,3.9324020016642303,4.51085950651685,3.8394523125933104,4.069026754237811,0.891786331112756,0.8677156177156178,0.8066625447190008,0.7928278926368593,1.3761820793151855,1.3430805206298828,1.3561027646064758,1.2385331392288208,1.32781183719635,1.2252105474472046,3.1771850203986753,3.713572066704308,3.5263605246161616,3.5263605246161616,0.485078826546669,0.6502653956413269,0.20609930157661438,0.29801705479621887,0.084197998046875,0.07080078125
3,6033,M12a_edge_preserving_terrace,1.844825210676004,2.068994575237971,6.845721591989621,2.5092048821011006,8.695652173913043,60.869565217391305,0.3393300771713257,0.49338199426577045,0.6711875635925275,2.282174095733918,2.6390573296152584,2.884160497896886,3.5553480614894135,3.113268334643733,3.5263605246161616,3.1567740231385475,4.976733742420574,4.017477512251079,4.51085950651685,3.894727283043337,4.069026754237811,0.9081873315363882,0.8677156177156178,0.7092393565135068,0.7928278926368593,1.6595120429992676,1.3430805206298828,1.5778632164001465,1.2385331392288208,1.4175060391426086,1.2252105474472046,3.170179651863876,3.713572066704308,3.973131821790271,3.5263605246161616,0.5054062902927399,0.6502653956413269,0.1945716068148613,0.29801705479621887,0.13128662109375,0.07080078125
4,6047,M10_dense_island_spectral_pareto,1.4127523754595726,1.702900735062777,4.575672721511675,1.5112095566951345,13.043478260869565,100.0,0.19197607040405273,1.1459717829364777,0.5402968915827158,2.3502401828962083,2.2975599250672953,2.908555579981602,3.448852471564318,3.1780538303479458,3.5614333292995415,3.3212434006836284,4.619561086700818,3.422939937632025,4.568911720568503,3.3714403178959516,3.959132343047637,0.8951296150824823,0.8882567368032483,0.8114474538466812,0.8193906873265215,1.3745580315589905,1.2353611588478088,1.3199169039726257,1.127940833568573,1.37303626537323,1.0942679047584534,3.020127355638707,3.7494348669884654,3.7197796545666595,3.604115086616335,0.4688606560230255,0.6803716719150543,0.20448808372020721,0.30773158371448517,0.093780517578125,0.091400146484375
4,6047,M12a_edge_preserving_terrace,2.048001986028955,2.4359333322448866,6.107361904260175,1.5112095566951345,13.043478260869565,100.0,0.4714048504829407,0.9224028806821116,0.7430294456367981,2.302585092994046,2.2975599250672953,2.7058230259275198,3.448852471564318,2.943052015725078,3.5614333292995415,3.668468456853809,4.619561086700818,3.646508839886391,4.568911720568503,3.6768611651998153,3.959132343047637,0.8907613005551149,0.8882567368032483,0.7366235122422483,0.8193906873265215,1.6679331064224243,1.2353611588478088,1.5993456840515137,1.127940833568573,1.4750347137451172,1.0942679047584534,2.7647145437557112,3.7494348669884654,3.7726948748059117,3.604115086616335,0.4753068834543228,0.6803716719150543,0.18492485582828522,0.30773158371448517,0.14923095703125,0.091400146484375
