outer_fold,held_growth_run_id,held_source_split,fit_growth_count,fit_growth_run_ids,held_overlap_with_fit,condition_inner_growth_count,spectral_train_growth_count,spectral_train_growth_run_ids,island_train_growth_count,island_train_growth_run_ids,spectral_selected_alpha,island_selected_alpha,runtime_seconds
0,6022,train,22,"['6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,1.0,8.000203847885132
1,6028,val,22,"['6022', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,3.0,7.1501829624176025
2,6029,train,22,"['6022', '6028', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6028', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6028', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,3.0,7.481129884719849
3,6033,test,22,"['6022', '6028', '6029', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6028', '6029', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6028', '6029', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,3.0,7.589958906173706
4,6047,train,22,"['6022', '6028', '6029', '6033', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6028', '6029', '6033', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6028', '6029', '6033', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,3.0,7.41546106338501
5,6048,test,22,"['6022', '6028', '6029', '6033', '6047', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6028', '6029', '6033', '6047', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6028', '6029', '6033', '6047', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,3.0,7.643651008605957
6,6056,val,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6028', '6029', '6033', '6047', '6048', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,3.0,6.9515159130096436
7,6057,train,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,3.0,7.433032274246216
8,6062,train,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,3.0,7.536025285720825
9,6063,train,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,3.0,7.142168045043945
