growth_run_id,source_split,full_cohort_role
6022,train,outer_loo_once
6028,train,outer_loo_once
6029,test,outer_loo_once
6033,train,outer_loo_once
6047,val,outer_loo_once
6048,train,outer_loo_once
6056,test,outer_loo_once
6057,train,outer_loo_once
6062,train,outer_loo_once
6063,train,outer_loo_once
6070,train,outer_loo_once
6072,train,outer_loo_once
6078,train,outer_loo_once
6080,val,outer_loo_once
6081,val,outer_loo_once
6082,test,outer_loo_once
6084,train,outer_loo_once
6085,val,outer_loo_once
6090,train,outer_loo_once
6094,train,outer_loo_once
6095,train,outer_loo_once
6099,val,outer_loo_once
6101,train,outer_loo_once
N6342,train,outer_loo_once
N6358,train,outer_loo_once
N6382,test,outer_loo_once
N6389,train,outer_loo_once
N6390,val,outer_loo_once
