cross_validation_fold,growth_run_id,method,island_feature_mae_z,island_feature_rmse_z,afm_prior_mahalanobis,held_real_afm_prior_mahalanobis,afm_likeness_percentile,held_real_likeness_percentile,boundary_ratio_q70_absolute_error,median_area_q70_log_absolute_error,component_count_q70_log_absolute_error,generated__log_component_count_q55,true__log_component_count_q55,generated__log_component_count_q70,true__log_component_count_q70,generated__log_component_count_q82,true__log_component_count_q82,generated__log_median_area_q55,true__log_median_area_q55,generated__log_median_area_q70,true__log_median_area_q70,generated__log_median_area_q82,true__log_median_area_q82,generated__median_solidity_q70,true__median_solidity_q70,generated__median_eccentricity_q70,true__median_eccentricity_q70,generated__boundary_gradient_ratio_q55,true__boundary_gradient_ratio_q55,generated__boundary_gradient_ratio_q70,true__boundary_gradient_ratio_q70,generated__boundary_gradient_ratio_q82,true__boundary_gradient_ratio_q82,generated__log_valley_component_count_q18,true__log_valley_component_count_q18,generated__log_valley_median_area_q18,true__log_valley_median_area_q18,generated__gradient_p90,true__gradient_p90,generated__laplacian_rms,true__laplacian_rms,generated__flat_fraction,true__flat_fraction
0,6022,M10_dense_island_spectral_pareto,1.785292495204845,2.294897770822849,4.143022573756558,7.294994239978944,14.285714285714286,7.142857142857143,0.19360965490341187,1.1640968838817,0.582875795752869,2.3502401828962083,1.9459101490553132,3.0677824455408693,2.4849066497880004,3.2769667020129054,2.833213344056216,3.5167532421438485,3.8918202981106265,3.3576916931673404,4.5217885770490405,3.5974060780199997,3.912023005428146,0.9024802572468908,0.875,0.8047654471520806,0.8332163932399214,1.3115987181663513,1.4820700883865356,1.297516644001007,1.491126298904419,1.2787740230560303,1.3911908864974976,3.1269144057877365,2.6390573296152584,3.268345798795653,4.343805421853684,0.5033196657896042,0.5511141419410706,0.2237996608018875,0.2186577022075653,0.077239990234375,0.2662353515625
0,6022,M12a_edge_preserving_terrace,1.1455079790546896,1.5355972926777188,5.40330522156938,7.294994239978944,7.142857142857143,7.142857142857143,0.05042904615402222,0.6624458294498075,0.37688590118819,2.0794415416798357,1.9459101490553132,2.8617925509761903,2.4849066497880004,3.0868930519509683,2.833213344056216,3.801075839471257,3.8918202981106265,3.859342747599233,4.5217885770490405,3.7325413681997737,3.912023005428146,0.8933519437551696,0.875,0.7816533453170623,0.8332163932399214,1.6508073210716248,1.4820700883865356,1.5415553450584412,1.491126298904419,1.3681789636611938,1.3911908864974976,2.772588722239781,2.6390573296152584,3.824846311855757,4.343805421853684,0.4983348399400711,0.5511141419410706,0.19825927168130875,0.2186577022075653,0.129638671875,0.2662353515625
1,6028,M10_dense_island_spectral_pareto,1.122745476091184,1.3355084232125891,3.83345041467164,2.3863925258997885,17.857142857142858,64.28571428571429,0.192188560962677,0.6026560949485527,0.15326258012663052,2.1972245773362196,2.3978952727983707,3.06561324474157,3.2188758248682006,3.255129170261575,3.4339872044851463,3.49466763298728,4.7140245909001735,3.8040631523157007,4.406719247264253,3.668468456853809,4.102643365036796,0.8681410782703887,0.8669724770642202,0.8207714561037334,0.8187819961961784,1.3371654748916626,1.2051212787628174,1.3075703978538513,1.1153818368911743,1.283505380153656,0.9653605818748474,3.349750170080839,3.7612001156935624,3.4138146172514263,3.7013019741124933,0.48890620470046997,0.6298157572746277,0.2096204236149788,0.2675158679485321,0.077789306640625,0.10345458984375
1,6028,M12a_edge_preserving_terrace,1.6351826879421227,2.0686119198891926,4.882978333513767,2.3863925258997885,10.714285714285714,64.28571428571429,0.4120776653289795,0.746124968894514,0.3014704563368982,2.3937458713910233,2.3978952727983707,2.9174053685313024,3.2188758248682006,3.1345481418531307,3.4339872044851463,4.140482200276686,4.7140245909001735,3.6605942783697394,4.406719247264253,3.5964671106078994,4.102643365036796,0.8839238882020157,0.8669724770642202,0.7903351863483414,0.8187819961961784,1.6247143149375916,1.2051212787628174,1.5274595022201538,1.1153818368911743,1.4072479605674744,0.9653605818748474,2.9907071056272403,3.7612001156935624,3.760117278237314,3.7013019741124933,0.48783421516418457,0.6298157572746277,0.19098307192325592,0.2675158679485321,0.131134033203125,0.10345458984375
2,6029,M10_dense_island_spectral_pareto,1.2539637686474157,1.483141573775569,3.5568653424813195,2.4288282103614383,25.0,64.28571428571429,0.11254221200942993,0.7376832814965018,0.49093518876006836,2.3978952727983707,2.4849066497880004,2.943052015725078,3.4339872044851463,3.1549591391132585,3.5263605246161616,3.310036603265178,4.848116364598481,3.650573902928016,4.388257184424518,3.5804229533321497,4.197201947661808,0.910093896713615,0.8620689655172413,0.7967139380234689,0.8168899108266634,1.3958424925804138,1.330017328262329,1.3545281291007996,1.2419859170913696,1.2889591455459595,1.154369592666626,3.218075184184714,3.6375861597263857,3.4923581600591325,3.58351893845611,0.47770319879055023,0.6206924915313721,0.20338943600654602,0.28249117732048035,0.0848388671875,0.08056640625
2,6029,M12a_edge_preserving_terrace,1.8203286437948947,2.0994641658031488,6.175585175393485,2.4288282103614383,10.714285714285714,64.28571428571429,0.34866929054260254,0.8051241973576988,0.6347762249859592,2.1383330595080277,2.4849066497880004,2.799210979499187,3.4339872044851463,2.9700856263602153,3.5263605246161616,2.787974551573158,4.848116364598481,3.583132987066819,4.388257184424518,3.9695794089783982,4.197201947661808,0.8827751196172249,0.8620689655172413,0.749614008340447,0.8168899108266634,1.7118387818336487,1.330017328262329,1.5906552076339722,1.2419859170913696,1.3917167782783508,1.154369592666626,3.017740716262378,3.6375861597263857,3.5894633996534644,3.58351893845611,0.4908248335123062,0.6206924915313721,0.18874922394752502,0.28249117732048035,0.13958740234375,0.08056640625
3,6033,M10_dense_island_spectral_pareto,1.1249964826366639,1.31887333664799,3.138650371343117,2.4855079698382845,32.142857142857146,60.714285714285715,0.1599053144454956,0.9555114450274362,0.5108256237659905,2.34106561356211,2.6390573296152584,3.044522437723423,3.5553480614894135,3.06561324474157,3.5263605246161616,3.6090884192017034,4.976733742420574,3.5553480614894135,4.51085950651685,4.027578865909839,4.069026754237811,0.8910533910533911,0.8677156177156178,0.7862765190087142,0.7928278926368593,1.406203031539917,1.3430805206298828,1.3984384536743164,1.2385331392288208,1.334273338317871,1.2252105474472046,3.1567740231385475,3.713572066704308,3.65810794803505,3.5263605246161616,0.48777665197849274,0.6502653956413269,0.20819752663373947,0.29801705479621887,0.085662841796875,0.07080078125
3,6033,M12a_edge_preserving_terrace,1.8125984657670486,2.0127633683311044,5.430005776953005,2.4855079698382845,10.714285714285714,60.714285714285715,0.37185174226760864,0.6087338147527936,0.5852624351291982,2.4414009612931853,2.6390573296152584,2.9700856263602153,3.5553480614894135,3.257356345436265,3.5263605246161616,3.4138146172514263,4.976733742420574,3.902125691764056,4.51085950651685,3.7952366320257713,4.069026754237811,0.9150717703349283,0.8677156177156178,0.7581915676261324,0.7928278926368593,1.7180597186088562,1.3430805206298828,1.6103848814964294,1.2385331392288208,1.4307523965835571,1.2252105474472046,3.0677824455408693,3.713572066704308,4.070449230303926,3.5263605246161616,0.5092283487319946,0.6502653956413269,0.1965203657746315,0.29801705479621887,0.13629150390625,0.07080078125
4,6047,M10_dense_island_spectral_pareto,1.4516924046361437,1.6058364093448738,4.456209672566343,1.7371416203131353,14.285714285714286,100.0,0.1509360671043396,1.1022002077031452,0.5969612342362174,2.6590599969221085,2.2975599250672953,2.8518912373281005,3.448852471564318,3.1269144057877365,3.5614333292995415,3.2999352496064183,4.619561086700818,3.4667115128653574,4.568911720568503,3.6742937654637964,3.959132343047637,0.9082221957608955,0.8882567368032483,0.7858337809423772,0.8193906873265215,1.353691279888153,1.2353611588478088,1.2788769006729126,1.127940833568573,1.2506684064865112,1.0942679047584534,3.275540167521702,3.7494348669884654,3.2384861814448413,3.604115086616335,0.4613945186138153,0.6803716719150543,0.19870918989181519,0.30773158371448517,0.0848388671875,0.091400146484375
4,6047,M12a_edge_preserving_terrace,1.6862585599863136,2.031542806316584,5.620344595045895,1.7371416203131353,10.714285714285714,100.0,0.4094482660293579,0.7849804178365618,0.6173722314963452,2.1910133173369406,2.2975599250672953,2.8314802400679726,3.448852471564318,3.1354942159291497,3.5614333292995415,3.965013167196762,4.619561086700818,3.783931302731941,4.568911720568503,3.521033808294866,3.959132343047637,0.9182795698924731,0.8882567368032483,0.812802164129153,0.8193906873265215,1.64378821849823,1.2353611588478088,1.537389099597931,1.127940833568573,1.3422926664352417,1.0942679047584534,3.017740716262378,3.7494348669884654,3.5487744253073963,3.604115086616335,0.4751254469156265,0.6803716719150543,0.18989422917366028,0.30773158371448517,0.1351318359375,0.091400146484375
