cross_validation_fold,growth_run_id,method,true_rq_nm,generated_rq_nm,rq_absolute_error_nm,condition_descriptor_mae_z,generated_pairwise_l1,real_pairwise_l1,diversity_ratio,unit_l1,unit_rmse,ssim,gradient_mae,physical_ra_error_nm,physical_robust_height_range_error_nm,physical_histogram_wasserstein_nm,reconstructed_rq_nm,rq_architectural_consistency_error_nm,normalized_psd_log_distance,psd_low_band_error,psd_mid_band_error,psd_high_band_error,psd_slope_error,correlation_length_abs_error_nm,correlation_length_relative_error,anisotropy_error,skewness_error,kurtosis_error,height_quantile_error,ra_rq_error,physical_psd_distance,physical_correlation_length_error_nm,ssim_penalty,composite_score,nearest_training_l1,max_training_ssim,exact_training_pixel_equality,generated_mean_gradient,real_mean_gradient,mean_gradient_relative_error,generated_rms_gradient,real_rms_gradient,rms_gradient_relative_error,generated_laplacian_rms,real_laplacian_rms,laplacian_rms_relative_error,generated_edge_energy_ratio,real_edge_energy_ratio,edge_energy_ratio_relative_error,generated_wrap_discontinuity_ratio,real_wrap_discontinuity_ratio,wrap_discontinuity_ratio_relative_error,generated_high_psd_fraction,real_high_psd_fraction,high_psd_fraction_relative_error,generated_robust_height_range,real_robust_height_range,robust_height_range_relative_error,generated_skewness,real_skewness,skewness_relative_error,generated_kurtosis,real_kurtosis,kurtosis_relative_error,sharpness_ratio,afm_texture_gate_pass
0,6022,M10_dense_island_spectral_pareto,1.649340271949768,0.7238734303512717,0.9254668415984963,1.5611943006515503,1.1138843297958374,1.0623729228973389,1.0484871232956643,1.0714304447174072,1.3689740896224976,0.014240603713508585,35.116490828472735,0.05280403762955843,0.09824478626251398,0.21266163644738967,1.6493385672010685,1.7047486995380723e-06,0.44839966835077166,8.94988329886992e-05,0.00014718568600953497,5.7686853020764636e-05,0.39383951453129384,0.0,0.0,0.33333333333333326,0.9220682264502357,1.848054586615345,0.20093965434070143,0.032015247420608905,0.44839966835077166,0.0,0.9857593962864915,7.286534953979533,1.034711241722107,0.04398091223753053,False,0.3247029781341553,0.24846479296684265,0.30683697379003116,0.3844223767518997,0.3801034390926361,0.011362532445309,0.4517129212617874,0.490948349237442,0.07991762888417168,1.0095886588096619,0.8516786694526672,0.18541029031345327,0.9850824177265167,7.2657470703125,0.8644210418841144,0.00011576021725660782,8.089577829853443e-05,0.4309797086000101,4.630664398670197,4.577738639116287,0.011561551177619601,-0.05229345329656601,-0.9569965329107071,0.9453566951412924,3.06943185603148,5.000245974106004,0.3861438273383611,1.3068369737900312,True
0,6022,M12a_edge_preserving_terrace,1.649340271949768,0.7238734303512717,0.9254668415984963,1.8437957763671875,1.1149153113365173,1.0623729228973389,1.049457574931299,1.0970699787139893,1.384092092514038,0.014734423997648908,32.66725109118656,0.11023792780219366,0.5713086247444146,0.31908201631094,1.6493386299735342,1.641976233868192e-06,0.6527560697797462,0.0008423891326270194,0.0008102564534287926,3.2132679198144467e-05,0.16574845717953668,0.0,0.0,0.19047619047619047,1.0592602053329996,2.5037327777695357,0.28100292269672655,0.0668375888306929,0.6527560697797462,0.0,0.9852655760023511,6.86995403517598,1.0442862510681152,0.054945175875992604,False,0.28592605888843536,0.24846479296684265,0.15077092200580658,0.3575696349143982,0.3801034390926361,0.059283347269968104,0.32636357843875885,0.490948349237442,0.33523846460492623,1.0069849491119385,0.8516786694526672,0.18235314001591596,0.9515366554260254,7.2657470703125,0.8690380154693301,3.1460721727737375e-05,8.089577829853443e-05,0.6110956295934749,4.1960671567916865,4.577738639116287,0.08337555120846318,0.1507258075424037,-0.9569965329107071,1.1574988020948944,2.4733003555505655,5.000245974106004,0.5053642624065574,1.1507709220058067,True
1,6028,M10_dense_island_spectral_pareto,5.214306831359863,3.917994746328512,1.2963120850313512,0.9593948721885681,1.1520563960075378,1.0848188400268555,1.0619804464116958,1.1035534143447876,1.4071112871170044,0.018725756063016206,39.27822246719691,0.08130896123073406,0.40301160812378,0.5803853863716995,5.214301713730752,5.117629111595079e-06,0.6926858449928833,0.0015275995516884633,0.0014934937622912358,3.410578939714711e-05,0.09625529349783069,15.748031496062993,0.4,0.25,0.6041496661797032,0.5657984596461163,0.2165562125232203,0.015593436647476477,0.6926858449928833,15.748031496062993,0.9812742439369838,8.29406110320943,1.0493249893188477,0.040943568163679,False,0.3119455575942993,0.35580480098724365,0.12326771103495252,0.36944447457790375,0.45847636461257935,0.19419079565837408,0.4022083282470703,0.519618034362793,0.22595387063442102,1.0067851543426514,0.9928739666938782,0.014011030720339428,1.0661669373512268,4.414613723754883,0.7584914549569265,7.253540761311108e-05,0.00010087254692199481,0.28092023224908724,4.906251447200775,4.870633815526963,0.007312730339174269,-0.01138380460776372,-0.6283871835451719,0.9818840916780962,3.252761625363063,3.633104849380073,0.10468820465831279,0.8767322889650475,True
1,6028,M12a_edge_preserving_terrace,5.214306831359863,3.917994746328512,1.2963120850313512,1.2026255130767822,1.1710445880889893,1.0848188400268555,1.079484006804306,1.1127811670303345,1.4041296243667603,0.01999387499554953,38.48701012117597,0.23647348431633386,2.8297194671630876,0.9310643017366245,5.214301743196806,5.088163057109796e-06,0.8648661220691126,0.0018504443418743133,0.0017830638460075996,6.738049586673097e-05,0.22436034245661496,15.748031496062993,0.4,0.08333333333333326,0.8544458378999414,1.1339408258443733,0.3097993946501183,0.04535089641252943,0.8648661220691126,15.748031496062993,0.9800061250044505,8.201332382553892,1.0657392740249634,0.042158088484141154,False,0.2803727239370346,0.35580480098724365,0.21200410124008823,0.34810224175453186,0.45847636461257935,0.24074114038859032,0.31330054998397827,0.519618034362793,0.39705605028089835,0.9794618785381317,0.9928739666938782,0.013508349101353425,1.0572616457939148,4.414613723754883,0.7605086850283578,2.7928340734212303e-05,0.00010087254692199481,0.7231323924455936,4.383444615602494,4.870633815526963,0.10002583203265486,0.1881812779596941,-0.6283871835451719,1.2994670847645742,2.549116693905189,3.633104849380073,0.29836412666698786,0.7879958987599118,True
2,6029,M10_dense_island_spectral_pareto,2.2897632122039795,1.5620092455108656,0.7277539666931139,0.7804287075996399,1.141582190990448,1.1256049871444702,1.0141943257434476,1.0923558473587036,1.3929600715637207,0.04193384506549347,39.80037338096668,0.014154190340489148,0.1784071588516234,0.05503129727931477,2.2897609111980426,2.301005936899969e-06,0.8864486795691482,0.0027316518588255123,0.0026602496604704335,7.140219835503412e-05,0.04366300322054251,23.62204724409449,0.6,0.25,0.13316778598390405,0.543679741832392,0.025166863039900993,0.0061815080212251905,0.8864486795691482,23.62204724409449,0.9580661549345065,8.475590925013517,1.026721477508545,0.034398733604373115,False,0.29960450530052185,0.37596017122268677,0.20309509295583952,0.35679174959659576,0.47193416953086853,0.24397983313802302,0.37681983411312103,0.5733722448348999,0.34280070668292517,1.067514419555664,0.9246742129325867,0.15447625187909414,0.9371120929718018,4.1116790771484375,0.7720853025276198,5.45636826693079e-05,0.00011941604024564861,0.5430791160294217,4.636907626390458,4.740511848926545,0.021855070894833347,0.020970231341873695,-0.22847435026493504,1.0917837442914575,2.924739707447433,3.3377049457031456,0.12372730513143498,0.7969049070441605,True
2,6029,M12a_edge_preserving_terrace,2.2897632122039795,1.5620092455108656,0.7277539666931139,1.160930871963501,1.1620942950248718,1.1256049871444702,1.0324175072935406,1.1021991968154907,1.380347728729248,0.026837532401709687,38.683838048169996,0.09993075267570806,1.4054748153686525,0.2666934936479062,2.2897609359687494,2.276235230080914e-06,1.1119171006084472,0.0030201207000899455,0.0029223262034446993,9.779449664549538e-05,0.26176052393102633,23.62204724409449,0.6,0.1071428571428572,0.5133767216858375,1.0727813377674775,0.19304360309349639,0.043642395784033505,1.1119171006084472,23.62204724409449,0.9731624675982903,8.346615527040388,1.059582233428955,0.038625845255840494,False,0.27407969534397125,0.37596017122268677,0.27098741748995053,0.34356577694416046,0.47193416953086853,0.2720048703282369,0.3068636357784271,0.5733722448348999,0.46480905111340504,1.0498874187469482,0.9246742129325867,0.1354133207816516,0.9525459408760071,4.1116790771484375,0.7683316418905378,2.6096919579163565e-05,0.00011941604024564861,0.7814621928052542,4.1400469100475314,4.740511848926545,0.1266666887490186,0.1927593652588796,-0.22847435026493504,1.843680548977857,2.348188792659515,3.3377049457031456,0.29646603553663486,0.7290125825100494,True
3,6033,M10_dense_island_spectral_pareto,2.0502288341522217,1.853957014368905,0.19627181978331665,0.6471469402313232,1.1333222389221191,1.1358041763305664,0.9978148192618329,1.132786512374878,1.4210307598114014,0.024231378595098094,42.616173097050805,0.010376797015063666,0.19932270050048828,0.10034557970807345,2.0502268412163502,1.992935871442114e-06,0.7952964443388044,0.003058713542669067,0.002984152781811998,7.456076085730125e-05,0.05180133683098731,23.62204724409449,0.75,0.25,0.1934889623159144,0.19080429972711554,0.05869062905332927,0.005061287379813817,0.7952964443388044,23.62204724409449,0.975768621404902,9.055704009210292,0.9929699897766113,0.0473760564289327,False,0.30738070607185364,0.3986077606678009,0.22886422091509592,0.3671463280916214,0.49388501048088074,0.25661577026979976,0.37993089854717255,0.5912464261054993,0.357406858169525,0.9647341072559357,0.9873948097229004,0.022949991476382336,1.0433246791362762,3.97338604927063,0.737421769191596,5.3746442825139544e-05,0.0001271611040845583,0.5773358275546289,4.696270740032197,4.7722657632827765,0.015924306612443144,0.14572107278922805,-0.051724334097046236,3.8172633893328283,3.143849778548346,3.0548632373894535,0.02912946807888409,0.771135779084904,True
3,6033,M12a_edge_preserving_terrace,2.0502288341522217,1.853957014368905,0.19627181978331665,0.8947552442550659,1.1624215841293335,1.1358041763305664,1.0234348564245992,1.1449816226959229,1.419628381729126,0.019090773881073497,41.94470909565567,0.08385147233709178,0.8449648380279537,0.241096429252632,2.0502267673450105,2.0668072111540425e-06,1.0322433365123764,0.00334751916450704,0.0032500303626703747,9.748880183689179e-05,0.28656995986006173,23.62204724409449,0.75,0.08333333333333326,0.3488991467262241,0.47177429298156826,0.15176450474453834,0.04089859196843937,1.0322433365123764,23.62204724409449,0.9809092261189265,9.00697041840842,1.025016188621521,0.0481219388443643,False,0.2867741584777832,0.3986077606678009,0.28056052396636516,0.35955938696861267,0.49388501048088074,0.27197752647216267,0.32156287133693695,0.5912464261054993,0.45612716265356545,0.977395087480545,0.9873948097229004,0.01012737979163739,1.1423484683036804,3.97338604927063,0.7125000052503395,2.8244537024844125e-05,0.0001271611040845583,0.777883833046445,4.2981738972663885,4.7722657632827765,0.09934314003716897,0.2836834953743196,-0.051724334097046236,6.484526776933791,2.499051619555475,3.0548632373894535,0.1819432081381652,0.7194394760336349,True
4,6047,M10_dense_island_spectral_pareto,3.348536252975464,2.813766116072261,0.534770136903203,0.9872252941131592,1.1448155045509338,1.090125560760498,1.0501684812823604,1.081233024597168,1.366629958152771,0.008598584915630193,39.95105375902627,0.12352492619107425,1.2654553270339974,0.43798734019807756,3.348532821170477,3.4318049868531375e-06,0.7061994135960225,0.0020897777487398628,0.0020190528391316426,7.072490960832953e-05,0.0617653472290689,23.62204724409449,0.75,0.1071428571428572,0.7958138616878356,1.1246722421182445,0.2765966932156255,0.03688923095087904,0.7061994135960225,23.62204724409449,0.9914014150843699,8.530200221374843,1.0362260341644287,0.04024095863444062,False,0.2944275885820389,0.3914080858230591,0.24777336175129874,0.3500623553991318,0.5027503967285156,0.3037054616425,0.3644704073667526,0.6040412783622742,0.3966134096746924,1.013694703578949,0.9567334055900574,0.05953727303350633,0.8988503813743591,4.322832345962524,0.792069108991961,4.714134518766464e-05,0.00013667891310054274,0.6550942342291903,4.701083968877793,4.901727961301804,0.040933318619078105,-0.01680403086446954,-0.5346156427388115,0.9685680149978716,3.029762564486436,3.7726347839691003,0.19691071678587077,0.7522266382487013,True
4,6047,M12a_edge_preserving_terrace,3.348536252975464,2.813766116072261,0.534770136903203,1.337098240852356,1.1517778635025024,1.090125560760498,1.0565552308478983,1.1079962253570557,1.3805204629898071,0.0018503066791760267,39.701974998118445,0.23789315421875123,2.9180155086517345,0.6835773252336184,3.3485329103240717,3.3426513921241963e-06,0.9369550911204728,0.0023130206038514123,0.002221493973307875,9.152663054371359e-05,0.3289974259991455,23.62204724409449,0.75,0.1071428571428572,0.9939977253261085,1.6794137684300328,0.37218097008764733,0.07104392409811577,0.9369550911204728,23.62204724409449,0.9981496933208239,8.56462364180506,1.0501961708068848,0.0376529372763187,False,0.2763817459344864,0.3914080858230591,0.2938782923880928,0.34474016726017,0.5027503967285156,0.3142916057283012,0.30782172083854675,0.6040412783622742,0.4903962165083518,0.9899146258831024,0.9567334055900574,0.034681782928422784,0.9279057681560516,4.322832345962524,0.7853477317891578,2.5314059318893813e-05,0.00013667891310054274,0.814791771864088,4.199368594288826,4.901727961301804,0.1432881164679006,0.17764726187372704,-0.5346156427388115,1.3322896819173644,2.4376904460956093,3.7726347839691003,0.35384934251945466,0.7061217076119072,True
