outer_fold,held_growth_run_id,held_source_split,fit_growth_count,fit_growth_run_ids,held_overlap_with_fit,condition_inner_growth_count,spectral_train_growth_count,spectral_train_growth_run_ids,island_train_growth_count,island_train_growth_run_ids,spectral_selected_alpha,island_selected_alpha,runtime_seconds
0,6022,train,27,"['6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",False,27,27,"['6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",27,"['6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,12.919440031051636
1,6028,train,27,"['6022', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",False,27,27,"['6022', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",27,"['6022', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,12.16916823387146
2,6029,test,27,"['6022', '6028', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",False,27,27,"['6022', '6028', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",27,"['6022', '6028', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,12.34453797340393
3,6033,train,27,"['6022', '6028', '6029', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",False,27,27,"['6022', '6028', '6029', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",27,"['6022', '6028', '6029', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,12.338979005813599
4,6047,val,27,"['6022', '6028', '6029', '6033', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",False,27,27,"['6022', '6028', '6029', '6033', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",27,"['6022', '6028', '6029', '6033', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,12.19931697845459
5,6048,train,27,"['6022', '6028', '6029', '6033', '6047', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",False,27,27,"['6022', '6028', '6029', '6033', '6047', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",27,"['6022', '6028', '6029', '6033', '6047', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,12.21531081199646
6,6056,test,27,"['6022', '6028', '6029', '6033', '6047', '6048', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",False,27,27,"['6022', '6028', '6029', '6033', '6047', '6048', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",27,"['6022', '6028', '6029', '6033', '6047', '6048', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,12.06716799736023
7,6057,train,27,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",False,27,27,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",27,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,12.417420148849487
8,6062,train,27,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",False,27,27,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",27,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,12.084726095199585
9,6063,train,27,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",False,27,27,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",27,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,12.325751066207886
