growth_run_id,source_split,cohort_origin,full_cohort_role
6022,train,original_23_batch,outer_loo_once
6028,train,original_23_batch,outer_loo_once
6029,test,original_23_batch,outer_loo_once
6033,train,original_23_batch,outer_loo_once
6047,val,original_23_batch,outer_loo_once
6048,train,original_23_batch,outer_loo_once
6056,test,original_23_batch,outer_loo_once
6057,train,original_23_batch,outer_loo_once
6062,train,original_23_batch,outer_loo_once
6063,train,original_23_batch,outer_loo_once
6070,train,original_23_batch,outer_loo_once
6072,train,original_23_batch,outer_loo_once
6078,train,original_23_batch,outer_loo_once
6080,val,original_23_batch,outer_loo_once
6081,val,original_23_batch,outer_loo_once
6082,test,original_23_batch,outer_loo_once
6084,train,original_23_batch,outer_loo_once
6085,val,original_23_batch,outer_loo_once
6090,train,original_23_batch,outer_loo_once
6094,train,original_23_batch,outer_loo_once
6095,train,original_23_batch,outer_loo_once
6099,val,original_23_batch,outer_loo_once
6101,train,original_23_batch,outer_loo_once
N6342,train,extra_five_batch,outer_loo_once
N6358,train,extra_five_batch,outer_loo_once
N6382,test,extra_five_batch,outer_loo_once
N6389,train,extra_five_batch,outer_loo_once
N6390,val,extra_five_batch,outer_loo_once
