method,growth_group_count,median_cross_validation_fold,mean_cross_validation_fold,median_true_rq_nm,mean_true_rq_nm,median_generated_rq_nm,mean_generated_rq_nm,median_rq_absolute_error_nm,mean_rq_absolute_error_nm,median_condition_descriptor_mae_z,mean_condition_descriptor_mae_z,median_generated_pairwise_l1,mean_generated_pairwise_l1,median_real_pairwise_l1,mean_real_pairwise_l1,median_diversity_ratio,mean_diversity_ratio,median_unit_l1,mean_unit_l1,median_unit_rmse,mean_unit_rmse,median_ssim,mean_ssim,median_gradient_mae,mean_gradient_mae,median_physical_ra_error_nm,mean_physical_ra_error_nm,median_physical_robust_height_range_error_nm,mean_physical_robust_height_range_error_nm,median_physical_histogram_wasserstein_nm,mean_physical_histogram_wasserstein_nm,median_reconstructed_rq_nm,mean_reconstructed_rq_nm,median_rq_architectural_consistency_error_nm,mean_rq_architectural_consistency_error_nm,median_normalized_psd_log_distance,mean_normalized_psd_log_distance,median_psd_low_band_error,mean_psd_low_band_error,median_psd_mid_band_error,mean_psd_mid_band_error,median_psd_high_band_error,mean_psd_high_band_error,median_psd_slope_error,mean_psd_slope_error,median_correlation_length_abs_error_nm,mean_correlation_length_abs_error_nm,median_correlation_length_relative_error,mean_correlation_length_relative_error,median_anisotropy_error,mean_anisotropy_error,median_skewness_error,mean_skewness_error,median_kurtosis_error,mean_kurtosis_error,median_height_quantile_error,mean_height_quantile_error,median_ra_rq_error,mean_ra_rq_error,median_physical_psd_distance,mean_physical_psd_distance,median_physical_correlation_length_error_nm,mean_physical_correlation_length_error_nm,median_ssim_penalty,mean_ssim_penalty,median_composite_score,mean_composite_score,median_nearest_training_l1,mean_nearest_training_l1,median_max_training_ssim,mean_max_training_ssim,median_exact_training_pixel_equality,mean_exact_training_pixel_equality,median_generated_mean_gradient,mean_generated_mean_gradient,median_real_mean_gradient,mean_real_mean_gradient,median_mean_gradient_relative_error,mean_mean_gradient_relative_error,median_generated_rms_gradient,mean_generated_rms_gradient,median_real_rms_gradient,mean_real_rms_gradient,median_rms_gradient_relative_error,mean_rms_gradient_relative_error,median_generated_laplacian_rms,mean_generated_laplacian_rms,median_real_laplacian_rms,mean_real_laplacian_rms,median_laplacian_rms_relative_error,mean_laplacian_rms_relative_error,median_generated_edge_energy_ratio,mean_generated_edge_energy_ratio,median_real_edge_energy_ratio,mean_real_edge_energy_ratio,median_edge_energy_ratio_relative_error,mean_edge_energy_ratio_relative_error,median_generated_wrap_discontinuity_ratio,mean_generated_wrap_discontinuity_ratio,median_real_wrap_discontinuity_ratio,mean_real_wrap_discontinuity_ratio,median_wrap_discontinuity_ratio_relative_error,mean_wrap_discontinuity_ratio_relative_error,median_generated_high_psd_fraction,mean_generated_high_psd_fraction,median_real_high_psd_fraction,mean_real_high_psd_fraction,median_high_psd_fraction_relative_error,mean_high_psd_fraction_relative_error,median_generated_robust_height_range,mean_generated_robust_height_range,median_real_robust_height_range,mean_real_robust_height_range,median_robust_height_range_relative_error,mean_robust_height_range_relative_error,median_generated_skewness,mean_generated_skewness,median_real_skewness,mean_real_skewness,median_skewness_relative_error,mean_skewness_relative_error,median_generated_kurtosis,mean_generated_kurtosis,median_real_kurtosis,mean_real_kurtosis,median_kurtosis_relative_error,mean_kurtosis_relative_error,median_sharpness_ratio,mean_sharpness_ratio,median_afm_texture_gate_pass,mean_afm_texture_gate_pass,protocol
M10_dense_island_spectral_pareto,15,7.0,7.0,3.0923656225204468,3.800836408138275,2.5904786702816622,2.6374777568616063,0.8293883576494947,1.5765457578219306,0.876477837562561,1.0194131990273794,1.116083741188049,1.1163726131121317,1.1030480861663818,1.0834972381591796,1.0090436603314064,1.0336647442555555,1.120781660079956,1.128052576382955,1.4096394777297974,1.420054848988851,0.0128628785034902,0.01158542309198735,37.5900249877771,37.662316251077314,0.0361827873909201,0.06527777435620676,0.3780277395248426,1.0446681431134548,0.1408058915770595,0.3569773879775403,3.092362733581442,3.800832636958751,3.0738702805344076e-06,3.7711795245402396e-06,0.8597532946386037,0.9381227865575433,0.0016854917594615,0.00298200601094216,0.0016306935942861,0.0028655886606032735,5.8013607220407584e-05,0.00011641735033885171,0.1404687471371621,0.2550463850201495,31.496062992125985,37.795275590551185,0.64,0.7119365079365081,0.1666666666666667,0.552487838958427,0.2987533416864255,0.36949010241893987,0.3123387635334596,0.5225148442613858,0.1225671817042999,0.14011834359253253,0.0135954040332841,0.016226554008487482,0.8597532946386037,0.9381227865575433,31.496062992125985,37.795275590551185,0.9871371214965098,0.9884145769080127,8.10627941529057,8.111743422396534,1.045172929763794,1.0337704737981162,0.0366346362639499,0.039525534388399106,0.0,0.0,0.2625067383050918,0.2734042376279831,0.3343275785446167,0.33937942584355674,0.2504425854764929,0.24128427323805493,0.3227216005325317,0.33189689815044404,0.4313251078128814,0.43588460485140484,0.2530705770908765,0.26752657953974013,0.3087610900402069,0.3460270896553993,0.4963996857404709,0.5474741905927658,0.3574157597401597,0.37730063193150387,1.0117546319961548,1.0050114750862122,1.0176516771316528,1.0216771880785624,0.0531560375748528,0.044682748400888025,0.9642997086048126,0.9803120891253153,4.758741855621338,4.866178337732951,0.7857437720476502,0.7909168475145638,2.750728081330877e-05,5.5476680281976105e-05,8.677488393813045e-05,0.00013813195028572633,0.7262297259101183,0.7591292472033507,4.687254858016967,4.70042379951477,4.812647156715393,4.752988234639167,0.0431986654495432,0.04902681072464924,0.0960767021270163,0.08361488722687709,0.0284363854690152,-0.1207158266219915,1.1249880904839895,1.531302878138343,3.0255554206965876,3.045874030257711,3.432365839864702,3.4578611039231344,0.1645609840752406,0.1512890476994114,0.8079704827839672,0.8317674383195275,1.0,0.8666666666666667,prior_M12_strict15_train14
M10_dense_island_spectral_pareto,15,10.0,10.0,2.4095938205718994,3.1638487418492636,2.861394532579381,3.496977495331433,0.9977812847079819,1.3491780792248036,0.9595191478729248,0.9870752453804016,1.1254804730415344,1.1225645820299783,1.1059975624084473,1.1101075371106466,1.00893903187622,1.011421638052609,1.1180669069290161,1.1232833464940388,1.416074275970459,1.4186242421468098,0.008487001155287738,0.011788412469645434,41.25539928737918,42.31689066462816,0.03963060613387204,0.06866295244301153,0.5130911827087408,0.7600085686047879,0.14752492842905512,0.2965631086126359,2.4095914616050105,3.1638455989938103,2.429305135720483e-06,3.1428554535454605e-06,0.8535874455699082,0.930601273329413,0.0020039023910225495,0.003958641375701314,0.0019395762429504286,0.0038341318707405124,6.432614807207571e-05,0.00013776345273316915,0.32962548900594335,0.33050171397622813,23.62204724409449,20.472440944881892,0.6,0.5966666666666668,0.1428571428571428,0.15190476190476188,0.43910161743699727,0.4232871711095839,0.5557087588250638,0.6434395636575769,0.15061838657728258,0.14724606026318673,0.01699925947975467,0.018678140080732843,0.8535874455699082,0.930601273329413,23.62204724409449,20.472440944881892,0.9915129988447122,0.9882115875303545,8.818146404341649,9.012633249383635,1.038814902305603,1.0320772329966228,0.04203246280228485,0.04162122658924599,0.0,0.0,0.30633409321308136,0.30966719388961794,0.37596017122268677,0.3943335513273875,0.20172558665665752,0.20616872209062562,0.363212525844574,0.36757792135079703,0.4735013544559479,0.4994357188542684,0.24272426676218212,0.25294685472253464,0.3983954191207886,0.4071584810813268,0.5733722448348999,0.6243212441603343,0.3403333977851447,0.32037459185022876,0.9951997101306915,1.0009262442588807,0.9862783849239349,0.9848074078559875,0.026237569121169795,0.04091064174091077,0.9598927199840546,0.9809156616528829,4.353774785995483,4.336764860153198,0.7718890036016776,0.7697496575824706,6.907836679854368e-05,8.644603179419997e-05,0.0001280369394978046,0.00020341165797873857,0.5831042418765071,0.5273716080825478,4.689183834791184,4.694627136309942,4.864914407730103,4.81344209488233,0.0372538744664688,0.03703745350033506,0.03443586746305574,0.03268195852009838,-0.4051111575678658,-0.38443913848353833,1.1507209339828497,1.350716356363282,3.0766348318543253,3.0528370483996454,3.6171039684444453,3.5734869368638242,0.17330624025020527,0.15547336598351572,0.7982744133433425,0.7938312779093744,1.0,1.0,current_full27_train26_same15
M16b_baseline_dense_microisland_terrace,15,10.0,10.0,2.4095938205718994,3.1638487418492636,2.861394532579381,3.496977495331433,0.9977812847079819,1.3491780792248036,1.2982804775238037,1.385006352265676,1.1405271291732788,1.1402534206708272,1.1059975624084473,1.1101075371106466,1.0232119412250789,1.0273099932132248,1.1294840574264526,1.1342408974965414,1.4152710437774658,1.4175424496332805,0.010273393276452457,0.010715697393651365,40.62548741025539,41.532369602653155,0.09513125219938745,0.1369769657790707,1.3831856536865246,1.6546624185244239,0.32491091763127244,0.5268484439319912,2.409591462290437,3.1638456063679885,2.358281462555567e-06,3.135481274189426e-06,1.0490727010362653,1.3539381852256605,0.0028531925134085423,0.004465537605323459,0.002728387997207741,0.004282275392001294,9.442748998583903e-05,0.0001832622133221394,0.3123581560744233,0.6631887733544014,23.62204724409449,20.47244094488189,0.6,0.59,0.25,0.20746031746031743,0.5664735186795304,0.6265546969772051,1.1772004471364008,1.1295861770888824,0.25542981041329244,0.24246167127238144,0.04550958074000033,0.0464677740981603,1.0490727010362653,1.3539381852256605,23.62204724409449,20.47244094488189,0.9897266067235475,0.9892843026063486,8.755103058719335,8.995453057049822,1.0397844314575195,1.0382396380106609,0.0418213036867022,0.042150839646209456,0.0,0.0,0.27686649560928345,0.28635685543219247,0.37596017122268677,0.3943335513273875,0.2527629297799694,0.267240209742994,0.3475618213415146,0.35347766478856407,0.4735013544559479,0.4994357188542684,0.2687504837067776,0.28273372587228196,0.308332622051239,0.3080807377894719,0.5733722448348999,0.6243212441603343,0.4720748340524633,0.48273069870113516,1.0101785063743591,1.0034691095352173,0.9862783849239349,0.9848074078559875,0.027066816205303545,0.04089951467466232,1.061943531036377,1.0333886206150056,4.353774785995483,4.336764860153198,0.7552693735933597,0.7574919481425758,2.6400466018197652e-05,2.361022473660613e-05,0.0001280369394978046,0.00020341165797873857,0.783653559725658,0.8135168812755726,4.2386575204133985,4.238440399607023,4.864914407730103,4.81344209488233,0.12425277943533082,0.11832503938029326,0.22039609807252078,0.21378141535590073,-0.4051111575678658,-0.38443913848353833,1.5473585970247319,9.129546468880864,2.4227915406460356,2.450725821386523,3.6171039684444453,3.5734869368638242,0.3205663945884728,0.30142567526765046,0.7472370702200306,0.732759790257006,1.0,0.7333333333333333,current_full27_train26_same15
M17a_fixed_sparse_peak_terrace,15,10.0,10.0,2.4095938205718994,3.1638487418492636,2.861394532579381,3.496977495331433,0.9977812847079819,1.3491780792248036,1.2974321842193604,1.2851923783620198,1.137132167816162,1.1383870323499043,1.1059975624084473,1.1101075371106466,1.0232119412250789,1.0256203644334705,1.1294840574264526,1.1325993537902832,1.4152710437774658,1.4174800237019858,0.010273393276452457,0.010456048753102713,40.62548741025539,41.775997625641544,0.09381926918428496,0.12933788527586917,1.3591371583938594,1.49576920334498,0.295118939917804,0.507371949596713,2.409591462290437,3.163845601464249,2.358281462555567e-06,3.140385014092454e-06,0.9757883815769749,1.0977730515993238,0.0022892791533338785,0.0041976088504445935,0.0022057380808430324,0.004055795569392557,9.442748998583903e-05,0.00015716158881282595,0.21804552606833916,0.3360520513013411,23.62204724409449,20.47244094488189,0.6,0.59,0.25,0.20746031746031743,0.566452789793674,0.6066127055234917,1.126082826707921,1.0519335247073438,0.19838434431435817,0.2319214516965052,0.04419540114188247,0.04356797103601143,0.9757883815769749,1.0977730515993238,23.62204724409449,20.47244094488189,0.9897266067235475,0.9895439512468973,8.755103058719335,8.965774053487271,1.0386035442352295,1.037964105606079,0.041639365256829826,0.04196124144356313,0.0,0.0,0.27686649560928345,0.29063692688941956,0.37596017122268677,0.3943335513273875,0.2527629297799694,0.25687982169131757,0.3475618213415146,0.35853208700815836,0.4735013544559479,0.4994357188542684,0.2687504837067776,0.2733714238349954,0.31007568538188934,0.3461239606142044,0.5733722448348999,0.6243212441603343,0.41119442346926705,0.4281698743567724,1.0125959515571594,1.0036054809888204,0.9862783849239349,0.9848074078559875,0.027066816205303545,0.04132493608772854,1.061943531036377,1.0338816006978353,4.353774785995483,4.336764860153198,0.7552693735933597,0.7574760297676992,2.6998076023880826e-05,6.438219896355865e-05,0.0001280369394978046,0.00020341165797873857,0.7833225887085796,0.7638434385771096,4.2386575204133985,4.303377340912819,4.864914407730103,4.81344209488233,0.12425277943533082,0.10597808239851013,0.21021759903929094,0.19670348543880825,-0.4051111575678658,-0.38443913848353833,1.5473585970247319,9.098538722936118,2.4227915406460356,2.541881883694303,3.6171039684444453,3.5734869368638242,0.2941272561851891,0.27885791397410553,0.7472370702200306,0.7431201783086824,1.0,0.7333333333333333,current_full27_train26_same15
M17b_topology_sparse_peak_terrace,15,10.0,10.0,2.4095938205718994,3.1638487418492636,2.861394532579381,3.496977495331433,0.9977812847079819,1.3491780792248036,1.2974321842193604,1.2855189124743143,1.137132167816162,1.138448965549469,1.1059975624084473,1.1101075371106466,1.0232119412250789,1.0256764591573637,1.1294840574264526,1.1326138814290365,1.4152710437774658,1.4175139983495078,0.010273393276452457,0.010463679373258046,40.62548741025539,41.77459567709091,0.09381828265378123,0.12949369138879188,1.3591371583938594,1.501330279509226,0.29511847941432157,0.5073082302038991,2.409591462290437,3.1638456105884503,2.358281462555567e-06,3.1312608130088884e-06,0.9757883815769749,1.0980477014622736,0.0022892791533338785,0.00419748603557355,0.0022057380808430324,0.004055876017646511,9.442748998583903e-05,0.0001570747993436791,0.21804314493926302,0.33603175871447416,23.62204724409449,20.47244094488189,0.6,0.59,0.25,0.20746031746031743,0.5664553724981193,0.6057768270958144,1.1211378780602006,1.0529583359793195,0.19642071522240134,0.23150221998634798,0.04419540114188247,0.0436179836447423,0.9757883815769749,1.0980477014622736,23.62204724409449,20.47244094488189,0.9897266067235475,0.9895363206267421,8.755103058719335,8.965512410917489,1.038748025894165,1.0379578351974488,0.041639365256829826,0.04196616613470314,0.0,0.0,0.27686649560928345,0.29061895807584126,0.37596017122268677,0.3943335513273875,0.2527629297799694,0.25692548239691104,0.3475618213415146,0.358503512541453,0.4735013544559479,0.4994357188542684,0.2687504837067776,0.27342627547931847,0.31007568538188934,0.3461369603872299,0.5733722448348999,0.6243212441603343,0.41119442346926705,0.4281620792706245,1.0109551548957825,1.0033984224001566,0.9862783849239349,0.9848074078559875,0.027066816205303545,0.04133022451940596,1.061943531036377,1.0341367463270823,4.353774785995483,4.336764860153198,0.7552693735933597,0.7574093444280156,2.6998076023880826e-05,6.458076881035711e-05,0.0001280369394978046,0.00020341165797873857,0.7833202780397748,0.7637823078676129,4.2386575204133985,4.298540373047193,4.864914407730103,4.81344209488233,0.12425277943533082,0.1066565562722664,0.21021759903929094,0.19590309511233048,-0.4051111575678658,-0.38443913848353833,1.5473585970247319,9.097006720556054,2.4227915406460356,2.540253813170304,3.6171039684444453,3.5734869368638242,0.2941272561851891,0.2792589358598555,0.7472370702200306,0.743074517603089,1.0,0.7333333333333333,current_full27_train26_same15
M17c_topology_sparse_finetexture_terrace,15,10.0,10.0,2.4095938205718994,3.1638487418492636,2.861394532579381,3.496977495331433,0.9977812847079819,1.3491780792248036,1.2982804775238037,1.3538185914357503,1.137132167816162,1.1385534286499024,1.1059975624084473,1.1101075371106466,1.0232119412250789,1.025771140026759,1.1251194477081299,1.128117020924886,1.4070112705230713,1.412362559636434,0.010273393276452457,0.010450617584092976,40.62548741025539,42.05305682534611,0.09381878880424743,0.12931657550032694,1.3591371583938594,1.5108697818120311,0.29511428459617806,0.5062722752882072,2.409591462290437,3.1638456208616694,2.358281462555567e-06,3.1209875937706264e-06,1.0137159483348752,1.1293510201238388,0.0022892791533338785,0.003937438563619766,0.0022057380808430324,0.0037944217939176574,9.442748998583903e-05,0.00019848696288641304,0.2840457794562239,0.3749407097317142,23.62204724409449,19.947506561679795,0.6,0.5733333333333334,0.25,0.20523809523809522,0.566443313406243,0.599481842655977,1.0887695591950135,1.0490213590174742,0.19623838610414948,0.22785565462371424,0.04419540114188247,0.04334704858439066,1.0137159483348752,1.1293510201238388,23.62204724409449,19.947506561679795,0.9897266067235475,0.9895493824159071,8.755103058719335,9.025883290874855,1.0397844314575195,1.0379936695098877,0.041639365256829826,0.041442457396192324,0.0,0.0,0.27686649560928345,0.29641261796156565,0.37596017122268677,0.3943335513273875,0.2527629297799694,0.25636856163753763,0.3475618213415146,0.36493818859259286,0.4735013544559479,0.4994357188542684,0.2557090316115238,0.26153548403891297,0.31007568538188934,0.38032756745815277,0.5733722448348999,0.6243212441603343,0.41119442346926705,0.43518668606156835,1.0135142505168915,1.0034240762392679,0.9862783849239349,0.9848074078559875,0.027066816205303545,0.04092224614964009,1.061943531036377,1.0332108636697133,4.353774785995483,4.336764860153198,0.7552693735933597,0.7576339312808702,2.6998076023880826e-05,0.0001374570872389118,0.0001280369394978046,0.00020341165797873857,0.7830935027482546,0.9858879835906572,4.2386575204133985,4.288989625414214,4.864914407730103,4.81344209488233,0.12425277943533082,0.10801194294336071,0.21021759903929094,0.18896827065833613,-0.4051111575678658,-0.38443913848353833,1.5473585970247319,9.083422040553021,2.4227915406460356,2.537732284967582,3.6171039684444453,3.5734869368638242,0.2941272561851891,0.2799106029137431,0.7472370702200306,0.7570786868869013,1.0,0.7333333333333333,current_full27_train26_same15
M17d_multiscale_texture_no_peak_terrace,15,10.0,10.0,2.4095938205718994,3.1638487418492636,2.861394532579381,3.496977495331433,0.9977812847079819,1.3491780792248036,1.2982804775238037,1.3639565308888753,1.137132167816162,1.1389444867769878,1.1059975624084473,1.1101075371106466,1.0232119412250789,1.026125324647036,1.1251194477081299,1.1285617431004842,1.4070112705230713,1.4111074129740397,0.009577772839937762,0.009723029196554397,40.62548741025539,42.24060412812032,0.09513125219938745,0.13179353196242685,1.3591371583938594,1.5464934136072792,0.29511368365789403,0.509531257703309,2.409591462290437,3.163845621588163,2.358281462555567e-06,3.1202611004014597e-06,1.0137159483348752,1.1475846993958911,0.002888426327494975,0.003922505289653714,0.0022057380808430324,0.0037788687279930845,9.442748998583903e-05,0.00023476356698334068,0.3123581560744233,0.3902488508779867,23.62204724409449,19.947506561679795,0.6,0.5733333333333334,0.25,0.20523809523809522,0.5664412676137914,0.5947873915185813,1.1772004471364008,1.0630763779780734,0.19622905133558172,0.22841639862546612,0.04419540114188247,0.04414682104326617,1.0137159483348752,1.1475846993958911,23.62204724409449,19.947506561679795,0.9904222271600622,0.9902769708034456,8.755103058719335,9.069019725650328,1.0397844314575195,1.0381215492884317,0.041639365256829826,0.040998428190820016,0.0,0.0,0.27686649560928345,0.29892222781976063,0.37596017122268677,0.3943335513273875,0.2527629297799694,0.25629885010596476,0.3475618213415146,0.3676115969816844,0.4735013544559479,0.4994357188542684,0.2557090316115238,0.25900069283831395,0.31007568538188934,0.39258519013722737,0.5733722448348999,0.6243212441603343,0.4602910311146317,0.45275559229663587,1.0135142505168915,1.003296931584676,0.9862783849239349,0.9848074078559875,0.027066816205303545,0.04077801233183302,1.061943531036377,1.0330226282278696,4.353774785995483,4.336764860153198,0.7552693735933597,0.7576731387996488,2.6998076023880826e-05,0.000166892247442801,0.0001280369394978046,0.00020341165797873857,0.7835879531863572,1.0947059169901376,4.2386575204133985,4.283751879175505,4.864914407730103,4.81344209488233,0.12425277943533082,0.10908757027441407,0.21021759903929094,0.18124290146563132,-0.4051111575678658,-0.38443913848353833,1.5473585970247319,9.068633476849344,2.4227915406460356,2.5186775408337914,3.6171039684444453,3.5734869368638242,0.2941272561851891,0.2845419938565359,0.7472370702200306,0.7631461083155268,1.0,0.7333333333333333,current_full27_train26_same15
M17e_broad_sparse_peak_terrace,15,10.0,10.0,2.4095938205718994,3.1638487418492636,2.861394532579381,3.496977495331433,0.9977812847079819,1.3491780792248036,1.1195359230041504,1.2566737492879232,1.137132167816162,1.1368194301923116,1.1059975624084473,1.1101075371106466,1.0201001585901288,1.0242006407529596,1.1294840574264526,1.1318511962890625,1.4152710437774658,1.4178680817286173,0.010273393276452457,0.010353720113980284,40.62548741025539,41.639043285622314,0.09382763143335704,0.12569349852417397,1.3591371583938594,1.5123007465998326,0.2951259950977101,0.5092263058754583,2.409591462290437,3.163845618897378,2.358281462555567e-06,3.1229518849743936e-06,0.9757883815769749,1.1123741814814443,0.0022892791533338785,0.004259511334105048,0.0022057380808430324,0.004116629537245965,9.442748998583903e-05,0.00015898664862876134,0.21795843655005154,0.3375129309099982,23.62204724409449,20.47244094488189,0.6,0.59,0.25,0.20746031746031743,0.5664521275368551,0.632500864563836,1.0887695591950135,0.9631337185277895,0.24261835087622924,0.23519962945225698,0.04419540114188247,0.041950952571067575,0.9757883815769749,1.1123741814814443,23.62204724409449,20.47244094488189,0.9897266067235475,0.9896462798860196,8.755103058719335,8.943265483975336,1.0378572940826416,1.0370449384053548,0.04179498516182891,0.042023916603057605,0.0,0.0,0.27686649560928345,0.2880845695734024,0.37596017122268677,0.3943335513273875,0.2527629297799694,0.2630010087450963,0.3475618213415146,0.3558610608180364,0.4735013544559479,0.4994357188542684,0.2687504837067776,0.27828579828867606,0.31007568538188934,0.3406342963377635,0.5733722448348999,0.6243212441603343,0.41119442346926705,0.4359101418716434,1.0101785063743591,1.003046194712321,0.9862783849239349,0.9848074078559875,0.027066816205303545,0.04260310565658751,1.061943531036377,1.0324488043785096,4.353774785995483,4.336764860153198,0.7552693735933597,0.7578906264627735,2.6998076023880826e-05,6.418572626243651e-05,0.0001280369394978046,0.00020341165797873857,0.7832808402517655,0.7652894870188169,4.2386575204133985,4.31104227312406,4.864914407730103,4.81344209488233,0.12425277943533082,0.10739478736958204,0.2234066323426853,0.22235397274941615,-0.4051111575678658,-0.38443913848353833,1.5473585970247319,9.14504721761273,2.4227915406460356,2.638203920030184,3.6171039684444453,3.5734869368638242,0.2941272561851891,0.2593813442994311,0.7472370702200306,0.7369989912549038,1.0,0.7333333333333333,current_full27_train26_same15
M17f_broad_sparse_finetexture_terrace,15,10.0,10.0,2.4095938205718994,3.1638487418492636,2.861394532579381,3.496977495331433,0.9977812847079819,1.3491780792248036,1.2982804775238037,1.3203907171885172,1.137132167816162,1.1377697348594666,1.1059975624084473,1.1101075371106466,1.0232119412250789,1.025061258243463,1.1294840574264526,1.1322219133377076,1.4152710437774658,1.4176639080047608,0.010273393276452457,0.010405986654762738,40.62548741025539,41.875824590285376,0.09381919075724143,0.12784365049170265,1.3591371583938594,1.5132835307121266,0.29512055065418563,0.5074215634543331,2.409591462290437,3.1638456085281197,2.358281462555567e-06,3.133321143330055e-06,1.011941255006166,1.1202046684192288,0.0022892791533338785,0.00404247253495067,0.0022057380808430324,0.003940753993332639,9.442748998583903e-05,0.00016919989259141618,0.2177110327167444,0.35986612296332526,23.62204724409449,20.47244094488189,0.6,0.59,0.25,0.20746031746031743,0.5664616596692864,0.6147616425178547,1.0887695591950135,1.002275153352935,0.1995046475928808,0.23139598623077787,0.04419540114188247,0.04282180571976647,1.011941255006166,1.1202046684192288,23.62204724409449,20.47244094488189,0.9897266067235475,0.9895940133452373,8.755103058719335,8.992395117851986,1.0378572940826416,1.037503759066264,0.041639365256829826,0.041932240604600456,0.0,0.0,0.27686649560928345,0.29238822956879934,0.37596017122268677,0.3943335513273875,0.2527629297799694,0.2567734955578183,0.3475618213415146,0.36050996581713357,0.4735013544559479,0.4994357188542684,0.2557090316115238,0.2697058788873135,0.31007568538188934,0.36314971645673116,0.5733722448348999,0.6243212441603343,0.41119442346926705,0.431030285366578,1.0101785063743591,1.002870003382365,0.9862783849239349,0.9848074078559875,0.027066816205303545,0.04160349425447506,1.061943531036377,1.0334438602129619,4.353774785995483,4.336764860153198,0.7552693735933597,0.7576222092681595,2.6998076023880826e-05,0.00010466733744262975,0.0001280369394978046,0.00020341165797873857,0.7831556137783654,0.8637479687332985,4.2386575204133985,4.2975509726603836,4.864914407730103,4.81344209488233,0.12425277943533082,0.10627725615539632,0.21021759903929094,0.2045114013841322,-0.4051111575678658,-0.38443913848353833,1.5473585970247319,9.112273135216157,2.4227915406460356,2.5819842005607336,3.6171039684444453,3.5734869368638242,0.2941272561851891,0.2692594371937026,0.7472370702200306,0.7473793567466313,1.0,0.7333333333333333,current_full27_train26_same15
M17g_moderate_broad_topology_terrace,15,10.0,10.0,2.4095938205718994,3.1638487418492636,2.861394532579381,3.496977495331433,0.9977812847079819,1.3491780792248036,1.2974321842193604,1.2821780920028687,1.137132167816162,1.137676684061686,1.1059975624084473,1.1101075371106466,1.0232119412250789,1.0249769479231483,1.1294840574264526,1.1322467088699342,1.4152710437774658,1.4176527659098308,0.010273393276452457,0.010412889863309523,40.62548741025539,41.76798397287595,0.09382020833307392,0.1277783764964304,1.3591371583938594,1.5076189983685806,0.29512051925308525,0.5073936790345063,2.409591462290437,3.1638456056514266,2.358281462555567e-06,3.136197836213957e-06,0.9757883815769749,1.1043098793291173,0.0022892791533338785,0.004181762856722174,0.0022057380808430324,0.00404810942688026,9.442748998583903e-05,0.00015606369000648314,0.21793466887425605,0.33648713403617325,23.62204724409449,20.47244094488189,0.6,0.59,0.25,0.20746031746031743,0.5664629995617221,0.6158566803451144,1.0887695591950135,1.0043526109108065,0.2004515989084862,0.23173380855160453,0.04419540114188247,0.04285573558599742,0.9757883815769749,1.1043098793291173,23.62204724409449,20.47244094488189,0.9897266067235475,0.9895871101366905,8.755103058719335,8.966108540670335,1.0378572940826416,1.0375881910324096,0.041639365256829826,0.042017769215601075,0.0,0.0,0.27686649560928345,0.290455440680186,0.37596017122268677,0.3943335513273875,0.2527629297799694,0.2572888317612208,0.3475618213415146,0.35845412611961364,0.4735013544559479,0.4994357188542684,0.2687504837067776,0.27350397257129183,0.31007568538188934,0.34874705970287323,0.5733722448348999,0.6243212441603343,0.41119442346926705,0.4283452119815225,1.0101785063743591,1.0029279748598734,0.9862783849239349,0.9848074078559875,0.027066816205303545,0.04199611699901744,1.061943531036377,1.033002934853236,4.353774785995483,4.336764860153198,0.7552693735933597,0.7577313012104602,2.6998076023880826e-05,7.287314319896739e-05,0.0001280369394978046,0.00020341165797873857,0.7832673450870454,0.7802742097547478,4.2386575204133985,4.298139003833136,4.864914407730103,4.81344209488233,0.12425277943533082,0.10629693806725024,0.21021759903929094,0.20641005002044954,-0.4051111575678658,-0.38443913848353833,1.5473585970247319,9.116137742817218,2.4227915406460356,2.585977232927168,3.6171039684444453,3.5734869368638242,0.2941272561851891,0.26823772184585676,0.7472370702200306,0.7427111682387791,1.0,0.7333333333333333,current_full27_train26_same15
