method,growth_count,mean_peak_signature_mae_z,median_peak_signature_mae_z
M10_dense_island_spectral_pareto,27,1.1196262184840053,1.0494267961277066
M17e_broad_sparse_peak_terrace,27,1.31964246973566,1.1719628734276575
M17a_fixed_sparse_peak_terrace,27,1.3271593813516784,1.1848265893274623
M17b_topology_sparse_peak_terrace,27,1.327411640300195,1.1848265893274623
M17g_moderate_broad_topology_terrace,27,1.327417634413327,1.1848265893274623
M17i_soft_hierarchical_island_terrace,27,1.3292763889294064,1.1719628734276575
M17f_broad_sparse_finetexture_terrace,27,1.3351981450837145,1.1719628734276575
M17h_hierarchical_sparse_island_terrace,27,1.3712449692116744,1.1848265893274623
M17c_topology_sparse_finetexture_terrace,27,1.3760082962760558,1.1848265893274623
M17d_multiscale_texture_no_peak_terrace,27,1.407802579713514,1.217663362037914
M16b_baseline_dense_microisland_terrace,27,1.4573569833013977,1.217663362037914
