method,growth_group_count,median_true_fsmi_nm,mean_true_fsmi_nm,median_generated_sq_nm,mean_generated_sq_nm,median_generated_sa_nm,mean_generated_sa_nm,median_generated_analysis_scale_nm,mean_generated_analysis_scale_nm,median_generated_height_increment_rms_31nm,mean_generated_height_increment_rms_31nm,median_generated_scale_dependent_rms_slope_31nm,mean_generated_scale_dependent_rms_slope_31nm,median_generated_curvature_relief_31nm,mean_generated_curvature_relief_31nm,median_generated_scale_dependent_rms_curvature_31nm_inv,mean_generated_scale_dependent_rms_curvature_31nm_inv,median_generated_sdq_31nm,mean_generated_sdq_31nm,median_generated_sdr_31nm_percent,mean_generated_sdr_31nm_percent,median_generated_bearing_core_span_p90_p10_nm,mean_generated_bearing_core_span_p90_p10_nm,median_generated_bearing_peak_span_p99_p90_nm,mean_generated_bearing_peak_span_p99_p90_nm,median_generated_bearing_valley_span_p10_p01_nm,mean_generated_bearing_valley_span_p10_p01_nm,median_generated_bearing_core_equivalent_nm,mean_generated_bearing_core_equivalent_nm,median_generated_island_prominence_nm,mean_generated_island_prominence_nm,median_generated_island_median_area_nm2,mean_generated_island_median_area_nm2,median_generated_island_count_per_um2,mean_generated_island_count_per_um2,median_generated_island_boundary_contrast,mean_generated_island_boundary_contrast,median_generated_functional_surface_morphology_index_nm,mean_generated_functional_surface_morphology_index_nm,median_fsmi_absolute_error_nm,mean_fsmi_absolute_error_nm
M10_dense_island_spectral_pareto,4,1.6521049895370867,2.1189346905299034,1.4561785307699788,1.9684767631904778,1.1590105833153375,1.5630190825096542,31.496062992125985,31.496062992125985,1.2464442853341464,1.6782261487569081,0.039574606059359155,0.05328368022303183,0.8891429898440664,1.1925428152137503,0.0017926234103993683,0.0024043153833228225,0.038791432833483276,0.052703165743799275,0.0756482597808287,0.195702803410587,3.6920313747414113,5.008691766705155,1.6677159558360066,2.1213318926073943,1.4936922726635284,2.167180897370912,0.9230078436853528,1.2521729416762888,1.091481806029219,1.4563668322644694,2092.5041850083703,2080.879161758324,16.75,17.0,1.267175567251162,1.276950167141067,1.1473880959910427,1.5308452001289026,0.504716893546044,0.588089490401001
M16b_baseline_dense_microisland_terrace,4,1.6521049895370867,2.1189346905299034,1.4561789345831895,1.9684773634863357,1.2004425163925672,1.6237215688773539,31.496062992125985,31.496062992125985,1.2281606259062527,1.6820934240200924,0.03899409987252352,0.053406466212637935,0.8638237232012924,1.1776141730741618,0.0017415766039392056,0.0023742173746891444,0.03882634453216675,0.05356317359816159,0.0756994973106846,0.20228919343444202,3.823450778060053,5.1647366264307335,1.3370922549382254,1.730440364251129,1.1893752045462749,1.6018911665679543,0.9558626945150133,1.2911841566076834,1.2716836321806686,1.774220368307229,2030.5040610081223,2003.3790067580137,15.5,18.375,1.4074560935296738,1.4168157010780373,1.1801040101146079,1.5979852669579089,0.47200097942247876,0.5209494235719946
M17a_fixed_sparse_peak_terrace,4,1.6521049895370867,2.1189346905299034,1.456178937431404,1.968477367766059,1.1975986216052488,1.6172595308753919,31.496062992125985,31.496062992125985,1.2322880889716026,1.688412744664865,0.039125146824848384,0.05360710464310947,0.8694892781595451,1.1861849487644887,0.0017529990709294126,0.0023914971298278046,0.038824137164979615,0.053559358527999874,0.07568935949074708,0.20227697121612068,3.807430167025403,5.129716996906621,1.3563350848163296,1.796036463499409,1.238674536700727,1.707866358016097,0.9518575417563507,1.2824292492266554,1.3170837061567955,1.7601741040933572,2263.0045260090524,2162.254324508649,16.0,16.125,1.3930965361235492,1.3693105103366994,1.1906333241053118,1.5981060337288024,0.461471665431775,0.5208286568011014
M17b_topology_sparse_peak_terrace,4,1.6521049895370867,2.1189346905299034,1.4561789222170634,1.968477353662996,1.197630889572175,1.617365783527406,31.496062992125985,31.496062992125985,1.2322521430129045,1.6883503182539281,0.03912400554065972,0.05360512260456222,0.8694239744027541,1.1860902527052444,0.0017528674103927523,0.0023913062107353607,0.038822731136275296,0.05355634914912524,0.07568427405036948,0.20226887580894515,3.8077295845787376,5.130922055547099,1.3561002208321185,1.7881593629266468,1.2389384744750784,1.7085646555319896,0.9519323961446844,1.2827305138867748,1.3195250836574353,1.7616698516923353,2263.0045260090524,2162.254324508649,16.0,16.125,1.3927066864830322,1.3690698487478357,1.1911366816876323,1.5983785149723726,0.4609683078494544,0.5205561755575313
M17c_topology_sparse_finetexture_terrace,4,1.6521049895370867,2.1189346905299034,1.4561789186422223,1.9684773509511053,1.1974255604309647,1.6172890411483782,31.496062992125985,31.496062992125985,1.2402450870512578,1.701446623984738,0.03937778151387743,0.054020930311515426,0.8794316247693554,1.2019754597519419,0.0017730440844881167,0.0024233327737923837,0.03887628647913657,0.053641828852557506,0.0758771466970144,0.20250719024823116,3.806054712851221,5.132274999972406,1.3550854770997103,1.768656934200592,1.2584716057546106,1.7269293387289295,0.9515136782128053,1.2830687499931015,1.3024008495649761,1.748381953406247,1991.7539835079672,2007.2540145080293,16.25,16.75,1.3876200390075382,1.3649311612539468,1.1905977329705335,1.6007833171390513,0.4615072565665531,0.5181513733908523
M17d_multiscale_texture_no_peak_terrace,4,1.6521049895370867,2.1189346905299034,1.4561789241781058,1.968477358843856,1.1974200499638377,1.6177558714231264,31.496062992125985,31.496062992125985,1.2431888172231107,1.706800460859455,0.03947124494683376,0.05419091463228769,0.8831247631358192,1.2084410471427725,0.0017804899130772034,0.002436368206170722,0.038898109727658836,0.053683052238779005,0.07595603322516578,0.20262045195390718,3.8083434516817136,5.136845631047747,1.3480364246143692,1.7539440050262076,1.2598009522764035,1.7317087417459462,0.9520858629204284,1.2842114077619367,1.2791110507064836,1.7328064874407312,2022.7540455080912,1984.0039680079362,15.5,16.5,1.3828683762950593,1.3617738483574262,1.187228731603348,1.6009183590497005,0.46487625793373866,0.5180163314802031
M17e_broad_sparse_peak_terrace,4,1.6521049895370867,2.1189346905299034,1.456178946331839,1.9684773702062046,1.1975921239195177,1.6145470761210365,31.496062992125985,31.496062992125985,1.229544866397823,1.6817773914796386,0.039038049508130876,0.05339643217947853,0.8654141105362392,1.1775514644528746,0.0017447830236048752,0.0023740909462700516,0.03885106710231151,0.05353210427104975,0.0757869156062114,0.20222805686136885,3.808063595195556,5.116572499775074,1.3564791297298493,1.8328831076434617,1.243337908195926,1.7025005339629602,0.952015898798889,1.2791431249437686,1.3362478736747696,1.7725286769836728,2263.0045260090524,2294.004588009176,15.25,16.25,1.3945078003682803,1.3710996864158322,1.189085186398366,1.5953941139336532,0.4630198031387206,0.5235405765962506
M17f_broad_sparse_finetexture_terrace,4,1.6521049895370867,2.1189346905299034,1.4561789460914727,1.968477369359026,1.1972998728913873,1.6157682005438094,31.496062992125985,31.496062992125985,1.2356850742572383,1.69245733785258,0.039233001107667316,0.05373552047681941,0.8734243895071283,1.1907360407180212,0.001760932747295059,0.0024006727000926206,0.03886207019371915,0.053597309762828574,0.07582588355836636,0.20239091011372212,3.804270959330047,5.122098285294217,1.3591881804406447,1.8002978699709697,1.2524187565778104,1.7149751176089008,0.9510677398325118,1.2805245713235542,1.3048512436178457,1.7477010612632526,2038.2540765081533,1999.5039990079981,16.5,16.625,1.389935381207995,1.3674385054286065,1.18874779514009,1.5956262090246418,0.46335719439699674,0.523308481505262
M17g_moderate_broad_topology_terrace,4,1.6521049895370867,2.1189346905299034,1.4561789506603318,1.9684773722257667,1.1973320778179994,1.6158990530706443,31.496062992125985,31.496062992125985,1.2332123063399947,1.6888416630374672,0.03915449072629482,0.05362072280143959,0.8704373819331117,1.1863424876225068,0.0017549105666498947,0.0023918147478579257,0.03884513080253185,0.05357139944198107,0.07576486005830779,0.20231836284260934,3.8042120883523927,5.122169570452786,1.3631876736346995,1.802174637234561,1.2496607993172206,1.7106744380624463,0.9510530220880982,1.2805423926131965,1.3276664182946472,1.7648861916965344,2146.7542935085876,2084.754169508339,16.0,16.25,1.3937411732086087,1.3702244746042107,1.192679628297276,1.597899708056856,0.4594253612398107,0.5210349824730477
M17h_hierarchical_sparse_island_terrace,4,1.6521049895370867,2.1189346905299034,1.4561789128249352,1.9684773552645662,1.197160822766751,1.6099457235960415,31.496062992125985,31.496062992125985,1.2354947393561373,1.6899358490644107,0.03922695797455736,0.053655463207795046,0.8722539710072758,1.1868768206297138,0.0017585730372970437,0.0023928920299920815,0.038896276486834525,0.05362556152069557,0.07595167905572124,0.20248038968831353,3.797577553129835,5.089196035505563,1.5118251779839214,1.9304827177721848,1.227305183600266,1.6796483328955534,0.9493943882824587,1.2722990088763908,1.2979541814082047,1.741906423384968,2115.7542315084634,2080.879161758324,16.0,16.5,1.3931688088180287,1.3737871148090537,1.1874396489132917,1.5932748568135242,0.46466534062379505,0.5256598337163793
