method,growth_group_count,median_cross_validation_fold,mean_cross_validation_fold,median_island_feature_mae_z,mean_island_feature_mae_z,median_island_feature_rmse_z,mean_island_feature_rmse_z,median_afm_prior_mahalanobis,mean_afm_prior_mahalanobis,median_held_real_afm_prior_mahalanobis,mean_held_real_afm_prior_mahalanobis,median_afm_likeness_percentile,mean_afm_likeness_percentile,median_held_real_likeness_percentile,mean_held_real_likeness_percentile,median_boundary_ratio_q70_absolute_error,mean_boundary_ratio_q70_absolute_error,median_median_area_q70_log_absolute_error,mean_median_area_q70_log_absolute_error,median_component_count_q70_log_absolute_error,mean_component_count_q70_log_absolute_error,median_generated__log_component_count_q55,mean_generated__log_component_count_q55,median_true__log_component_count_q55,mean_true__log_component_count_q55,median_generated__log_component_count_q70,mean_generated__log_component_count_q70,median_true__log_component_count_q70,mean_true__log_component_count_q70,median_generated__log_component_count_q82,mean_generated__log_component_count_q82,median_true__log_component_count_q82,mean_true__log_component_count_q82,median_generated__log_median_area_q55,mean_generated__log_median_area_q55,median_true__log_median_area_q55,mean_true__log_median_area_q55,median_generated__log_median_area_q70,mean_generated__log_median_area_q70,median_true__log_median_area_q70,mean_true__log_median_area_q70,median_generated__log_median_area_q82,mean_generated__log_median_area_q82,median_true__log_median_area_q82,mean_true__log_median_area_q82,median_generated__median_solidity_q70,mean_generated__median_solidity_q70,median_true__median_solidity_q70,mean_true__median_solidity_q70,median_generated__median_eccentricity_q70,mean_generated__median_eccentricity_q70,median_true__median_eccentricity_q70,mean_true__median_eccentricity_q70,median_generated__boundary_gradient_ratio_q55,mean_generated__boundary_gradient_ratio_q55,median_true__boundary_gradient_ratio_q55,mean_true__boundary_gradient_ratio_q55,median_generated__boundary_gradient_ratio_q70,mean_generated__boundary_gradient_ratio_q70,median_true__boundary_gradient_ratio_q70,mean_true__boundary_gradient_ratio_q70,median_generated__boundary_gradient_ratio_q82,mean_generated__boundary_gradient_ratio_q82,median_true__boundary_gradient_ratio_q82,mean_true__boundary_gradient_ratio_q82,median_generated__log_valley_component_count_q18,mean_generated__log_valley_component_count_q18,median_true__log_valley_component_count_q18,mean_true__log_valley_component_count_q18,median_generated__log_valley_median_area_q18,mean_generated__log_valley_median_area_q18,median_true__log_valley_median_area_q18,mean_true__log_valley_median_area_q18,median_generated__gradient_p90,mean_generated__gradient_p90,median_true__gradient_p90,mean_true__gradient_p90,median_generated__laplacian_rms,mean_generated__laplacian_rms,median_true__laplacian_rms,mean_true__laplacian_rms,median_generated__flat_fraction,mean_generated__flat_fraction,median_true__flat_fraction,mean_true__flat_fraction
M10_dense_island_spectral_pareto,4,1.5,6.25,1.4070995645146005,1.370247945306146,1.6316245956619344,1.6346672508049214,4.321139472483846,4.468903711682654,2.850090504218173,3.8162989983996574,14.814814814814815,15.74074074074074,50.0,44.44444444444444,0.15309157967567444,0.12453785538673401,0.8831612554560513,0.762228552039482,0.48719053067202034,0.5376128612713922,2.4375840932604884,2.3884537697467874,2.4414009612931853,2.506794224812439,2.8744428042996377,2.888046144753927,3.326431514676673,3.2388554055677634,3.1512792964588536,3.12518494472609,3.480173864550654,3.4263960196464174,3.0301899562940315,3.0850432716477956,4.3029224445054,4.302225696046685,3.528182748808687,3.521254854598511,4.397488215844385,4.283483406637993,3.43973505161897,3.4683402481725762,4.007333185232471,3.913399902833324,0.9015908116364,0.900884199660599,0.8709862385321101,0.8771283867753089,0.8097819721539725,0.8076602460113744,0.8178359535114209,0.8198411208880247,1.3248363733291626,1.3300204873085022,1.3164694607257843,1.3300325721502304,1.3041621148586273,1.3133999556303024,1.264622300863266,1.2839381843805313,1.2761855721473694,1.2846721559762955,1.2239175140857697,1.201096624135971,3.212392479361575,3.227801485425879,3.699393137709974,3.4583174167198742,3.482645145850248,3.4634551663737585,3.642410456284302,3.7511173452721023,0.4824352487921715,0.4841492027044296,0.6252541244029999,0.6124405115842819,0.2122882567346096,0.21766998432576656,0.2750035226345062,0.26980937272310257,0.0806732177734375,0.079803466796875,0.092010498046875,0.12422943115234375
M16b_baseline_dense_microisland_terrace,4,1.5,6.25,1.701811831655804,1.586745296954428,2.0824299850986563,1.887939010840832,4.869082298916707,4.926200575449935,2.850090504218173,3.8162989983996574,11.11111111111111,11.11111111111111,50.0,44.44444444444444,0.24303141236305237,0.25423464179039,0.7903517712311876,0.8062754355597547,0.38006936939110014,0.5176798413335398,2.405943412433381,2.339950079365118,2.4414009612931853,2.506794224812439,2.791620924327881,2.8801727559142227,3.326431514676673,3.2388554055677634,3.113268334643733,3.2389386090723917,3.480173864550654,3.4263960196464174,3.3041733829214834,3.297451658541574,4.3029224445054,4.302225696046685,3.481748447868032,3.477207971078238,4.397488215844385,4.283483406637993,3.6705313033411375,3.5797205753642056,4.007333185232471,3.913399902833324,0.9168024845280298,0.9175750175891199,0.8709862385321101,0.8771283867753089,0.7879308414457713,0.7844005575260997,0.8178359535114209,0.8198411208880247,1.5168859958648682,1.5130380690097809,1.3164694607257843,1.3300325721502304,1.469362586736679,1.4770725816488266,1.264622300863266,1.2839381843805313,1.3883202373981476,1.3758423328399658,1.2239175140857697,1.201096624135971,3.236602177223144,3.2265968387639523,3.699393137709974,3.4583174167198742,3.6206195051852084,3.6484200276535,3.642410456284302,3.7511173452721023,0.4875374808907509,0.49686315655708313,0.6252541244029999,0.6124405115842819,0.1924138031899929,0.20125363767147064,0.2750035226345062,0.26980937272310257,0.10302734375,0.098602294921875,0.092010498046875,0.12422943115234375
M17a_fixed_sparse_peak_terrace,4,1.5,6.25,1.7380454029570436,1.5744428410268767,2.103750068342059,1.8525051735133435,4.682942583344241,4.599903161818071,2.850090504218173,3.8162989983996574,11.11111111111111,12.037037037037038,50.0,44.44444444444444,0.24602475762367249,0.2655412256717682,0.7903517712311876,0.7174808747512199,0.5603463682804972,0.6140920588437203,2.405943412433381,2.330686582845903,2.4414009612931853,2.506794224812439,2.8041683604588448,2.796307974535006,3.326431514676673,3.2388554055677634,3.1021553940010245,3.129995244617327,3.480173864550654,3.4263960196464174,3.3772225711230606,3.381250762641439,4.3029224445054,4.302225696046685,3.607136444613198,3.566002531886773,4.397488215844385,4.283483406637993,3.645569969598708,3.652211040319712,4.007333185232471,3.913399902833324,0.9077180305757151,0.9001232181808367,0.8709862385321101,0.8771283867753089,0.7879308414457713,0.7876385493362421,0.8178359535114209,0.8198411208880247,1.5116854310035706,1.4779450744390488,1.3164694607257843,1.3300325721502304,1.466381549835205,1.427549198269844,1.264622300863266,1.2839381843805313,1.3363556265830994,1.3238317221403122,1.2239175140857697,1.201096624135971,3.26604793613724,3.280312099483168,3.699393137709974,3.4583174167198742,3.6252067898522577,3.6577248533184052,3.642410456284302,3.7511173452721023,0.48976896703243256,0.5016209818422794,0.6252541244029999,0.6124405115842819,0.19882695004343987,0.21594799123704433,0.2750035226345062,0.26980937272310257,0.1035919189453125,0.09857940673828125,0.092010498046875,0.12422943115234375
M17b_topology_sparse_peak_terrace,4,1.5,6.25,1.73778283629658,1.5749172735232628,2.103383373035061,1.8527147033492906,4.685169759448549,4.600799772223065,2.850090504218173,3.8162989983996574,11.11111111111111,12.037037037037038,50.0,44.44444444444444,0.24606317281723022,0.2656630724668503,0.7903517712311876,0.7174808747512199,0.5603463682804972,0.6140920588437203,2.405943412433381,2.330686582845903,2.4414009612931853,2.506794224812439,2.8041683604588448,2.796307974535006,3.326431514676673,3.2388554055677634,3.1021553940010245,3.129995244617327,3.480173864550654,3.4263960196464174,3.3772225711230606,3.381250762641439,4.3029224445054,4.302225696046685,3.607136444613198,3.566002531886773,4.397488215844385,4.283483406637993,3.645569969598708,3.652211040319712,4.007333185232471,3.913399902833324,0.9077180305757151,0.9001232181808367,0.8709862385321101,0.8771283867753089,0.7879308414457713,0.7876385493362421,0.8178359535114209,0.8198411208880247,1.5118121802806854,1.4784287363290787,1.3164694607257843,1.3300325721502304,1.466340959072113,1.4274251759052277,1.264622300863266,1.2839381843805313,1.3365406095981598,1.322989970445633,1.2239175140857697,1.201096624135971,3.26604793613724,3.280312099483168,3.699393137709974,3.4583174167198742,3.6252067898522577,3.6577248533184052,3.642410456284302,3.7511173452721023,0.48979731649160385,0.5012589283287525,0.6252541244029999,0.6124405115842819,0.19880113005638123,0.215886440128088,0.2750035226345062,0.26980937272310257,0.1036529541015625,0.0985565185546875,0.092010498046875,0.12422943115234375
M17c_topology_sparse_finetexture_terrace,4,1.5,6.25,1.7513839654613403,1.5983483618275696,2.1146388357955876,1.8865510252888718,4.871391421316245,5.003617542951359,2.850090504218173,3.8162989983996574,11.11111111111111,10.185185185185185,50.0,44.44444444444444,0.2509341835975647,0.2698407918214798,0.7903517712311876,0.8018768647819096,0.5202607057617024,0.6061218310850455,2.360363023234892,2.3598062294412196,2.4414009612931853,2.506794224812439,2.82831356746029,2.828423409295126,3.326431514676673,3.2388554055677634,3.1243812752864413,3.16085230598216,3.480173864550654,3.4263960196464174,3.279212049179055,3.2275294504980545,4.3029224445054,4.302225696046685,3.4704573811045,3.4816065418560833,4.397488215844385,4.283483406637993,3.52182506576973,3.551970322871841,4.007333185232471,3.913399902833324,0.9022451616063376,0.8951693428646368,0.8709862385321101,0.8771283867753089,0.8004185281420149,0.8011558918291863,0.8178359535114209,0.8198411208880247,1.508586585521698,1.472807139158249,1.3164694607257843,1.3300325721502304,1.4614177942276,1.4231953024864197,1.264622300863266,1.2839381843805313,1.3292257487773895,1.313901275396347,1.2239175140857697,1.201096624135971,3.2845749291756707,3.3229823772225933,3.699393137709974,3.4583174167198742,3.6226942058888825,3.620962023286567,3.642410456284302,3.7511173452721023,0.4934056028723717,0.5077087171375751,0.6252541244029999,0.6124405115842819,0.20567062124609947,0.23107613809406757,0.2750035226345062,0.26980937272310257,0.101165771484375,0.09638214111328125,0.092010498046875,0.12422943115234375
M17d_multiscale_texture_no_peak_terrace,4,1.5,6.25,1.6958143550328715,1.5856148477513592,2.099502263903561,1.8724578110048413,4.873387307108259,5.017433316495016,2.850090504218173,3.8162989983996574,11.11111111111111,11.11111111111111,50.0,44.44444444444444,0.25640997290611267,0.2735332250595093,0.7903517712311876,0.8185032221964853,0.5088503855226514,0.5811478359871126,2.360363023234892,2.359316992026078,2.4414009612931853,2.506794224812439,2.7897758975034757,2.8148597344362445,3.326431514676673,3.2388554055677634,3.1341137368784957,3.180888643903721,3.480173864550654,3.4263960196464174,3.223426161350502,3.167026021671646,4.3029224445054,4.302225696046685,3.4761302339050175,3.464980184441508,4.397488215844385,4.283483406637993,3.612900388688179,3.588720316327046,4.007333185232471,3.913399902833324,0.9004513573426414,0.8955912943701907,0.8709862385321101,0.8771283867753089,0.8032474074997715,0.8062897049434841,0.8178359535114209,0.8198411208880247,1.5078233778476715,1.4739900827407837,1.3164694607257843,1.3300325721502304,1.456252098083496,1.4198129624128342,1.264622300863266,1.2839381843805313,1.326420396566391,1.308729201555252,1.2239175140857697,1.201096624135971,3.2933477591284883,3.327134050345977,3.699393137709974,3.4583174167198742,3.64444705013629,3.6166618449469006,3.642410456284302,3.7511173452721023,0.4945487380027771,0.5105177909135818,0.6252541244029999,0.6124405115842819,0.20832359045743942,0.2374318242073059,0.2750035226345062,0.26980937272310257,0.10040283203125,0.0955810546875,0.092010498046875,0.12422943115234375
M17e_broad_sparse_peak_terrace,4,1.5,6.25,1.713326841267008,1.5694616898858946,2.0862159903011417,1.8460415701199098,4.7638274730236585,4.671054564821114,2.850090504218173,3.8162989983996574,11.11111111111111,12.037037037037038,50.0,44.44444444444444,0.24676060676574707,0.26546482741832733,0.767399883917907,0.6607036483609379,0.5190558841527151,0.5776264763662755,2.3841905681859736,2.309804822263007,2.4414009612931853,2.506794224812439,2.7725276796317377,2.801132876185344,3.326431514676673,3.2388554055677634,3.090525390092301,3.1113184397676363,3.480173864550654,3.4263960196464174,3.318462986381471,3.2790569529995377,4.3029224445054,4.302225696046685,3.607136444613198,3.622779758277055,4.397488215844385,4.283483406637993,3.655775468228772,3.658013287822759,4.007333185232471,3.913399902833324,0.9062636394158133,0.9033864439554976,0.8709862385321101,0.8771283867753089,0.7879308414457713,0.7926967402854572,0.8178359535114209,0.8198411208880247,1.5116920173168182,1.4745821505784988,1.3164694607257843,1.3300325721502304,1.4656525254249573,1.4276324212551117,1.264622300863266,1.2839381843805313,1.3441952764987946,1.3265111148357391,1.2239175140857697,1.201096624135971,3.25624275784892,3.2491399658655826,3.699393137709974,3.4583174167198742,3.6013792449011763,3.6565485368599817,3.642410456284302,3.7511173452721023,0.4896007627248764,0.4966455474495888,0.6252541244029999,0.6124405115842819,0.19657575711607933,0.20876782573759556,0.2750035226345062,0.26980937272310257,0.104095458984375,0.0998077392578125,0.092010498046875,0.12422943115234375
M17f_broad_sparse_finetexture_terrace,4,1.5,6.25,1.7174433284743307,1.5835058218145874,2.092167022151323,1.8642054508164,4.871561084480785,4.7833199019104455,2.850090504218173,3.8162989983996574,11.11111111111111,12.037037037037038,50.0,44.44444444444444,0.2489384114742279,0.2674991190433502,0.7903517712311876,0.8067750080203154,0.5408087284001226,0.624463157546452,2.365663575147543,2.3463218751131523,2.4414009612931853,2.506794224812439,2.8444481977446827,2.8262167131181126,3.326431514676673,3.2388554055677634,3.1243812752864413,3.153021957735576,3.480173864550654,3.4263960196464174,3.3772225711230606,3.277572061821894,4.3029224445054,4.302225696046685,3.49138920655161,3.4767083986176774,4.397488215844385,4.283483406637993,3.665292018430386,3.6437466304615667,4.007333185232471,3.913399902833324,0.9084614416136156,0.8993795784471155,0.8709862385321101,0.8771283867753089,0.796776812887831,0.7994017143875369,0.8178359535114209,0.8198411208880247,1.5109103620052338,1.4731291383504868,1.3164694607257843,1.3300325721502304,1.4634603559970856,1.425583764910698,1.264622300863266,1.2839381843805313,1.3347926139831543,1.320742443203926,1.2239175140857697,1.201096624135971,3.275483018132952,3.302357716643316,3.699393137709974,3.4583174167198742,3.6252067898522577,3.6275382670706042,3.642410456284302,3.7511173452721023,0.4910377562046051,0.502273827791214,0.6252541244029999,0.6124405115842819,0.20140282437205315,0.2201258484274149,0.2750035226345062,0.26980937272310257,0.1028289794921875,0.09824371337890625,0.092010498046875,0.12422943115234375
M17g_moderate_broad_topology_terrace,4,1.5,6.25,1.7628443334619002,1.5822544050664804,2.1147133932892848,1.864166818961038,4.766692875288752,4.676602326161878,2.850090504218173,3.8162989983996574,11.11111111111111,12.037037037037038,50.0,44.44444444444444,0.24629026651382446,0.2652682512998581,0.7903517712311876,0.7534736022570124,0.5506139066884428,0.6126743226125467,2.365663575147543,2.310546664202984,2.4414009612931853,2.506794224812439,2.811065349588552,2.804622699895887,3.326431514676673,3.2388554055677634,3.1243812752864413,3.145206913112909,3.480173864550654,3.4263960196464174,3.3772225711230606,3.3523016869163467,4.3029224445054,4.302225696046685,3.557906355559421,3.53000980438098,4.397488215844385,4.283483406637993,3.660726125052817,3.6482220864315664,4.007333185232471,3.913399902833324,0.9080935246468613,0.9029715220546584,0.8709862385321101,0.8771283867753089,0.7879308414457713,0.78691606737582,0.8178359535114209,0.8198411208880247,1.512085199356079,1.4747771173715591,1.3164694607257843,1.3300325721502304,1.4661138951778412,1.4278200268745422,1.264622300863266,1.2839381843805313,1.3382226526737213,1.3257149904966354,1.2239175140857697,1.201096624135971,3.275483018132952,3.295599313984532,3.699393137709974,3.4583174167198742,3.6135767859435344,3.6520612747623304,3.642410456284302,3.7511173452721023,0.49025894701480865,0.5008023455739021,0.6252541244029999,0.6124405115842819,0.19917399063706398,0.21550401858985424,0.2750035226345062,0.26980937272310257,0.103759765625,0.09893035888671875,0.092010498046875,0.12422943115234375
M17h_hierarchical_sparse_island_terrace,4,1.5,6.25,1.7200938435004776,1.574431271264711,2.0795112383606646,1.8590536180807178,4.8688677125038025,4.797830103963245,2.850090504218173,3.8162989983996574,11.11111111111111,12.037037037037038,50.0,44.44444444444444,0.24680033326148987,0.2631295770406723,0.7903517712311876,0.7538582179450724,0.5296957877574142,0.606396254905475,2.405943412433381,2.3745291088982676,2.4414009612931853,2.506794224812439,2.8194273331054376,2.819262751119844,3.326431514676673,3.2388554055677634,3.1550318558095243,3.1645007906637734,3.480173864550654,3.4263960196464174,3.3982705939281477,3.260030834313896,4.3029224445054,4.302225696046685,3.5431962305536877,3.52962518869292,4.397488215844385,4.283483406637993,3.6403066172992498,3.6410153658387827,4.007333185232471,3.913399902833324,0.9098288023230816,0.9000876409119863,0.8709862385321101,0.8771283867753089,0.792179381914849,0.7957581983379738,0.8178359535114209,0.8198411208880247,1.5138927102088928,1.4660416692495346,1.3164694607257843,1.3300325721502304,1.465397834777832,1.4297527074813843,1.264622300863266,1.2839381843805313,1.345277100801468,1.3501446098089218,1.2239175140857697,1.201096624135971,3.25624275784892,3.2959845223017075,3.699393137709974,3.4583174167198742,3.6388073132082583,3.6320020121220855,3.642410456284302,3.7511173452721023,0.49099940806627274,0.500279787927866,0.6252541244029999,0.6124405115842819,0.20010606199502945,0.2166810780763626,0.2750035226345062,0.26980937272310257,0.1043548583984375,0.1004791259765625,0.092010498046875,0.12422943115234375
